PCDS,LAT,LONG
MK1 1AA,52.01093,-0.725792
MK1 1AB,52.00574,-0.729087
MK1 1AD,52.01093,-0.725792
MK1 1AE,52.0038,-0.720896
MK1 1AF,52.00574,-0.729087
MK1 1AG,52.01093,-0.725792
MK1 1AH,52.01095,-0.722761
MK1 1AJ,52.01105,-0.726517
MK1 1AL,52.00574,-0.729087
MK1 1AQ,52.00574,-0.729087
MK1 1AS,52.005,-0.718166
MK1 1AT,52.01105,-0.726517
MK1 1AX,52.00651,-0.737355
MK1 1AY,52.0099,-0.719644
MK1 1BA,52.00171,-0.715463
MK1 1BB,52.00127,-0.715927
MK1 1BD,52.00098,-0.715266
MK1 1BE,52.00191,-0.715997
MK1 1BF,52.00574,-0.729087
MK1 1BG,52.00267,-0.716354
MK1 1BH,52.00103,-0.71828
MK1 1BJ,52.00079,-0.719321
MK1 1BL,52.00187,-0.720252
MK1 1BN,52.00257,-0.724631
MK1 1BP,52.00045,-0.717685
MK1 1BQ,52.00174,-0.719177
MK1 1BS,52.00555,-0.73119
MK1 1BT,52.00304,-0.734029
MK1 1BU,52.01064,-0.72022
MK1 1BW,52.00043,-0.72006
MK1 1BX,52.00274,-0.72381
MK1 1BY,52.00061,-0.714461
MK1 1BZ,52.00971,-0.723554
MK1 1DA,52.00113,-0.723885
MK1 1DB,52.00776,-0.740948
MK1 1DD,52.00145,-0.724095
MK1 1DE,52.0032,-0.729756
MK1 1DF,52.00468,-0.73474
MK1 1DG,52.0027,-0.728357
MK1 1DH,52.00164,-0.736705
MK1 1DJ,52.00393,-0.732547
MK1 1DL,52.00417,-0.733356
MK1 1DN,52.00261,-0.730865
MK1 1DP,52.00123,-0.732623
MK1 1DQ,52.0032,-0.729756
MK1 1DR,52.00372,-0.73382
MK1 1DS,52.00124,-0.730831
MK1 1DT,52.0046,-0.732878
MK1 1DU,52.00306,-0.735485
MK1 1DW,52.00227,-0.731297
MK1 1DX,52.00255,-0.73295
MK1 1DY,52.0024,-0.73227
MK1 1DZ,52.00301,-0.731116
MK1 1EA,52.00342,-0.731323
MK1 1EB,52.00574,-0.729087
MK1 1ED,52.00383,-0.731938
MK1 1EE,52.00394,-0.734004
MK1 1EF,52.00394,-0.734004
MK1 1EG,52.00394,-0.734004
MK1 1EH,52.00574,-0.729087
MK1 1EJ,52.00242,-0.735736
MK1 1EL,52.00196,-0.736755
MK1 1EN,52.01093,-0.725792
MK1 1EP,52.00504,-0.735371
MK1 1EQ,52.00677,-0.739839
MK1 1ER,52.00886,-0.727133
MK1 1ES,52.00486,-0.735435
MK1 1ET,52.00952,-0.731384
MK1 1EU,52.00396,-0.73546
MK1 1EW,52.00365,-0.735891
MK1 1EX,52.0056,-0.738182
MK1 1EY,52.00373,-0.727424
MK1 1EZ,52.00673,-0.739899
MK1 1FA,52.0126,-0.72643
MK1 1FB,52.00742,-0.71951
MK1 1FD,52.0093,-0.71478
MK1 1FE,52.00747,-0.718999
MK1 1HA,52.00763,-0.742642
MK1 1HB,52.00205,-0.725316
MK1 1HD,52.00579,-0.738323
MK1 1HE,52.00396,-0.73546
MK1 1HF,52.00306,-0.735485
MK1 1HG,52.00394,-0.734004
MK1 1HH,52.00301,-0.731116
MK1 1HJ,52.01109,-0.729431
MK1 1HL,52.00113,-0.723885
MK1 1HN,52.00306,-0.717683
MK1 1HP,52.00372,-0.718203
MK1 1HQ,52.00393,-0.732547
MK1 1HR,52.0029,-0.720921
MK1 1HS,52.00045,-0.723162
MK1 1HT,52.002,-0.720947
MK1 1HU,52.00179,-0.722541
MK1 1HW,52.00294,-0.719347
MK1 1HX,52.00179,-0.722541
MK1 1HY,52.0029,-0.720921
MK1 1HZ,52.00398,-0.7199
MK1 1JA,52.00684,-0.719075
MK1 1JB,52.00739,-0.720793
MK1 1JD,52.00786,-0.719571
MK1 1JE,52.00861,-0.716985
MK1 1JF,52.00828,-0.719311
MK1 1JG,52.00866,-0.719548
MK1 1JH,52.00378,-0.719439
MK1 1JJ,52.00959,-0.718953
MK1 1JL,52.00921,-0.722199
MK1 1JN,52.0099,-0.724889
MK1 1JP,52.00931,-0.724906
MK1 1JQ,52.00481,-0.719177
MK1 1JR,52.00925,-0.726568
MK1 1JS,52.00992,-0.722441
MK1 1JT,52.01014,-0.725086
MK1 1JU,52.00924,-0.725112
MK1 1JW,52.00975,-0.725607
MK1 1JX,52.00835,-0.726594
MK1 1JY,52.00839,-0.729507
MK1 1JZ,52.005,-0.718166
MK1 1LA,52.00972,-0.720596
MK1 1LB,52.0085,-0.739703
MK1 1LD,52.0046,-0.712132
MK1 1LE,52.00828,-0.719311
