PCDS,LAT,LONG
ML1 1AA,55.79356,-3.99494
ML1 1AB,55.78395,-3.982807
ML1 1AD,55.78504,-3.965685
ML1 1AE,55.79569,-3.955133
ML1 1AF,55.79639,-3.95737
ML1 1AG,55.79673,-3.956541
ML1 1AH,55.79694,-3.955387
ML1 1AJ,55.79588,-3.955494
ML1 1AL,55.79531,-3.95604
ML1 1AN,55.79625,-3.953375
ML1 1AP,55.79791,-3.955883
ML1 1AQ,55.79808,-3.954615
ML1 1AR,55.79772,-3.992647
ML1 1AS,55.79554,-3.958237
ML1 1AT,55.78087,-3.96766
ML1 1AX,55.79036,-3.9883
ML1 1AZ,55.79298,-3.990842
ML1 1BA,55.78898,-3.99166
ML1 1BB,55.7904,-3.993279
ML1 1BD,55.78893,-3.9907
ML1 1BE,55.79036,-3.9883
ML1 1BG,55.7902,-3.993668
ML1 1BH,55.79056,-3.993383
ML1 1BJ,55.79178,-3.991133
ML1 1BL,55.79163,-3.99406
ML1 1BN,55.79131,-3.993517
ML1 1BP,55.79477,-3.996405
ML1 1BQ,55.79032,-3.993355
ML1 1BS,55.79258,-3.993422
ML1 1BT,55.79259,-3.993439
ML1 1BU,55.79313,-3.995731
ML1 1BW,55.79099,-3.993038
ML1 1BX,55.79458,-3.996986
ML1 1BY,55.79855,-3.99387
ML1 1BZ,55.7967,-3.995722
ML1 1DA,55.79063,-3.992764
ML1 1DB,55.79835,-3.994322
ML1 1DD,55.7902,-3.993668
ML1 1DE,55.79099,-3.993038
ML1 1DF,55.79719,-3.996305
ML1 1DG,55.79283,-3.993945
ML1 1DH,55.79546,-3.9925
ML1 1DJ,55.79548,-3.991592
ML1 1DL,55.79597,-3.992765
ML1 1DN,55.79617,-3.997418
ML1 1DP,55.79828,-3.99376
ML1 1DQ,55.79393,-3.993586
ML1 1DR,55.79609,-3.99526
ML1 1DS,55.79671,-3.994334
ML1 1DT,55.79636,-3.99387
ML1 1DU,55.79566,-3.993148
ML1 1DW,55.79754,-3.995573
ML1 1DX,55.79549,-3.994384
ML1 1DY,55.79446,-3.994332
ML1 1DZ,55.79551,-3.995342
ML1 1EA,55.7947,-3.993913
ML1 1EB,55.79361,-3.992358
ML1 1ED,55.79349,-3.993357
ML1 1EE,55.79293,-3.993568
ML1 1EF,55.79426,-3.990939
ML1 1EG,55.79465,-3.995234
ML1 1EH,55.79298,-3.988386
ML1 1EJ,55.79325,-3.989069
ML1 1EL,55.793,-3.989439
ML1 1EP,55.79533,-3.989382
ML1 1EQ,55.79435,-3.98611
ML1 1ER,55.79449,-3.98985
ML1 1ES,55.79375,-3.988457
ML1 1EU,55.79597,-3.986512
ML1 1EW,55.796,-3.987694
ML1 1EX,55.79601,-3.98889
ML1 1EY,55.79577,-3.988208
ML1 1EZ,55.79699,-3.989897
ML1 1HA,55.79627,-3.988377
ML1 1HB,55.79658,-3.987771
ML1 1HD,55.79686,-3.986142
ML1 1HE,55.79688,-3.987754
ML1 1HF,55.79766,-3.987491
ML1 1HG,55.7979,-3.986657
ML1 1HH,55.7987,-3.986825
ML1 1HJ,55.7985,-3.986257
ML1 1HN,55.79965,-3.987145
ML1 1HP,55.79894,-3.989726
ML1 1HQ,55.79872,-3.987289
ML1 1HW,55.79954,-3.988479
ML1 1HY,55.79878,-3.988265
ML1 1HZ,55.79783,-3.988472
ML1 1JA,55.79824,-3.98953
ML1 1JB,55.79763,-3.989611
ML1 1JD,55.79745,-3.989682
ML1 1JE,55.79185,-3.990609
ML1 1JJ,55.79135,-3.99194
ML1 1JL,55.79103,-3.991956
ML1 1JN,55.79103,-3.991956
ML1 1JP,55.79275,-3.98898
ML1 1JR,55.79212,-3.990145
ML1 1JS,55.79148,-3.991325
ML1 1JU,55.79173,-3.990906
ML1 1JW,55.79195,-3.990487
ML1 1LA,55.79534,-3.996275
ML1 1LB,55.7954,-3.983276
ML1 1LD,55.79329,-3.98778
ML1 1LE,55.79335,-3.987607
ML1 1LF,55.79425,-3.987334
ML1 1LG,55.79503,-3.984374
ML1 1LH,55.79636,-3.985717
ML1 1LJ,55.79571,-3.984935
ML1 1LL,55.79553,-3.985963
ML1 1LN,55.79407,-3.985362
ML1 1LP,55.79165,-3.991924
ML1 1LQ,55.79609,-3.984699
ML1 1LR,55.79131,-3.99012
ML1 1LS,55.7935,-3.984217
ML1 1LT,55.79264,-3.983886
ML1 1LU,55.79294,-3.982593
ML1 1LW,55.79479,-3.983516
ML1 1LX,55.79035,-3.992416
ML1 1LY,55.79087,-3.991214
ML1 1LZ,55.79148,-3.990192
ML1 1NA,55.79232,-3.988735
ML1 1NB,55.78717,-3.986655
ML1 1ND,55.79313,-3.986655
ML1 1NE,55.79276,-3.985759
ML1 1NH,55.79403,-3.983302
ML1 1NJ,55.79414,-3.982957
ML1 1NL,55.7933,-3.982277
ML1 1NN,55.79402,-3.981292
ML1 1NP,55.7938,-3.979175
ML1 1NQ,55.79403,-3.983302
ML1 1NR,55.79356,-3.976914
ML1 1NS,55.7935,-3.978522
ML1 1NT,55.79327,-3.979723
ML1 1NU,55.79309,-3.980623
ML1 1NW,55.79402,-3.981292
ML1 1NX,55.79309,-3.980623
ML1 1NY,55.79142,-3.990221
ML1 1NZ,55.79123,-3.990801
ML1 1PA,55.79356,-3.99494
ML1 1PB,55.79036,-3.9883
ML1 1PD,55.79356,-3.99494
ML1 1PE,55.78931,-3.981979
ML1 1PF,55.78907,-3.986497
ML1 1PG,55.79356,-3.994924
ML1 1PH,55.78931,-3.981979
ML1 1PJ,55.79249,-3.986351
ML1 1PL,55.7928,-3.987276
ML1 1PN,55.79196,-3.987967
ML1 1PP,55.7904,-3.986469
ML1 1PQ,55.78473,-3.981236
ML1 1PR,55.79191,-3.982748
ML1 1PT,55.79131,-3.988126
ML1 1PU,55.78839,-3.98222
ML1 1PW,55.79134,-3.985288
ML1 1PX,55.78582,-3.981866
ML1 1PY,55.78613,-3.981371
ML1 1PZ,55.78565,-3.981713
ML1 1QA,55.78546,-3.981576
ML1 1QB,55.7852,-3.97941
ML1 1QD,55.78257,-3.977028
ML1 1QE,55.78547,-3.981576
ML1 1QF,55.78418,-3.979406
ML1 1QG,55.78451,-3.978545
ML1 1QH,55.78337,-3.977068
ML1 1QL,55.78254,-3.976388
ML1 1QN,55.78325,-3.97585
ML1 1QP,55.78344,-3.978013
ML1 1QQ,55.78388,-3.97904
ML1 1QR,55.78278,-3.974311
ML1 1QW,55.78287,-3.973805
ML1 1QX,55.78773,-3.987704
ML1 1QY,55.79001,-3.991361
ML1 1QZ,55.79001,-3.991361
ML1 1RA,55.78657,-3.989926
ML1 1RB,55.78981,-3.99116
ML1 1RD,55.78814,-3.98739
ML1 1RE,55.78986,-3.99121
ML1 1RF,55.78943,-3.991268
ML1 1RG,55.78926,-3.990271
ML1 1RH,55.78926,-3.990271
ML1 1RJ,55.7892,-3.991543
ML1 1RL,55.79161,-3.983228
ML1 1RN,55.79402,-3.974911
ML1 1RP,55.78943,-3.991268
ML1 1RQ,55.78926,-3.990271
ML1 1RR,55.78667,-3.984763
ML1 1RS,55.78764,-3.985913
ML1 1RT,55.7861,-3.984288
ML1 1RU,55.78651,-3.984006
ML1 1RW,55.78849,-3.987248
ML1 1RX,55.78622,-3.983242
ML1 1RY,55.78525,-3.982889
ML1 1RZ,55.78387,-3.981129
ML1 1SE,55.78301,-3.978549
ML1 1SF,55.7828,-3.978778
ML1 1SH,55.79356,-3.99494
ML1 1SJ,55.79356,-3.994924
ML1 1SL,55.79356,-3.994924
ML1 1SN,55.79356,-3.994924
ML1 1SP,55.78636,-3.918669
ML1 1SR,55.78187,-3.958158
ML1 1SS,55.78149,-3.959733
ML1 1SU,55.78139,-3.959729
ML1 1SW,55.79356,-3.994924
ML1 1SX,55.7886,-3.984543
ML1 1SZ,55.79356,-3.99494
ML1 1TA,55.78582,-3.984641
ML1 1TB,55.7851,-3.984253
ML1 1TD,55.78434,-3.985475
ML1 1TE,55.78567,-3.984665
ML1 1TF,55.78497,-3.983353
ML1 1TG,55.78491,-3.98729
ML1 1TH,55.78493,-3.986573
ML1 1TJ,55.78455,-3.983667
ML1 1TL,55.78497,-3.983353
ML1 1TN,55.78558,-3.987133
ML1 1TP,55.78468,-3.983259
ML1 1TQ,55.78536,-3.986228
ML1 1TR,55.78495,-3.984788
ML1 1TS,55.78301,-3.988038
ML1 1TT,55.78353,-3.98513
ML1 1TW,55.79356,-3.994924
ML1 1TY,55.78423,-3.988627
ML1 1UA,55.7851,-3.98639
ML1 1UB,55.7851,-3.98639
ML1 1UD,55.7851,-3.98639
ML1 1UE,55.78642,-3.98708
ML1 1UF,55.78312,-3.986401
ML1 1UG,55.78347,-3.987567
ML1 1UH,55.78385,-3.989245
ML1 1UJ,55.78943,-3.991268
ML1 1UL,55.79096,-3.991154
ML1 1UN,55.79356,-3.99494
ML1 1UQ,55.78341,-3.988872
ML1 1UR,55.78902,-3.990976
ML1 1UU,55.78726,-3.986181
ML1 1UW,55.78995,-3.992379
ML1 1UY,55.78986,-3.992375
ML1 1UZ,55.7873,-3.988177
ML1 1WA,55.79356,-3.994924
ML1 1WB,55.79356,-3.994924
ML1 1WD,55.79356,-3.994924
ML1 1WE,55.79356,-3.994924
ML1 1WF,55.79356,-3.994924
ML1 1WG,55.79356,-3.994924
ML1 1WH,55.79356,-3.994924
ML1 1WJ,55.79356,-3.994924
ML1 1WL,55.78727,-3.988239
ML1 1WN,55.79356,-3.994924
ML1 1WP,55.78754,-3.991204
ML1 1WQ,55.79356,-3.994924
ML1 1WX,55.79036,-3.9883
ML1 1WZ,55.78721,-3.98712
ML1 1XA,55.78724,-3.986435
ML1 1XB,55.78717,-3.986655
ML1 1XD,55.78566,-3.985717
ML1 1XE,55.78657,-3.986114
ML1 1XF,55.78514,-3.989327
ML1 1XG,55.78453,-3.990444
ML1 1XH,55.78378,-3.991443
ML1 1XJ,55.78466,-3.991073
ML1 1XL,55.78501,-3.990788
ML1 1XN,55.7855,-3.989887
ML1 1XP,55.78554,-3.989012
ML1 1XQ,55.79036,-3.9883
ML1 1XR,55.78618,-3.988072
ML1 1XS,55.78699,-3.988193
ML1 1XT,55.78606,-3.987524
ML1 1XU,55.78503,-3.988795
ML1 1XW,55.78608,-3.99081
ML1 1XX,55.78404,-3.989606
ML1 1XY,55.78388,-3.990267
ML1 1XZ,55.78325,-3.990682
ML1 1YA,55.79356,-3.994924
ML1 1YB,55.79356,-3.994924
ML1 1YD,55.78923,-3.99298
ML1 1YE,55.78845,-3.991968
ML1 1YF,55.7883,-3.99196
