PCDS,LAT,LONG
N1 0AA,51.53944,-0.117847
N1 0AB,51.53961,-0.118806
N1 0AD,51.54034,-0.122035
N1 0AE,51.53754,-0.122309
N1 0AF,51.53765,-0.116796
N1 0AG,51.53908,-0.121063
N1 0AH,51.53727,-0.121816
N1 0AJ,51.53725,-0.122134
N1 0AL,51.53932,-0.119236
N1 0AN,51.53715,-0.121157
N1 0AP,51.53995,-0.121893
N1 0AQ,51.53986,-0.122127
N1 0AR,51.53711,-0.118015
N1 0AS,51.53594,-0.122663
N1 0AT,51.53563,-0.126959
N1 0AU,51.54065,-0.126017
N1 0AW,51.53705,-0.122171
N1 0AX,51.53671,-0.12194
N1 0AY,51.53712,-0.122182
N1 0AZ,51.53878,-0.122792
N1 0BA,51.53883,-0.119675
N1 0BB,51.5388,-0.12008
N1 0BD,51.54039,-0.11726
N1 0BE,51.5407,-0.12675
N1 0BF,51.53864,-0.120072
N1 0BG,51.53843,-0.103252
N1 0BH,51.53915,-0.117931
N1 0BJ,51.53951,-0.117109
N1 0BL,51.53719,-0.119469
N1 0BN,51.539,-0.119394
N1 0BP,51.53796,-0.120287
N1 0BQ,51.53753,-0.119108
N1 0BS,51.53816,-0.119183
N1 0BT,51.53806,-0.119202
N1 0BU,51.53603,-0.121564
N1 0BW,51.53826,-0.119871
N1 0BX,51.53636,-0.121536
N1 0BY,51.53676,-0.121289
N1 0BZ,51.53785,-0.118201
N1 0DA,51.53796,-0.120806
N1 0DB,51.53727,-0.1202
N1 0DD,51.54015,-0.121567
N1 0DE,51.54,-0.121487
N1 0DF,51.54095,-0.121549
N1 0DG,51.53474,-0.107832
N1 0DH,51.53909,-0.121856
N1 0DJ,51.53961,-0.122498
N1 0DL,51.53905,-0.103385
N1 0DN,51.54004,-0.121499
N1 0DP,51.54138,-0.119699
N1 0DQ,51.54068,-0.11895
N1 0DR,51.54002,-0.119135
N1 0DS,51.54164,-0.118578
N1 0DT,51.54097,-0.118418
N1 0DU,51.54072,-0.119611
N1 0DW,51.54093,-0.119703
N1 0DX,51.54066,-0.11784
N1 0DY,51.53994,-0.118317
N1 0DZ,51.53963,-0.119757
N1 0EA,51.53808,-0.109597
N1 0EB,51.53644,-0.109434
