PCDS,LAT,LONG
NE1 1AA,54.96773,-1.615799
NE1 1AB,54.96732,-1.615741
NE1 1AD,54.96747,-1.615396
NE1 1AE,54.97054,-1.610883
NE1 1AH,54.96487,-1.619903
NE1 1AN,54.97049,-1.612243
NE1 1AP,54.96911,-1.6126
NE1 1BA,54.97269,-1.607879
NE1 1BB,54.97292,-1.607674
NE1 1DA,54.97092,-1.615707
NE1 1DB,54.97001,-1.611029
NE1 1DD,54.97044,-1.610978
NE1 1DE,54.97093,-1.609927
NE1 1DF,54.97049,-1.61104
NE1 1DG,54.97102,-1.60966
NE1 1DH,54.9709,-1.611021
NE1 1DL,54.97041,-1.611182
NE1 1DN,54.97001,-1.612591
NE1 1DQ,54.971,-1.609645
NE1 1DU,54.97181,-1.612574
NE1 1DW,54.97091,-1.612583
NE1 1DX,54.97001,-1.612591
NE1 1ED,54.97045,-1.613446
NE1 1EE,54.97102,-1.612535
NE1 1EF,54.97091,-1.614145
NE1 1EG,54.97102,-1.613175
NE1 1EH,54.97084,-1.612755
NE1 1EL,54.97091,-1.614145
NE1 1EN,54.9715,-1.612905
NE1 1EP,54.97091,-1.614145
NE1 1EQ,54.97089,-1.611771
NE1 1ER,54.97091,-1.612583
NE1 1ES,54.97091,-1.614145
NE1 1ET,54.97091,-1.614145
NE1 1EU,54.97091,-1.612583
NE1 1EW,54.97182,-1.61284
NE1 1EX,54.97001,-1.612591
NE1 1EY,54.97091,-1.614145
NE1 1EZ,54.97149,-1.612437
NE1 1HA,54.97091,-1.614145
NE1 1HB,54.97091,-1.614145
NE1 1HE,54.9698,-1.612859
NE1 1HJ,55.00677,-1.588787
NE1 1HL,54.97067,-1.611788
NE1 1HP,55.00677,-1.588787
NE1 1HS,55.00677,-1.588787
NE1 1HT,55.00677,-1.588787
NE1 1HX,54.97063,-1.611648
NE1 1JE,54.96983,-1.613077
NE1 1JF,54.96997,-1.613654
NE1 1JG,54.96912,-1.614162
NE1 1JH,54.97022,-1.612745
NE1 1JJ,54.97049,-1.612243
NE1 1JL,54.96912,-1.614162
NE1 1JN,54.96912,-1.614162
NE1 1JP,54.96912,-1.614162
NE1 1JQ,54.96912,-1.614162
NE1 1JS,54.96996,-1.612373
NE1 1JT,54.96912,-1.614162
NE1 1JW,54.97004,-1.612294
NE1 1JX,54.96912,-1.614162
NE1 1JY,54.96912,-1.614162
NE1 1JZ,54.96912,-1.614162
NE1 1LA,54.96912,-1.614162
NE1 1LB,54.96912,-1.614162
NE1 1LD,54.9682,-1.609485
NE1 1LE,54.9698,-1.610328
NE1 1LF,54.9698,-1.610328
NE1 1LH,54.97001,-1.611029
NE1 1LJ,54.96983,-1.610156
NE1 1LL,54.97001,-1.611029
NE1 1LR,54.96983,-1.610156
NE1 1LT,54.97001,-1.611029
NE1 1LU,54.97001,-1.611029
NE1 1LX,54.97001,-1.611029
NE1 1LY,54.97001,-1.611029
NE1 1LZ,54.97001,-1.611029
NE1 1NA,54.96812,-1.611625
NE1 1NB,54.96937,-1.611941
NE1 1ND,54.9691,-1.611038
NE1 1NH,54.97001,-1.611029
NE1 1NN,54.96983,-1.610156
NE1 1NP,54.96983,-1.610156
NE1 1NR,54.96983,-1.610156
NE1 1NS,54.97001,-1.611029
NE1 1NT,54.97093,-1.612989
NE1 1NW,54.97001,-1.611029
NE1 1PB,54.97001,-1.611029
NE1 1PD,54.96911,-1.6126
NE1 1PE,54.96973,-1.611157
NE1 1PF,54.97049,-1.610806
NE1 1PG,54.97049,-1.609822
NE1 1PJ,54.97038,-1.61026
NE1 1PL,54.97001,-1.611029
NE1 1PN,54.96911,-1.6126
NE1 1PP,54.9698,-1.610328
NE1 1PQ,54.97019,-1.610012
NE1 1PR,54.96956,-1.610987
NE1 1PT,54.97001,-1.611029
NE1 1QJ,54.97001,-1.611029
NE1 1QR,54.97001,-1.611029
NE1 1QS,54.97,-1.609467
NE1 1QX,54.9691,-1.609476
NE1 1RA,54.96911,-1.6126
NE1 1RD,54.96911,-1.6126
NE1 1RE,54.96993,-1.612186
NE1 1RF,54.96935,-1.611801
NE1 1RG,54.96849,-1.610794
NE1 1RH,54.96971,-1.612157
NE1 1RJ,54.96966,-1.612313
NE1 1RN,54.96815,-1.611156
NE1 1RP,54.96821,-1.612608
NE1 1RQ,54.96881,-1.610353
NE1 1RR,54.96995,-1.614654
NE1 1RT,54.96821,-1.611046
NE1 1RU,54.9682,-1.607923
NE1 1RW,54.96911,-1.6126
NE1 1RX,54.96821,-1.612608
NE1 1RY,54.96891,-1.61168
NE1 1RZ,54.96911,-1.6126
NE1 1SA,54.96949,-1.613034
NE1 1SB,54.96989,-1.612264
NE1 1SE,54.9692,-1.613474
NE1 1SF,54.96913,-1.617286
NE1 1SG,54.97001,-1.618012
NE1 1SH,54.96995,-1.614654
NE1 1SJ,54.96913,-1.618848
NE1 1SL,54.97003,-1.618839
NE1 1SN,54.96912,-1.615724
NE1 1SP,54.97002,-1.617277
NE1 1SQ,54.97021,-1.618806
NE1 1SR,54.96912,-1.615724
NE1 1SS,54.96913,-1.617286
NE1 1SW,54.97044,-1.618414
NE1 1SY,54.96926,-1.614301
NE1 1TB,54.96995,-1.614654
NE1 1TD,54.96912,-1.615724
