PCDS,LAT,LONG
NG1 1AA,52.95507,-1.141027
NG1 1AB,52.9544,-1.140043
NG1 1AE,52.95607,-1.141662
NG1 1AF,52.95607,-1.141662
NG1 1AG,52.95607,-1.141662
NG1 1AH,52.95507,-1.141027
NG1 1AJ,52.95114,-1.135523
NG1 1AL,52.9552,-1.142573
NG1 1AN,52.95195,-1.141416
NG1 1AP,52.95565,-1.141968
NG1 1AQ,52.95564,-1.142147
NG1 1AR,52.95565,-1.141968
NG1 1AS,52.95565,-1.141968
NG1 1AT,52.95565,-1.141968
NG1 1AU,52.95507,-1.141027
NG1 1AW,52.95565,-1.141968
NG1 1AY,52.95235,-1.143581
NG1 1AZ,52.9552,-1.142573
NG1 1BA,52.95274,-1.15304
NG1 1BB,52.95607,-1.141662
NG1 1BD,52.95607,-1.141662
NG1 1BE,52.95607,-1.141662
NG1 1BF,52.95609,-1.142927
NG1 1BG,52.9546,-1.139726
NG1 1BH,52.9506,-1.140818
NG1 1BJ,52.95393,-1.141228
NG1 1BL,52.9553,-1.139415
NG1 1BY,52.95568,-1.142012
NG1 1BZ,52.95612,-1.140932
NG1 1DA,52.95605,-1.140353
NG1 1DB,52.95491,-1.138455
NG1 1DD,52.95568,-1.139065
NG1 1DE,52.95568,-1.139065
NG1 1DF,52.95472,-1.137193
NG1 1DG,52.95611,-1.142912
NG1 1DH,52.95428,-1.139614
NG1 1DJ,52.95258,-1.141657
NG1 1DL,52.9533,-1.137668
NG1 1DN,52.95418,-1.137696
NG1 1DP,52.95355,-1.139077
NG1 1DQ,52.95404,-1.137817
NG1 1DR,52.95364,-1.138718
NG1 1DS,52.95403,-1.13877
NG1 1DT,52.95372,-1.138359
NG1 1DU,52.95382,-1.13806
NG1 1DW,52.95398,-1.137848
NG1 1DX,52.95405,-1.137356
NG1 1DY,52.95621,-1.1423
NG1 1DZ,52.9562,-1.143044
NG1 1EA,52.95531,-1.140204
NG1 1EB,52.95352,-1.139018
NG1 1ED,52.95352,-1.139018
NG1 1EE,52.95421,-1.139303
NG1 1EF,52.95406,-1.14063
NG1 1EG,52.9552,-1.142573
NG1 1EH,52.95435,-1.14122
NG1 1EJ,52.95463,-1.14239
NG1 1EL,52.95571,-1.144557
NG1 1EN,52.9543,-1.140864
NG1 1EP,52.9543,-1.14259
NG1 1EQ,52.95559,-1.143071
NG1 1ER,52.95439,-1.142172
NG1 1ES,52.95435,-1.14122
NG1 1ET,52.95531,-1.142198
NG1 1EU,52.95634,-1.142997
NG1 1EW,52.95616,-1.143864
NG1 1EX,52.95447,-1.141783
NG1 1EY,52.9543,-1.14259
NG1 1EZ,52.9543,-1.14259
NG1 1FA,52.95258,-1.141657
NG1 1FB,52.95448,-1.142542
NG1 1FD,52.95414,-1.142355
NG1 1FE,52.95383,-1.142823
NG1 1FF,52.95364,-1.142767
NG1 1FG,52.95383,-1.142094
NG1 1FH,52.95387,-1.14053
NG1 1FJ,52.95401,-1.142685
NG1 1FL,52.95389,-1.140425
NG1 1FN,52.95339,-1.14112
NG1 1FP,52.95356,-1.140387
NG1 1FR,52.95339,-1.14112
NG1 1FS,52.9534,-1.142608
NG1 1FY,52.95088,-1.139294
NG1 1FZ,52.95068,-1.139685
NG1 1GA,52.95348,-1.141594
NG1 1GB,52.9532,-1.141868
NG1 1GD,52.95103,-1.138978
NG1 1GE,52.95306,-1.141781
NG1 1GF,52.95107,-1.137296
NG1 1GG,52.95256,-1.137266
NG1 1GH,52.95325,-1.141926
NG1 1GJ,52.95324,-1.142328
NG1 1GL,52.95138,-1.139671
NG1 1GN,52.95152,-1.138106
NG1 1GP,52.95063,-1.139656
NG1 1GQ,52.95082,-1.137926
NG1 1GR,52.95092,-1.138088
NG1 1GS,52.95078,-1.140859
NG1 1GT,52.95053,-1.142709
NG1 1GU,52.95305,-1.142377
NG1 1GW,52.95028,-1.142045
NG1 1GX,52.95013,-1.142494
NG1 1GY,52.95029,-1.143607
NG1 1GZ,52.94986,-1.145313
NG1 1HA,52.95257,-1.141672
NG1 1HB,52.95261,-1.142043
NG1 1HD,52.95189,-1.142102
NG1 1HE,52.95118,-1.144081
NG1 1HF,52.95124,-1.145151
NG1 1HG,52.95607,-1.141662
NG1 1HH,52.95568,-1.142012
NG1 1HJ,52.95073,-1.145638
NG1 1HL,52.95607,-1.141662
NG1 1HN,52.95067,-1.14424
NG1 1HP,52.95073,-1.145638
NG1 1HQ,52.95126,-1.145136
NG1 1HR,52.95258,-1.141657
NG1 1HS,52.95057,-1.142709
NG1 1HT,52.95258,-1.141657
NG1 1HU,52.95568,-1.142012
NG1 1HW,52.95093,-1.142568
NG1 1HX,52.95093,-1.142404
NG1 1HY,52.95118,-1.141402
NG1 1HZ,52.95119,-1.140583
NG1 1JA,52.95117,-1.140881
NG1 1JB,52.95087,-1.14117
NG1 1JD,52.95099,-1.142239
NG1 1JE,52.95104,-1.141925
NG1 1JF,52.95078,-1.140859
NG1 1JG,52.95095,-1.14157
NG1 1JH,52.95132,-1.14195
NG1 1JJ,52.95078,-1.141826
NG1 1JL,52.95161,-1.141795
