PCDS,LAT,LONG
NN1 1AA,52.24529,-0.898231
NN1 1AB,52.23663,-0.894345
NN1 1AD,52.23663,-0.894345
NN1 1AE,52.24529,-0.898231
NN1 1AF,52.23702,-0.893032
NN1 1AG,52.2356,-0.894004
NN1 1AH,52.24529,-0.898231
NN1 1AJ,52.23616,-0.900375
NN1 1AL,52.24529,-0.898231
NN1 1AN,52.24529,-0.898231
NN1 1AP,52.24529,-0.898231
NN1 1AQ,52.24529,-0.898231
NN1 1AR,52.24529,-0.898231
NN1 1AS,52.23295,-0.912681
NN1 1AT,52.23295,-0.912681
NN1 1AU,52.24529,-0.898231
NN1 1AW,52.24529,-0.898231
NN1 1AX,52.23295,-0.912681
NN1 1AY,52.24529,-0.898231
NN1 1AZ,52.23593,-0.895094
NN1 1BA,52.23593,-0.895094
NN1 1BB,52.23593,-0.895094
NN1 1BD,52.23593,-0.895094
NN1 1BE,52.24529,-0.898231
NN1 1BF,52.23648,-0.891053
NN1 1BG,52.23764,-0.889867
NN1 1BH,52.24529,-0.898231
NN1 1BJ,52.24529,-0.898231
NN1 1BL,52.24529,-0.898231
NN1 1BN,52.24529,-0.898231
NN1 1BP,52.23748,-0.88993
NN1 1BQ,52.23083,-0.903157
NN1 1BS,52.23748,-0.88993
NN1 1BT,52.23295,-0.912681
NN1 1BU,52.24529,-0.898231
NN1 1BW,52.24529,-0.898231
NN1 1BX,52.24529,-0.898231
NN1 1BY,52.23748,-0.88993
NN1 1BZ,52.23587,-0.895931
NN1 1DA,52.23718,-0.895151
NN1 1DB,52.23587,-0.895931
NN1 1DD,52.23629,-0.894588
NN1 1DE,52.23741,-0.894618
NN1 1DF,52.23677,-0.896465
NN1 1DG,52.23665,-0.897273
NN1 1DH,52.23479,-0.89442
NN1 1DJ,52.23669,-0.896935
NN1 1DL,52.23664,-0.895809
NN1 1DN,52.2363,-0.894587
NN1 1DP,52.23628,-0.894221
NN1 1DQ,52.2353,-0.890936
NN1 1DR,52.2358,-0.889445
NN1 1DS,52.23573,-0.894367
NN1 1DT,52.2356,-0.894004
NN1 1DU,52.23573,-0.894367
NN1 1DW,52.24529,-0.898231
NN1 1DX,52.23477,-0.894874
NN1 1DY,52.23672,-0.8967
NN1 1DZ,52.23484,-0.895853
NN1 1EA,52.23628,-0.894221
NN1 1EB,52.23574,-0.895831
NN1 1ED,52.23552,-0.896042
NN1 1EE,52.23368,-0.905972
NN1 1EF,52.2356,-0.894004
NN1 1EG,52.23583,-0.894877
NN1 1EH,52.23486,-0.897317
NN1 1EJ,52.23423,-0.90117
NN1 1EL,52.23151,-0.894852
NN1 1EN,52.23673,-0.89793
NN1 1EP,52.2321,-0.894325
NN1 1EQ,52.23535,-0.894772
NN1 1ER,52.235,-0.894898
NN1 1ES,52.23523,-0.891568
NN1 1ET,52.23149,-0.906157
NN1 1EU,52.23572,-0.893635
NN1 1EW,52.23582,-0.894746
NN1 1EX,52.23604,-0.905855
NN1 1EY,52.23215,-0.893446
NN1 1EZ,52.23781,-0.891914
NN1 1FA,52.23546,-0.893363
NN1 1FB,52.23463,-0.901584
NN1 1FD,52.2365,-0.902241
NN1 1FE,52.23671,-0.902295
NN1 1FF,52.23316,-0.90288
NN1 1FG,52.238,-0.892085
NN1 1FJ,52.2337,-0.891518
NN1 1FL,52.23702,-0.899226
NN1 1FS,52.23574,-0.895831
NN1 1GL,52.23667,-0.898737
NN1 1HA,52.23473,-0.893367
NN1 1HB,52.23363,-0.894771
NN1 1HD,52.23608,-0.89058
NN1 1HE,52.23397,-0.898804
NN1 1HF,52.23261,-0.892233
NN1 1HG,52.2337,-0.891533
NN1 1HH,52.2343,-0.894754
NN1 1HJ,52.23437,-0.895631
NN1 1HL,52.23156,-0.895554
NN1 1HN,52.23593,-0.895094
NN1 1HP,52.23307,-0.898826
NN1 1HQ,52.23303,-0.894434
NN1 1HR,52.2366,-0.891417
NN1 1HS,52.2359,-0.891405
NN1 1HU,52.2366,-0.891417
NN1 1HW,52.23128,-0.895795
NN1 1HX,52.23661,-0.892881
NN1 1HY,52.2366,-0.891417
NN1 1HZ,52.2366,-0.891417
NN1 1JA,52.23714,-0.893541
NN1 1JB,52.23707,-0.893982
NN1 1JD,52.23663,-0.894345
NN1 1JE,52.23661,-0.892881
NN1 1JF,52.23775,-0.891593
NN1 1JG,52.23751,-0.892858
NN1 1JH,52.23792,-0.890783
NN1 1JJ,52.23786,-0.890682
NN1 1JL,52.2375,-0.891394
NN1 1JN,52.2379,-0.890081
NN1 1JP,52.23661,-0.892881
NN1 1JQ,52.2375,-0.891394
NN1 1JR,52.23661,-0.892881
NN1 1JS,52.23711,-0.892619
NN1 1JT,52.237,-0.892359
NN1 1JU,52.23705,-0.892372
NN1 1JW,52.23763,-0.890527
NN1 1JX,52.23714,-0.892106
NN1 1JY,52.23656,-0.891857
NN1 1JZ,52.23661,-0.892881
NN1 1LA,52.23661,-0.892881
NN1 1LB,52.23516,-0.896929
NN1 1LD,52.23721,-0.891753
NN1 1LE,52.23721,-0.891841
NN1 1LF,52.24529,-0.898231
NN1 1LG,52.23697,-0.89107
NN1 1LH,52.2366,-0.891417
NN1 1LJ,52.23627,-0.891059
NN1 1LL,52.2366,-0.891417
NN1 1LN,52.23711,-0.890715
NN1 1LP,52.23635,-0.890676
NN1 1LQ,52.23679,-0.890709
NN1 1LR,52.2366,-0.891417
NN1 1LS,52.24529,-0.898231
NN1 1LT,52.23741,-0.890767
NN1 1LU,52.23587,-0.895931
NN1 1LW,52.23629,-0.890677
NN1 1LX,52.23708,-0.889633
NN1 1LY,52.23658,-0.889952
NN1 1LZ,52.23651,-0.889808
NN1 1NB,52.2375,-0.891394
NN1 1ND,52.2366,-0.891417
NN1 1NE,52.2357,-0.891439
NN1 1NF,52.23573,-0.894367
NN1 1NH,52.23627,-0.89696
NN1 1NJ,52.23643,-0.897601
NN1 1NL,52.23576,-0.897295
NN1 1NN,52.23702,-0.893046
NN1 1NQ,52.23576,-0.897295
NN1 1NR,52.2362,-0.897562
NN1 1NS,52.23543,-0.89701
NN1 1NT,52.23609,-0.897477
NN1 1NW,52.23643,-0.897601
NN1 1NY,52.23671,-0.903129
NN1 1PA,52.23536,-0.897393
NN1 1PB,52.23608,-0.898473
NN1 1PD,52.23426,-0.897596
NN1 1PE,52.23583,-0.894877
NN1 1PF,52.23386,-0.897079
NN1 1PG,52.23397,-0.898804
NN1 1PH,52.23397,-0.898804
NN1 1PJ,52.23468,-0.898464
NN1 1PL,52.23397,-0.898804
NN1 1PN,52.23495,-0.898033
NN1 1PP,52.2365,-0.897614
NN1 1PR,52.23492,-0.897887
NN1 1PS,52.23585,-0.899123
NN1 1PT,52.23645,-0.89946
NN1 1PU,52.23608,-0.898473
NN1 1PX,52.2349,-0.90171
NN1 1PY,52.23554,-0.900771
NN1 1PZ,52.23237,-0.899209
NN1 1QA,52.23741,-0.894618
