PCDS,LAT,LONG
NP1 0AA,51.59244,-3.050867
NP1 0AB,51.59426,-3.048022
NP1 0AD,51.59511,-3.053817
NP1 0AE,51.59333,-3.052332
NP1 0AF,51.596,-3.055281
NP1 0AG,51.59333,-3.052332
NP1 0AH,51.59421,-3.053796
NP1 0AJ,51.596,-3.055281
NP1 0AL,51.596,-3.055281
NP1 0AN,51.59332,-3.053775
NP1 0AP,51.59334,-3.050888
NP1 0AQ,51.59421,-3.053796
NP1 0AR,51.59333,-3.052332
NP1 0AS,51.59423,-3.052352
NP1 0AT,51.59511,-3.053817
NP1 0AU,51.59691,-3.053858
NP1 0AW,51.59335,-3.049445
NP1 0AX,51.59424,-3.050909
NP1 0AY,51.59514,-3.05093
NP1 0AZ,51.59512,-3.052373
NP1 0BA,51.596,-3.055281
NP1 0BB,51.5951,-3.05526
NP1 0BE,51.59691,-3.053858
NP1 0BG,51.59782,-3.052436
NP1 0BH,51.59871,-3.0539
NP1 0BJ,51.59335,-3.049445
NP1 0BL,51.59782,-3.052436
NP1 0BN,51.59425,-3.049466
NP1 0BP,51.59068,-3.046496
NP1 0BQ,51.59872,-3.052456
NP1 0BS,51.59068,-3.046496
NP1 0BT,51.59159,-3.045074
NP1 0BU,51.59068,-3.046496
NP1 0BW,51.59782,-3.052436
NP1 0BX,51.59159,-3.045074
NP1 0BY,51.59248,-3.046538
NP1 0DB,51.59248,-3.046538
NP1 0DD,51.59247,-3.047981
NP1 0DE,51.59247,-3.047981
NP1 0DF,51.59248,-3.046538
NP1 0DL,51.59248,-3.046538
NP1 0DN,51.59071,-3.04361
NP1 0DW,51.59159,-3.045074
NP1 0XA,51.59066,-3.049383
NP1 0XB,51.59068,-3.046496
NP1 0XD,51.59068,-3.046496
NP1 0XE,51.59066,-3.049383
NP1 0XF,51.59068,-3.046496
NP1 0XG,51.59068,-3.046496
NP1 0YA,51.59459,-3.049964
NP1 0YB,51.59458,-3.049964
NP1 0YD,51.59459,-3.049964
NP1 0YE,51.59458,-3.049964
NP1 0YF,51.59068,-3.046496
NP1 2LT,51.60255,-2.916817
NP1 4AA,51.67161,-3.14236
NP1 4AB,51.67161,-3.14236
NP1 4AD,51.66981,-3.142315
NP1 4AE,51.668,-3.143715
NP1 4AF,51.67252,-3.140937
NP1 4AG,51.67589,-3.164162
NP1 4AH,51.6724,-3.153949
NP1 4AL,51.67521,-3.14245
NP1 4AN,51.67521,-3.14245
NP1 4AP,51.68134,-3.158516
NP1 4AQ,51.68053,-3.149816
NP1 4AR,51.68142,-3.151285
NP1 4AS,51.68142,-3.151285
NP1 4AT,51.68139,-3.154177
NP1 4AU,51.68136,-3.157069
NP1 4AW,51.6777,-3.162762
NP1 4AX,51.68136,-3.157069
NP1 4AY,51.68057,-3.145478
NP1 4AZ,51.69397,-3.154497
NP1 4BA,51.67768,-3.165654
NP1 4BB,51.69316,-3.145796
NP1 4BD,51.69767,-3.144463
NP1 4BE,51.6822,-3.162877
NP1 4BF,51.6786,-3.162785
NP1 4BG,51.68127,-3.165746
NP1 4BH,51.6804,-3.162831
NP1 4BJ,51.67949,-3.164254
NP1 4BL,51.6795,-3.162808
NP1 4BN,51.68055,-3.14837
NP1 4BP,51.67862,-3.161339
NP1 4BQ,51.67952,-3.161362
NP1 4BR,51.67863,-3.159893
NP1 4BS,51.67682,-3.161293
NP1 4BT,51.67501,-3.162693
NP1 4BU,51.68133,-3.159962
NP1 4BW,51.68133,-3.159962
NP1 4BX,51.6804,-3.162831
NP1 4BY,51.67768,-3.165654
NP1 4BZ,51.67769,-3.164208
NP1 4DA,51.67769,-3.164208
NP1 4DB,51.67067,-3.146675
NP1 4DD,51.67859,-3.164231
NP1 4DE,51.67857,-3.165677
NP1 4DF,51.67857,-3.165677
NP1 4DG,51.67067,-3.146675
NP1 4DH,51.67067,-3.146675
NP1 4DJ,51.67065,-3.148121
NP1 4DL,51.67158,-3.145252
NP1 4DN,51.67338,-3.145297
NP1 4DP,51.67696,-3.146833
NP1 4DQ,51.67696,-3.146833
NP1 4DR,51.67876,-3.146879
NP1 4DS,51.67876,-3.146879
NP1 4DT,51.67963,-3.149794
NP1 4DU,51.67785,-3.148302
NP1 4DW,51.67516,-3.146788
NP1 4DX,51.67605,-3.148257
NP1 4DY,51.67605,-3.148257
NP1 4DZ,51.67427,-3.146765
NP1 4EA,51.67247,-3.14672
NP1 4EB,51.67337,-3.146743
NP1 4ED,51.67157,-3.146697
NP1 4EE,51.67247,-3.14672
NP1 4EF,51.68307,-3.165792
NP1 4EG,51.68671,-3.161546
NP1 4EH,51.68671,-3.161546
NP1 4EJ,51.69568,-3.163222
NP1 4EL,51.65971,-3.163747
NP1 4EN,51.65971,-3.163747
NP1 4EP,51.66709,-3.145138
NP1 4EQ,51.66619,-3.145116
NP1 4ER,51.66529,-3.145093
NP1 4ES,51.66618,-3.146561
NP1 4ET,51.66439,-3.14507
NP1 4EU,51.66529,-3.145093
NP1 4EW,51.66439,-3.14507
NP1 4EX,51.66529,-3.145093
NP1 4EY,51.66439,-3.14507
NP1 4EZ,51.66439,-3.14507
NP1 4FA,51.66438,-3.146516
NP1 4FB,51.66349,-3.145048
NP1 4FD,51.66349,-3.145048
NP1 4FE,51.66259,-3.145025
NP1 4FF,51.66348,-3.146493
NP1 4FG,51.66348,-3.146493
NP1 4FH,51.66438,-3.146516
NP1 4FJ,51.66346,-3.147939
NP1 4FL,51.66348,-3.146493
NP1 4FN,51.66346,-3.147939
NP1 4FP,51.66345,-3.149385
NP1 4FQ,51.66342,-3.152276
NP1 4FR,51.66342,-3.152276
NP1 4FS,51.66342,-3.152276
NP1 4FT,51.66341,-3.153721
NP1 4FU,51.66342,-3.152276
NP1 4FW,51.66345,-3.149385
NP1 4FX,51.66342,-3.152276
NP1 4FY,51.66342,-3.152276
NP1 4FZ,51.66352,-3.149777
NP1 4GA,51.66256,-3.147916
NP1 4GB,51.66256,-3.147916
NP1 4GD,51.66258,-3.146471
NP1 4GE,51.66259,-3.145025
NP1 4GF,51.66171,-3.143557
NP1 4GG,51.66259,-3.145025
NP1 4GH,51.66171,-3.143557
NP1 4GJ,51.66171,-3.143557
NP1 4GL,51.66795,-3.149498
NP1 4GN,51.67952,-3.161362
NP1 4GP,51.67953,-3.159916
NP1 4GQ,51.67953,-3.159916
NP1 4GR,51.67953,-3.159916
NP1 4GS,51.66344,-3.15083
NP1 4GT,51.66155,-3.159457
NP1 4GU,51.66341,-3.153721
NP1 4GW,51.66251,-3.153698
NP1 4GX,51.66246,-3.158035
NP1 4GY,51.66248,-3.156589
NP1 4GZ,51.66246,-3.158035
NP1 4HA,51.65606,-3.169436
NP1 4HB,51.66154,-3.160903
NP1 4HD,51.66155,-3.159457
NP1 4HE,51.66065,-3.159434
NP1 4HF,51.66154,-3.160903
NP1 4HG,51.65973,-3.162302
NP1 4HH,51.65784,-3.170928
NP1 4HJ,51.65883,-3.162279
NP1 4HL,51.65793,-3.162256
NP1 4HN,51.65789,-3.166592
NP1 4HP,51.65879,-3.166615
NP1 4HQ,51.65789,-3.166592
NP1 4HR,51.65787,-3.168037
NP1 4HS,51.65697,-3.168014
NP1 4HT,51.65696,-3.169459
NP1 4HU,51.65787,-3.168037
NP1 4HW,51.65883,-3.162279
NP1 4HX,51.65787,-3.168037
NP1 4HY,51.67773,-3.15987
NP1 4HZ,51.6967,-3.151673
NP1 4JA,51.69849,-3.151718
NP1 4JB,51.69849,-3.151718
NP1 4JD,51.69851,-3.150272
NP1 4JE,51.6976,-3.151695
NP1 4JF,51.6967,-3.151673
NP1 4JG,51.69758,-3.153142
NP1 4JH,51.69581,-3.150203
NP1 4JJ,51.69761,-3.150249
NP1 4JL,51.69671,-3.150226
NP1 4JN,51.69762,-3.148802
NP1 4JP,51.69675,-3.145886
NP1 4JQ,51.69764,-3.147356
NP1 4JR,51.69584,-3.14731
NP1 4JS,51.69581,-3.150203
NP1 4JT,51.69674,-3.147333
NP1 4JU,51.69584,-3.14731
NP1 4JW,51.69584,-3.14731
NP1 4JX,51.69493,-3.148734
NP1 4JY,51.69583,-3.148757
NP1 4JZ,51.69762,-3.148802
NP1 4LA,51.69312,-3.150135
NP1 4LF,51.69312,-3.150135
NP1 4LG,51.69223,-3.148666
NP1 4LH,51.66709,-3.145138
NP1 4LJ,51.69223,-3.148666
NP1 4LL,51.69223,-3.148666
NP1 4LN,51.69312,-3.150135
NP1 4LP,51.69403,-3.148711
NP1 4LQ,51.69313,-3.148689
NP1 4LR,51.68585,-3.157184
NP1 4LS,51.67766,-3.1671
NP1 4LT,51.67056,-3.158241
NP1 4LU,51.66436,-3.147962
NP1 4LW,51.66435,-3.149407
NP1 4LX,51.66433,-3.150853
NP1 4LY,51.66431,-3.153744
NP1 4LZ,51.66522,-3.152321
NP1 4NA,51.66432,-3.152298
NP1 4NB,51.66523,-3.150876
NP1 4ND,51.6652,-3.153767
NP1 4NE,51.66155,-3.159457
NP1 4NF,51.66338,-3.156612
NP1 4NG,51.66338,-3.156612
NP1 4NH,51.66519,-3.155212
NP1 4NJ,51.66518,-3.156658
NP1 4NL,51.66518,-3.156658
NP1 4NN,51.66518,-3.156658
NP1 4NP,51.66516,-3.158104
NP1 4NQ,51.66696,-3.158149
NP1 4NR,51.66598,-3.1668
NP1 4NS,51.66598,-3.1668
NP1 4NT,51.6615,-3.165239
NP1 4NU,51.66519,-3.155212
NP1 4NW,51.6652,-3.153767
NP1 4NX,51.66519,-3.155212
NP1 4PA,51.67703,-3.139603
NP1 4PB,51.67883,-3.139649
NP1 4PD,51.67884,-3.138202
NP1 4PE,51.67884,-3.138202
NP1 4PF,51.67973,-3.139671
NP1 4PG,51.67974,-3.138225
NP1 4PH,51.68063,-3.139694
NP1 4PJ,51.68151,-3.141162
NP1 4PL,51.68241,-3.141185
NP1 4PN,51.6788,-3.142541
NP1 4PP,51.67882,-3.141095
NP1 4PQ,51.67792,-3.141072
NP1 4PR,51.67612,-3.141027
NP1 4PS,51.67702,-3.141049
NP1 4PT,51.67792,-3.141072
NP1 4PU,51.67792,-3.141072
NP1 4PW,51.67699,-3.143941
NP1 4PX,51.67699,-3.143941
NP1 4PY,51.67699,-3.143941
NP1 4PZ,51.67699,-3.143941
NP1 4QA,51.67789,-3.143964
NP1 4QB,51.67792,-3.141072
NP1 4QD,51.67882,-3.141095
NP1 4QE,51.6779,-3.142518
NP1 4QF,51.67878,-3.145433
NP1 4QG,51.68151,-3.141162
NP1 4QH,51.67884,-3.138202
NP1 4QJ,51.67525,-3.138112
NP1 4QP,51.66709,-3.145138
NP1 4QQ,51.66709,-3.145138
NP1 4QR,51.66799,-3.145161
NP1 4QS,51.6671,-3.143693
NP1 4QT,51.6671,-3.143693
NP1 4QU,51.6671,-3.143693
NP1 4QW,51.66888,-3.145184
NP1 4QX,51.66799,-3.145161
NP1 4QY,51.6689,-3.143738
NP1 4QZ,51.67071,-3.142337
NP1 4RA,51.66888,-3.145184
NP1 4RB,51.6707,-3.143783
NP1 4RD,51.66978,-3.145206
NP1 4RE,51.66797,-3.146607
NP1 4RF,51.66525,-3.14943
NP1 4RG,51.66706,-3.14803
NP1 4RH,51.66703,-3.150921
NP1 4RJ,51.6706,-3.153904
NP1 4RL,51.66615,-3.149453
NP1 4RN,51.66616,-3.148007
NP1 4RQ,51.66613,-3.150898
NP1 4RR,51.66522,-3.152321
NP1 4RS,51.67158,-3.145252
NP1 4RT,51.6725,-3.143828
NP1 4SA,51.6474,-3.13597
NP1 4SB,51.6465,-3.135948
NP1 4SE,51.64738,-3.137415
NP1 4SF,51.64738,-3.137415
NP1 4SG,51.64828,-3.137438
NP1 4SH,51.64918,-3.13746
NP1 4SL,51.64917,-3.138905
NP1 4SN,51.64915,-3.14035
NP1 4SP,51.65005,-3.140373
NP1 4SQ,51.65007,-3.138928
NP1 4SR,51.65007,-3.138928
NP1 4SS,51.65096,-3.13895
NP1 4ST,51.65096,-3.13895
NP1 4SU,51.65098,-3.137505
NP1 4SW,51.65099,-3.13606
NP1 4SX,51.65096,-3.13895
NP1 4SY,51.65098,-3.137505
NP1 4SZ,51.65189,-3.136082
NP1 4TA,51.65279,-3.136105
NP1 4TB,51.65186,-3.138973
NP1 4TD,51.65008,-3.137483
NP1 4TE,51.6483,-3.135993
NP1 4TF,51.6483,-3.135993
NP1 4TG,51.6483,-3.135993
NP1 4TH,51.6483,-3.135993
NP1 4XA,51.66883,-3.144835
NP1 4XB,51.66341,-3.153721
NP1 4XD,51.6653,-3.143648
NP1 4XE,51.66341,-3.153721
NP1 4XF,51.67973,-3.139671
NP1 4XG,51.69389,-3.163176
NP1 4XH,51.67959,-3.154132
NP1 4XJ,51.66529,-3.145093
NP1 4XL,51.67973,-3.139671
NP1 4XN,51.6779,-3.142518
NP1 4XP,51.67958,-3.155578
NP1 4XQ,51.6724,-3.153949
NP1 4XT,51.68307,-3.165792
NP1 4XU,51.67296,-3.148005
NP1 4XW,51.67606,-3.146811
NP1 4XX,51.68307,-3.165792
NP1 4XY,51.66883,-3.144835
NP1 4YA,51.66709,-3.145138
