PCDS,LAT,LONG
NR1 1AA,52.62667,1.309363
NR1 1AB,52.62667,1.309289
NR1 1AD,52.62645,1.300876
NR1 1AE,52.6248,1.319346
NR1 1AF,52.6262,1.309726
NR1 1AG,52.64809,1.330603
NR1 1AH,52.62667,1.309289
NR1 1AJ,52.64809,1.330603
NR1 1AL,52.6262,1.309726
NR1 1AQ,52.64774,1.322961
NR1 1AR,52.62921,1.299414
NR1 1AW,52.6292,1.299414
NR1 1AY,52.62667,1.309289
NR1 1BA,52.62684,1.311223
NR1 1BB,52.64809,1.330603
NR1 1BD,52.62928,1.299848
NR1 1BE,52.64809,1.330603
NR1 1BG,52.62935,1.300888
NR1 1BH,52.62914,1.301079
NR1 1BJ,52.62706,1.310176
NR1 1BL,52.62914,1.301611
NR1 1BN,52.64774,1.32296
NR1 1BP,52.62867,1.305685
NR1 1BQ,52.62921,1.301306
NR1 1BT,52.62897,1.301997
NR1 1BU,52.62824,1.301011
NR1 1BW,52.62957,1.305753
NR1 1BX,52.6282,1.302486
NR1 1BY,52.62835,1.30133
NR1 1BZ,52.62842,1.302222
NR1 1DA,52.62892,1.302378
NR1 1DB,52.62892,1.298949
NR1 1DD,52.62883,1.303761
NR1 1DE,52.6282,1.302486
NR1 1DF,52.64774,1.32296
NR1 1DG,52.62868,1.302848
NR1 1DH,52.62855,1.303311
NR1 1DJ,52.62818,1.303697
NR1 1DL,52.6237,1.315582
NR1 1DN,52.62816,1.304464
NR1 1DP,52.62824,1.304175
NR1 1DQ,52.64774,1.32296
NR1 1DR,52.62763,1.305119
NR1 1DS,52.62763,1.305119
NR1 1DT,52.62763,1.305119
NR1 1DU,52.62799,1.304998
NR1 1DW,52.62822,1.304232
NR1 1DX,52.6278,1.305265
NR1 1DY,52.62927,1.301119
NR1 1DZ,52.62815,1.304596
NR1 1EA,52.629,1.300876
NR1 1EB,52.62667,1.309289
NR1 1ED,52.62268,1.306652
NR1 1EE,52.62747,1.305595
NR1 1EF,52.62677,1.306768
