PCDS,LAT,LONG
NW1 0AA,51.53674,-0.139458
NW1 0AB,51.53735,-0.140154
NW1 0AD,51.53701,-0.140327
NW1 0AE,51.53753,-0.140464
NW1 0AF,51.53078,-0.135405
NW1 0AG,51.53777,-0.140526
NW1 0AH,51.53837,-0.141338
NW1 0AJ,51.53839,-0.142779
NW1 0AL,51.53839,-0.142779
NW1 0AN,51.53839,-0.142779
NW1 0AP,51.53871,-0.141685
NW1 0AQ,51.53747,-0.141375
NW1 0AR,51.53078,-0.135405
NW1 0AS,51.53894,-0.141892
NW1 0AT,51.53922,-0.141722
NW1 0AU,51.5394,-0.14147
NW1 0AW,51.53839,-0.142779
NW1 0AX,51.53964,-0.14045
NW1 0AY,51.53942,-0.140272
NW1 0AZ,51.53858,-0.136413
NW1 0BA,51.53886,-0.140669
NW1 0BB,51.53851,-0.13679
NW1 0BD,51.53814,-0.140151
NW1 0BE,51.53778,-0.139964
NW1 0BF,51.53851,-0.13679
NW1 0BG,51.53782,-0.139659
NW1 0BH,51.53994,-0.134107
NW1 0BJ,51.53816,-0.138881
NW1 0BL,51.53767,-0.139132
NW1 0BN,51.53729,-0.139378
NW1 0BP,51.53693,-0.138787
NW1 0BQ,51.54014,-0.133854
NW1 0BR,51.54018,-0.133492
NW1 0BS,51.53656,-0.138644
NW1 0BT,51.53833,-0.138456
NW1 0BU,51.53655,-0.139971
NW1 0BW,51.53078,-0.135405
NW1 0BX,51.5392,-0.136978
NW1 0BY,51.53962,-0.136355
NW1 0BZ,51.53851,-0.13679
NW1 0DA,51.53683,-0.136196
NW1 0DB,51.53692,-0.135601
NW1 0DD,51.53659,-0.135297
NW1 0DE,51.53617,-0.134968
NW1 0DF,51.53558,-0.135684
NW1 0DG,51.53594,-0.134761
NW1 0DH,51.53744,-0.135507
NW1 0DJ,51.53811,-0.136014
NW1 0DL,51.53863,-0.13706
NW1 0DN,51.53888,-0.136415
NW1 0DP,51.53887,-0.137453
NW1 0DQ,51.53939,-0.135053
NW1 0DR,51.53799,-0.136365
NW1 0DS,51.5373,-0.135773
