PCDS,LAT,LONG
OL1 1AA,53.54151,-2.099824
OL1 1AB,53.54184,-2.112561
OL1 1AD,53.54097,-2.110657
OL1 1AE,53.54151,-2.099824
OL1 1AF,53.54043,-2.098026
OL1 1AG,53.54151,-2.099824
OL1 1AH,53.54162,-2.099553
OL1 1AJ,53.54182,-2.112697
OL1 1AL,53.54001,-2.109146
OL1 1AN,53.53913,-2.113731
OL1 1AP,53.54075,-2.107186
OL1 1AQ,53.54151,-2.099824
OL1 1BA,53.53894,-2.115269
OL1 1BB,53.53849,-2.114136
OL1 1BD,53.5396,-2.115467
OL1 1BE,53.53961,-2.114547
OL1 1BF,53.54071,-2.111622
OL1 1BG,53.53984,-2.113687
OL1 1BH,53.54071,-2.111622
OL1 1BJ,53.53991,-2.112888
OL1 1BL,53.53991,-2.112888
OL1 1BN,53.53991,-2.112888
OL1 1BP,53.53891,-2.110109
OL1 1BQ,53.54151,-2.099824
OL1 1BS,53.53981,-2.113129
OL1 1BT,53.53861,-2.11474
OL1 1BU,53.53928,-2.1153
OL1 1BW,53.53891,-2.113127
OL1 1BX,53.53917,-2.11192
OL1 1BY,53.53981,-2.11162
OL1 1BZ,53.53888,-2.113489
OL1 1DA,53.53841,-2.112446
OL1 1DB,53.54182,-2.06791
OL1 1DD,53.54077,-2.109842
OL1 1DE,53.5396,-2.113928
OL1 1DF,53.53981,-2.110111
OL1 1DG,53.53891,-2.111618
OL1 1DH,53.54071,-2.111622
OL1 1DJ,53.54029,-2.110474
OL1 1DL,53.54057,-2.109826
OL1 1DN,53.54056,-2.109027
OL1 1DP,53.53935,-2.108767
OL1 1DQ,53.54151,-2.099824
OL1 1DR,53.54016,-2.10809
OL1 1DS,53.54059,-2.111532
OL1 1DT,53.54029,-2.110474
OL1 1DU,53.54099,-2.107368
OL1 1DW,53.53971,-2.110262
OL1 1DX,53.54087,-2.110551
OL1 1DY,53.54087,-2.110551
OL1 1DZ,53.5413,-2.106161
OL1 1EA,53.54089,-2.106145
OL1 1EB,53.54056,-2.106099
OL1 1ED,53.5407,-2.106613
OL1 1EE,53.54071,-2.105587
