PCDS,LAT,LONG
OX1 1AA,51.75024,-1.267349
OX1 1AB,51.75103,-1.258818
OX1 1AD,51.75838,-1.273041
OX1 1AE,51.75865,-1.272689
OX1 1AF,51.75872,-1.273094
OX1 1AG,51.7569,-1.2725
OX1 1AH,51.74983,-1.261474
OX1 1AJ,51.75942,-1.269707
OX1 1AL,51.75849,-1.263926
OX1 1AN,51.74931,-1.259773
OX1 1AP,51.75024,-1.267349
OX1 1AQ,51.75125,-1.256801
OX1 1AR,51.75942,-1.269707
OX1 1AS,51.75024,-1.267349
OX1 1AT,51.74983,-1.261474
OX1 1AU,51.75127,-1.259698
OX1 1AW,51.74879,-1.258724
OX1 1AX,51.74983,-1.261474
OX1 1AY,51.75112,-1.261989
OX1 1AZ,51.75196,-1.263496
OX1 1BA,51.75089,-1.264528
OX1 1BB,51.75052,-1.262144
OX1 1BD,51.75149,-1.257608
OX1 1BE,51.75052,-1.262144
OX1 1BF,51.75024,-1.267349
OX1 1BG,51.75024,-1.267349
OX1 1BH,51.75037,-1.259712
OX1 1BJ,51.75037,-1.259712
OX1 1BL,51.75072,-1.258562
OX1 1BN,51.74785,-1.255886
OX1 1BP,51.75056,-1.257898
OX1 1BQ,51.75037,-1.259712
OX1 1BS,51.75123,-1.256989
OX1 1BT,51.75077,-1.257272
OX1 1BU,51.7512,-1.257482
OX1 1BW,51.74765,-1.25686
OX1 1BX,51.75166,-1.256895
OX1 1BY,51.75232,-1.263635
OX1 1BZ,51.75128,-1.270026
OX1 1DA,51.75064,-1.257129
OX1 1DB,51.74859,-1.255787
OX1 1DD,51.75036,-1.258264
OX1 1DE,51.75182,-1.257327
OX1 1DF,51.75136,-1.257538
OX1 1DG,51.74746,-1.25582
OX1 1DH,51.74983,-1.261474
OX1 1DJ,51.75145,-1.260549
OX1 1DL,51.75123,-1.256989
OX1 1DN,51.75001,-1.261848
OX1 1DP,51.74991,-1.256533
OX1 1DQ,51.7475,-1.256225
OX1 1DR,51.7494,-1.257121
OX1 1DS,51.75136,-1.257538
OX1 1DT,51.74766,-1.258308
OX1 1DU,51.75084,-1.261443
OX1 1DW,51.7503,-1.258917
OX1 1DX,51.75024,-1.267349
OX1 1DY,51.75136,-1.257538
OX1 1DZ,51.75134,-1.25706
OX1 1EA,51.75151,-1.257622
OX1 1EB,51.74942,-1.263784
OX1 1ED,51.75126,-1.258249
OX1 1EE,51.74879,-1.258275
OX1 1EF,51.75136,-1.257538
OX1 1EG,51.75126,-1.258249
OX1 1EH,51.75057,-1.262345
OX1 1EJ,51.75172,-1.258126
OX1 1EL,51.74983,-1.261474
OX1 1EN,51.75024,-1.267349
OX1 1EP,51.75135,-1.259421
OX1 1EQ,51.74726,-1.257836
OX1 1ER,51.75177,-1.259356
OX1 1ES,51.74737,-1.25798
OX1 1ET,51.7519,-1.258412
OX1 1EU,51.75171,-1.260328
OX1 1EW,51.74747,-1.258195
OX1 1EX,51.74762,-1.258685
OX1 1EY,51.75127,-1.259698
OX1 1EZ,51.74865,-1.259596
OX1 1FA,51.75095,-1.257718
OX1 1FB,51.75024,-1.267349
OX1 1FD,51.75024,-1.267349
OX1 1FH,51.75127,-1.259698
OX1 1FJ,51.74983,-1.261474
OX1 1FL,51.75024,-1.267349
OX1 1FP,51.75024,-1.267349
OX1 1FR,51.75024,-1.267349
OX1 1FS,51.75024,-1.267349
OX1 1FT,51.75024,-1.267349
OX1 1FX,51.75024,-1.267349
OX1 1GA,51.75989,-1.273075
OX1 1GB,51.75989,-1.273075
OX1 1GD,51.75989,-1.273075
OX1 1GE,51.75989,-1.273075
OX1 1GF,51.75989,-1.273075
OX1 1GH,51.75989,-1.273075
OX1 1GJ,51.75989,-1.273075
OX1 1GL,51.75989,-1.273075
OX1 1HA,51.75149,-1.257608
OX1 1HB,51.75176,-1.257792
OX1 1HD,51.75127,-1.264073
OX1 1HE,51.75024,-1.267349
OX1 1HF,51.75088,-1.263905
OX1 1HG,51.75083,-1.264818
OX1 1HH,51.75293,-1.265552
OX1 1HJ,51.75264,-1.265977
OX1 1HL,51.75221,-1.266926
OX1 1HN,51.75256,-1.26566
OX1 1HP,51.75329,-1.268342
OX1 1HQ,51.75173,-1.265021
OX1 1HR,51.75293,-1.267131
OX1 1HS,51.75343,-1.270079
OX1 1HT,51.75209,-1.264885
OX1 1HU,51.75251,-1.268471
OX1 1HW,51.75577,-1.271432
OX1 1HX,51.75176,-1.257792
OX1 1HY,51.75764,-1.273256
OX1 1HZ,51.75782,-1.272485
OX1 1JA,51.75213,-1.265638
OX1 1JB,51.75083,-1.263413
OX1 1JD,51.75256,-1.265674
OX1 1JE,51.75137,-1.264926
OX1 1JF,51.75166,-1.265964
OX1 1JG,51.75146,-1.26517
OX1 1JH,51.75164,-1.267051
OX1 1JJ,51.7517,-1.266688
OX1 1JL,51.7517,-1.267847
OX1 1JN,51.75232,-1.263635
OX1 1JP,51.75193,-1.266351
OX1 1JQ,51.75283,-1.265959
OX1 1JR,51.7519,-1.266583
OX1 1JS,51.75138,-1.266678
OX1 1JT,51.75134,-1.266404
OX1 1JU,51.75132,-1.265665
OX1 1JW,51.75112,-1.265277
OX1 1JX,51.75134,-1.265882
OX1 1JY,51.75182,-1.26444
OX1 1JZ,51.752,-1.264423
OX1 1LA,51.75117,-1.264639
OX1 1LB,51.7514,-1.266388
OX1 1LD,51.75087,-1.262572
OX1 1LE,51.75129,-1.26752
OX1 1LF,51.75103,-1.268509
OX1 1LG,51.75181,-1.260471
OX1 1LH,51.7509,-1.261949
OX1 1LJ,51.75098,-1.261788
OX1 1LL,51.75149,-1.260665
OX1 1LN,51.75088,-1.262283
OX1 1LP,51.75107,-1.260193
OX1 1LQ,51.75187,-1.260137
OX1 1LR,51.75039,-1.262609
OX1 1LS,51.75181,-1.260471
OX1 1LT,51.75191,-1.260629
OX1 1LU,51.75237,-1.261273
OX1 1LW,51.75171,-1.260328
OX1 1LX,51.75198,-1.262221
OX1 1LY,51.74833,-1.256834
OX1 1LZ,51.75163,-1.262314
OX1 1NA,51.75232,-1.263635
OX1 1NB,51.75024,-1.267349
OX1 1ND,51.75182,-1.261862
OX1 1NE,51.74871,-1.25748
OX1 1NF,51.75262,-1.261921
OX1 1NG,51.75242,-1.26417
OX1 1NH,51.7518,-1.265179
OX1 1NJ,51.75115,-1.266682
OX1 1NL,51.74905,-1.268107
OX1 1NN,51.75106,-1.270276
OX1 1NP,51.75116,-1.266233
OX1 1NQ,51.75214,-1.264015
OX1 1NR,51.75119,-1.266073
OX1 1NS,51.75198,-1.263525
OX1 1NT,51.74983,-1.261474
OX1 1NU,51.75109,-1.260932
OX1 1NW,51.75024,-1.267349
OX1 1NX,51.75045,-1.260855
OX1 1NY,51.75081,-1.267484
OX1 1NZ,51.75073,-1.260909
OX1 1PA,51.75042,-1.260334
OX1 1PB,51.74986,-1.261633
OX1 1PD,51.75135,-1.260189
OX1 1PE,51.75033,-1.260915
OX1 1PF,51.75103,-1.260136
OX1 1PG,51.7494,-1.26109
OX1 1PH,51.75038,-1.261161
OX1 1PJ,51.74983,-1.261474
OX1 1PL,51.75024,-1.267349
OX1 1PN,51.74983,-1.261474
OX1 1PP,51.75216,-1.268723
OX1 1PQ,51.74915,-1.258747
OX1 1PR,51.7514,-1.268112
OX1 1PS,51.75011,-1.259514
OX1 1PT,51.75011,-1.259514
OX1 1PU,51.75093,-1.259775
OX1 1PW,51.74031,-1.233807
OX1 1PX,51.74873,-1.259638
OX1 1PY,51.74899,-1.262806
OX1 1PZ,51.75037,-1.259712
OX1 1QA,51.75011,-1.259514
OX1 1QB,51.74992,-1.259893
OX1 1QE,51.75036,-1.259901
OX1 1QF,51.75071,-1.26017
OX1 1QG,51.74982,-1.259229
OX1 1QH,51.75108,-1.259411
OX1 1QJ,51.75038,-1.261161
OX1 1QL,51.74977,-1.260113
OX1 1QN,51.74967,-1.257174
OX1 1QP,51.74984,-1.258533
OX1 1QQ,51.75047,-1.259204
OX1 1QR,51.75024,-1.267349
OX1 1QS,51.74978,-1.258099
OX1 1QT,51.74976,-1.259215
OX1 1QU,51.7492,-1.259876
OX1 1QW,51.74964,-1.257769
OX1 1QX,51.74954,-1.25919
OX1 1QY,51.74856,-1.258293
OX1 1QZ,51.74911,-1.259226
OX1 1RA,51.74907,-1.256822
OX1 1RB,51.74855,-1.256845
OX1 1RD,51.74908,-1.257358
OX1 1RE,51.74897,-1.257099
OX1 1RF,51.75019,-1.268581
OX1 1RG,51.74856,-1.258293
OX1 1RH,51.74813,-1.258344
OX1 1RJ,51.7492,-1.258196
OX1 1RL,51.74907,-1.259632
OX1 1RN,51.74915,-1.258675
OX1 1RP,51.74802,-1.261619
OX1 1RQ,51.74849,-1.265291
OX1 1RR,51.74921,-1.258485
OX1 1RS,51.74791,-1.260346
OX1 1RT,51.74774,-1.261218
OX1 1RU,51.74759,-1.260439
OX1 1RW,51.74921,-1.258485
OX1 1RX,51.75071,-1.266501
OX1 1RY,51.74952,-1.266969
OX1 1RZ,51.75024,-1.267349
OX1 1SA,51.74955,-1.264506
OX1 1SB,51.74937,-1.258772
OX1 1SD,51.75232,-1.263635
OX1 1SE,51.74766,-1.258308
OX1 1SF,51.75024,-1.267349
OX1 1SG,51.74939,-1.259294
OX1 1SH,51.7501,-1.259514
OX1 1SJ,51.75132,-1.268389
OX1 1SL,51.74728,-1.257184
OX1 1SN,51.74659,-1.257862
OX1 1SP,51.74784,-1.256147
OX1 1SQ,51.74947,-1.259727
OX1 1SR,51.74689,-1.255583
OX1 1SS,51.74834,-1.255472
OX1 1ST,51.74754,-1.256745
OX1 1SU,51.74717,-1.258577
OX1 1SW,51.74695,-1.256813
OX1 1SX,51.75024,-1.267349
OX1 1SY,51.74879,-1.268038
OX1 1SZ,51.74831,-1.256153
OX1 1TA,51.75024,-1.267349
OX1 1TB,51.74991,-1.26844
OX1 1TD,51.75024,-1.267349
OX1 1TE,51.75014,-1.268683
OX1 1TG,51.74964,-1.262926
OX1 1TH,51.75182,-1.261862
OX1 1TJ,51.74921,-1.258485
OX1 1TL,51.74818,-1.257054
OX1 1TN,51.74762,-1.262408
OX1 1TP,51.74921,-1.258485
OX1 1TQ,51.74704,-1.261911
OX1 1TR,51.74777,-1.259958
OX1 1TS,51.74847,-1.262872
OX1 1TT,51.74802,-1.259504
OX1 1TU,51.74704,-1.262896
OX1 1TW,51.75027,-1.263104
OX1 1TX,51.74736,-1.263035
OX1 1TY,51.74805,-1.263603
OX1 1TZ,51.74983,-1.261474
OX1 1UA,51.74885,-1.260114
OX1 1UB,51.74879,-1.259043
OX1 1UD,51.74995,-1.262283
OX1 1UE,51.75071,-1.240599
OX1 1UF,51.7567,-1.265404
OX1 1UG,51.74857,-1.259742
OX1 1UH,51.7486,-1.257221
OX1 1UJ,51.74871,-1.25748
OX1 1UL,51.74753,-1.257774
OX1 1UP,51.74925,-1.258775
OX1 1UQ,51.74954,-1.260247
OX1 1UR,51.7492,-1.258196
OX1 1US,51.74983,-1.261474
OX1 1UT,51.75024,-1.267349
OX1 1UU,51.74983,-1.261474
OX1 1UX,51.74983,-1.261474
OX1 1WA,51.75024,-1.267349
OX1 1WB,51.75024,-1.267349
OX1 1WD,51.75024,-1.267349
OX1 1WE,51.75024,-1.267349
OX1 1WF,51.75024,-1.267349
OX1 1WG,51.75024,-1.267349
OX1 1WJ,51.75024,-1.267349
OX1 1WP,51.75024,-1.267349
OX1 1WQ,51.75024,-1.267349
OX1 1WR,51.75024,-1.267349
OX1 1WT,51.75024,-1.267349
OX1 1WU,51.75024,-1.267349
OX1 1WW,51.75024,-1.267349
OX1 1WX,51.75024,-1.267349
OX1 1WY,51.75024,-1.267349
OX1 1WZ,51.75024,-1.267349
OX1 1XA,51.74983,-1.261474
OX1 1XB,51.74983,-1.261474
OX1 1XD,51.74983,-1.261474
OX1 1XE,51.75042,-1.266955
OX1 1XF,51.74983,-1.261474
OX1 1XG,51.74952,-1.266969
OX1 1XH,51.74983,-1.261474
OX1 1XJ,51.74983,-1.261474
OX1 1XL,51.74983,-1.261474
OX1 1XN,51.74983,-1.261474
OX1 1XP,51.74983,-1.261474
OX1 1XQ,51.75024,-1.267349
OX1 1XR,51.75024,-1.267349
OX1 1XS,51.75024,-1.267349
OX1 1XT,51.74983,-1.261474
OX1 1XU,51.74983,-1.261474
OX1 1XW,51.75024,-1.267349
OX1 1XX,51.75024,-1.267349
OX1 1XY,51.75024,-1.267349
OX1 1YB,51.75024,-1.267349
OX1 1YD,51.74983,-1.261474
OX1 1YH,51.75261,-1.266687
OX1 1YJ,51.74983,-1.261474
OX1 1YL,51.75024,-1.267349
OX1 1YP,51.74813,-1.258344
OX1 1YX,51.75089,-1.264528
OX1 1ZB,51.75095,-1.257718
OX1 1ZD,51.75024,-1.267349
OX1 1ZE,51.75024,-1.267349
OX1 1ZG,51.75024,-1.267349
OX1 1ZH,51.75024,-1.267349
OX1 1ZJ,51.75095,-1.257718
OX1 1ZL,51.75024,-1.267349
OX1 1ZY,51.75095,-1.257718
OX1 1ZZ,51.75095,-1.257718
OX1 2AA,51.75326,-1.262794
OX1 2AB,51.75356,-1.259892
OX1 2AD,51.75396,-1.259654
OX1 2AE,51.75384,-1.26038
OX1 2AF,51.754,-1.259638
OX1 2AG,51.754,-1.260319
OX1 2AH,51.75332,-1.26288
OX1 2AJ,51.75327,-1.262794
OX1 2AL,51.75327,-1.262794
OX1 2AN,51.75359,-1.262644
OX1 2AP,51.75024,-1.267349
OX1 2AQ,51.75358,-1.262514
OX1 2AR,51.75376,-1.259309
OX1 2AS,51.75376,-1.259309
OX1 2AT,51.75361,-1.259471
OX1 2AU,51.75362,-1.259992
OX1 2AW,51.75429,-1.263067
OX1 2AX,51.75527,-1.261776
OX1 2AY,51.7535,-1.260342
OX1 2AZ,51.75306,-1.259668
OX1 2BA,51.75307,-1.261117
OX1 2BB,51.75402,-1.259348
OX1 2BD,51.75352,-1.260675
OX1 2BE,51.75339,-1.261995
OX1 2BF,51.75024,-1.267349
OX1 2BG,51.75309,-1.264014
OX1 2BH,51.75308,-1.262565
OX1 2BJ,51.75385,-1.261032
OX1 2BL,51.75367,-1.261933
OX1 2BN,51.75419,-1.260939
OX1 2BP,51.75361,-1.260384
OX1 2BQ,51.75332,-1.26288
OX1 2BS,51.75397,-1.261102
OX1 2BT,51.75385,-1.261032
OX1 2BU,51.75408,-1.26223
OX1 2BW,51.75402,-1.259348
OX1 2BX,51.7541,-1.263143
OX1 2BY,51.7545,-1.260355
OX1 2BZ,51.75436,-1.260516
OX1 2DA,51.75457,-1.262411
OX1 2DB,51.7545,-1.260355
OX1 2DD,51.75432,-1.267065
OX1 2DE,51.75334,-1.260605
OX1 2DF,51.75439,-1.261733
OX1 2DG,51.75283,-1.258513
OX1 2DH,51.75304,-1.260813
OX1 2DJ,51.75127,-1.261146
OX1 2DL,51.75277,-1.260731
OX1 2DN,51.75334,-1.260605
OX1 2DP,51.75218,-1.259465
OX1 2DQ,51.75202,-1.259758
OX1 2DR,51.75336,-1.259287
OX1 2DS,51.75313,-1.260247
OX1 2DT,51.75307,-1.261117
OX1 2DU,51.75356,-1.259197
OX1 2DW,51.75234,-1.260057
OX1 2DX,51.75306,-1.259668
OX1 2DY,51.75306,-1.259668
OX1 2DZ,51.7523,-1.260043
OX1 2EA,51.75202,-1.259758
OX1 2EB,51.75331,-1.260273
OX1 2ED,51.75024,-1.267349
OX1 2EE,51.75024,-1.267349
OX1 2EF,51.75024,-1.267349
OX1 2EG,51.75024,-1.267349
OX1 2EH,51.75369,-1.267365
OX1 2EJ,51.7531,-1.267896
OX1 2EL,51.75856,-1.261462
OX1 2EN,51.75312,-1.26836
OX1 2EP,51.75349,-1.265905
OX1 2EQ,51.75024,-1.267349
OX1 2ER,51.75764,-1.262868
OX1 2ES,51.75768,-1.261708
OX1 2ET,51.75338,-1.267182
OX1 2EU,51.75311,-1.266911
OX1 2EW,51.75323,-1.266054
OX1 2EX,51.75024,-1.267349
OX1 2EY,51.75024,-1.267349
OX1 2EZ,51.75385,-1.265914
OX1 2FA,51.75024,-1.267349
OX1 2FB,51.75557,-1.263032
OX1 2FS,51.75391,-1.266
OX1 2FU,51.75024,-1.267349
OX1 2HA,51.75024,-1.267349
OX1 2HB,51.7542,-1.263547
OX1 2HD,51.75592,-1.263055
OX1 2HE,51.75625,-1.263658
OX1 2HF,51.75814,-1.262599
OX1 2HG,51.75674,-1.263534
OX1 2HH,51.7585,-1.261782
OX1 2HJ,51.75024,-1.267349
