PCDS,LAT,LONG
PA1 1AA,55.84687,-4.422785
PA1 1AB,55.84677,-4.424791
PA1 1AD,55.84403,-4.418295
PA1 1AE,55.84472,-4.417906
PA1 1AF,55.84383,-4.418218
PA1 1AG,55.84414,-4.426656
PA1 1AH,55.84369,-4.420765
PA1 1AJ,55.84296,-4.414826
PA1 1AL,55.84403,-4.418295
PA1 1AN,55.84403,-4.418295
PA1 1AQ,55.8484,-4.438233
PA1 1AR,55.84403,-4.418295
PA1 1AS,55.84513,-4.417197
PA1 1AU,55.84509,-4.418712
PA1 1AW,55.84488,-4.426878
PA1 1AX,55.84525,-4.418722
PA1 1AY,55.8454,-4.418731
PA1 1AZ,55.84591,-4.418747
PA1 1BA,55.84685,-4.425259
PA1 1BB,55.8484,-4.438233
PA1 1BD,55.84732,-4.414681
PA1 1BE,55.84629,-4.425049
PA1 1BF,55.84403,-4.418295
PA1 1BG,55.84567,-4.424563
PA1 1BH,55.8484,-4.438233
PA1 1BJ,55.84402,-4.412192
PA1 1BL,55.84613,-4.4244
PA1 1BN,55.84641,-4.424353
PA1 1BP,55.84681,-4.424714
PA1 1BQ,55.84617,-4.425105
PA1 1BS,55.84717,-4.424161
PA1 1BT,55.84516,-4.404914
PA1 1BU,55.84403,-4.418295
PA1 1BW,55.8484,-4.438233
PA1 1BX,55.84645,-4.425314
PA1 1BY,55.84595,-4.42343
PA1 1BZ,55.84595,-4.42343
PA1 1DA,55.84433,-4.417818
PA1 1DB,55.84618,-4.424004
PA1 1DD,55.84616,-4.42405
PA1 1DE,55.84143,-4.423707
PA1 1DF,55.8462,-4.423525
PA1 1DG,55.84616,-4.424034
PA1 1DH,55.8462,-4.423525
PA1 1DJ,55.84671,-4.425618
PA1 1DL,55.84689,-4.425853
PA1 1DN,55.84692,-4.427213
PA1 1DP,55.8462,-4.423525
PA1 1DQ,55.84618,-4.424004
PA1 1DR,55.84784,-4.426424
PA1 1DS,55.84766,-4.426492
PA1 1DT,55.84684,-4.422926
PA1 1DU,55.8462,-4.423525
PA1 1DW,55.84701,-4.427729
PA1 1DX,55.8484,-4.438233
PA1 1DY,55.84705,-4.422779
PA1 1DZ,55.84443,-4.42645
PA1 1EA,55.84626,-4.421932
PA1 1EB,55.84647,-4.421513
PA1 1ED,55.84655,-4.422093
PA1 1EE,55.84559,-4.417593
PA1 1EF,55.84526,-4.418483
PA1 1EG,55.84505,-4.417863
PA1 1EH,55.84639,-4.422499
PA1 1EJ,55.8484,-4.438233
PA1 1EL,55.84622,-4.422712
PA1 1EN,55.84687,-4.422785
PA1 1EP,55.84597,-4.421163
PA1 1EQ,55.84651,-4.423417
PA1 1ER,55.8461,-4.419797
PA1 1ES,55.84628,-4.419169
PA1 1ET,55.84628,-4.419169
PA1 1EU,55.84593,-4.420841
PA1 1EW,55.84593,-4.420489
PA1 1EX,55.84662,-4.417673
PA1 1EY,55.84666,-4.416557
PA1 1EZ,55.84392,-4.424422
PA1 1FA,55.84364,-4.421529
PA1 1FB,55.84225,-4.416331
PA1 1FD,55.84708,-4.419507
PA1 1FE,55.8473,-4.420367
PA1 1FF,55.84706,-4.421486
PA1 1FG,55.84723,-4.420985
PA1 1FH,55.84721,-4.421496
PA1 1FJ,55.8469,-4.420278
PA1 1FL,55.84689,-4.420773
PA1 1FN,55.84689,-4.421028
PA1 1FP,55.84515,-4.405281
PA1 1GR,55.84384,-4.406717
PA1 1GS,55.84421,-4.406357
PA1 1GT,55.84394,-4.407619
PA1 1GZ,55.84175,-4.414799
PA1 1HA,55.84621,-4.420188
PA1 1HB,55.8464,-4.419384
PA1 1HD,55.84678,-4.419807
PA1 1HE,55.84691,-4.419256
PA1 1HF,55.84698,-4.419181
PA1 1HG,55.84663,-4.418839
PA1 1HH,55.8484,-4.438233
PA1 1HJ,55.8476,-4.419507
PA1 1HL,55.84125,-4.407612
PA1 1HN,55.84155,-4.408461
PA1 1HP,55.84713,-4.419062
PA1 1HQ,55.84665,-4.41892
PA1 1HR,55.84761,-4.418037
PA1 1HS,55.84794,-4.41734
PA1 1HT,55.84657,-4.413196
PA1 1HU,55.84598,-4.412888
PA1 1HW,55.84755,-4.418657
PA1 1HX,55.84554,-4.41251
PA1 1HY,55.84403,-4.418295
