PCDS,LAT,LONG
PE1 1AA,52.57538,-0.250029
PE1 1AB,52.57265,-0.245592
PE1 1AD,52.57407,-0.248384
PE1 1AE,52.57538,-0.250029
PE1 1AF,52.57407,-0.248384
PE1 1AG,52.61351,-0.286558
PE1 1AH,52.59222,-0.259471
PE1 1AJ,52.57188,-0.246597
PE1 1AL,52.59035,-0.255116
PE1 1AN,52.59035,-0.255116
PE1 1AP,52.59068,-0.259044
PE1 1AQ,52.59132,-0.259506
PE1 1AR,52.57198,-0.24522
PE1 1AS,52.57223,-0.24462
PE1 1AT,52.57223,-0.24462
PE1 1AU,52.57302,-0.241741
PE1 1AW,52.59222,-0.259471
PE1 1AX,52.57302,-0.241741
PE1 1AY,52.57585,-0.24086
PE1 1AZ,52.61351,-0.286558
PE1 1BA,52.57119,-0.244868
PE1 1BB,52.57133,-0.245542
PE1 1BD,52.5677,-0.242736
PE1 1BE,52.57302,-0.241741
PE1 1BF,52.57148,-0.241994
PE1 1BG,52.61351,-0.286558
PE1 1BH,52.57756,-0.240866
PE1 1BJ,52.57302,-0.241741
PE1 1BL,52.61351,-0.286558
PE1 1BN,52.57302,-0.241741
PE1 1BP,52.61351,-0.286558
PE1 1BQ,52.57302,-0.241741
PE1 1BT,52.57488,-0.242448
PE1 1BX,52.57133,-0.245542
PE1 1BY,52.57164,-0.245249
PE1 1BZ,52.57309,-0.24252
PE1 1DA,52.57147,-0.245388
PE1 1DB,52.57039,-0.242628
PE1 1DD,52.57047,-0.245753
PE1 1DE,52.57654,-0.241423
PE1 1DF,52.57043,-0.245577
PE1 1DG,52.57043,-0.245577
PE1 1DH,52.57134,-0.243475
PE1 1DJ,52.5723,-0.24385
PE1 1DL,52.61676,-0.290257
PE1 1DN,52.57164,-0.245249
PE1 1DP,52.57144,-0.242601
PE1 1DQ,52.57143,-0.243737
PE1 1DR,52.57129,-0.242592
PE1 1DS,52.57141,-0.243797
PE1 1DT,52.57092,-0.242725
PE1 1DU,52.57077,-0.243011
PE1 1DW,52.57188,-0.24248
PE1 1DX,52.57051,-0.24308
PE1 1DY,52.56941,-0.24218
PE1 1DZ,52.56949,-0.242664
PE1 1EB,52.56947,-0.241189
PE1 1ED,52.56982,-0.241529
PE1 1EE,52.56855,-0.23975
PE1 1EF,52.56868,-0.23852
PE1 1EG,52.56856,-0.241284
PE1 1EH,52.56929,-0.241624
PE1 1EJ,52.56991,-0.239902
PE1 1EL,52.56966,-0.24279
PE1 1EN,52.56892,-0.241417
PE1 1EP,52.56888,-0.242009
PE1 1EQ,52.56887,-0.241154
PE1 1ER,52.56855,-0.242893
PE1 1ES,52.56845,-0.244299
PE1 1ET,52.56903,-0.244099
PE1 1EU,52.57585,-0.24086
PE1 1EW,52.56861,-0.244174
PE1 1EX,52.56977,-0.241516
PE1 1EY,52.61351,-0.286558
PE1 1EZ,52.61351,-0.286558
PE1 1FA,52.57148,-0.241994
PE1 1FB,52.57585,-0.24086
PE1 1FD,52.57585,-0.24086
PE1 1FE,52.57585,-0.24086
PE1 1FF,52.57585,-0.24086
PE1 1FG,52.57192,-0.244824
PE1 1FH,52.57544,-0.238589
PE1 1FJ,52.57568,-0.238019
PE1 1FP,52.56815,-0.242171
PE1 1FQ,52.57532,-0.239096
PE1 1FR,52.57192,-0.244824
PE1 1FU,52.5742,-0.23793
PE1 1FW,52.5753,-0.237768
PE1 1FX,52.56859,-0.241991
PE1 1FZ,52.57585,-0.24086
PE1 1GF,52.57148,-0.241994
PE1 1GG,52.57302,-0.241741
PE1 1GL,52.61351,-0.286558
PE1 1GN,52.61351,-0.286558
PE1 1GP,52.61676,-0.290257
PE1 1GQ,52.57311,-0.243995
PE1 1GR,52.61351,-0.286558
PE1 1GS,52.57148,-0.241994
PE1 1GT,52.61351,-0.286558
PE1 1GU,52.61338,-0.286179
PE1 1GW,52.61351,-0.286558
PE1 1GX,52.61676,-0.290257
PE1 1GY,52.57458,-0.241486
PE1 1GZ,52.5742,-0.23793
PE1 1HA,52.57094,-0.242016
PE1 1HB,52.56794,-0.241029
PE1 1HD,52.57039,-0.242628
PE1 1HE,52.57039,-0.242628
PE1 1HF,52.57148,-0.241994
PE1 1HG,52.57148,-0.241994
PE1 1HH,52.5718,-0.241922
PE1 1HJ,52.57185,-0.24195
PE1 1HL,52.57148,-0.241994
PE1 1HN,52.57129,-0.242592
PE1 1HP,52.57219,-0.242556
PE1 1HQ,52.57148,-0.241994
PE1 1HR,52.57148,-0.241994
PE1 1HS,52.56794,-0.241029
PE1 1HT,52.57148,-0.241994
PE1 1HU,52.56794,-0.241029
PE1 1HW,52.61676,-0.290257
PE1 1HX,52.57219,-0.242556
PE1 1HY,52.57133,-0.245542
PE1 1HZ,52.57585,-0.24086
PE1 1JA,52.57166,-0.244245
PE1 1JB,52.57188,-0.246597
PE1 1JD,52.57131,-0.244067
PE1 1JE,52.5741,-0.238893
PE1 1JF,52.57172,-0.242589
PE1 1JG,52.57133,-0.245542
PE1 1JH,52.57188,-0.246597
PE1 1JJ,52.57206,-0.245985
PE1 1JL,52.57182,-0.244046
PE1 1JN,52.5717,-0.242738
PE1 1JP,52.57185,-0.244207
PE1 1JQ,52.57146,-0.243013
PE1 1JR,52.57188,-0.244472
PE1 1JS,52.57133,-0.245542
PE1 1JT,52.57302,-0.241741
PE1 1JU,52.5722,-0.246835
PE1 1JW,52.5722,-0.246835
PE1 1JX,52.5722,-0.246835
PE1 1JY,52.5741,-0.238893
PE1 1JZ,52.57203,-0.245529
PE1 1LA,52.57135,-0.247016
PE1 1LB,52.57209,-0.246028
PE1 1LD,52.57135,-0.247016
PE1 1LE,52.57135,-0.247016
