PCDS,LAT,LONG
PH1 0AA,56.42476,-3.490495
PH1 0AB,56.42442,-3.490547
PH1 0AD,56.42386,-3.489277
PH1 0AE,56.42384,-3.490784
PH1 0AF,56.42376,-3.491526
PH1 0AG,56.42462,-3.488593
PH1 0AH,56.42393,-3.492635
PH1 0AJ,56.42279,-3.492234
PH1 0AL,56.42316,-3.484904
PH1 0AN,56.42456,-3.484181
PH1 0AP,56.42422,-3.484897
PH1 0AQ,56.42359,-3.486056
PH1 0AR,56.42444,-3.486186
PH1 0AS,56.4231,-3.485453
PH1 0AT,56.42571,-3.484647
PH1 0AU,56.42221,-3.48498
PH1 0AW,56.42365,-3.492722
PH1 0AX,56.42288,-3.494767
PH1 0AY,56.42448,-3.485523
PH1 0AZ,56.42347,-3.493217
PH1 0BA,56.42349,-3.49377
PH1 0BB,56.42331,-3.494184
PH1 0BD,56.42301,-3.494302
PH1 0BE,56.42134,-3.495225
PH1 0BF,56.42207,-3.494216
PH1 0BG,56.42199,-3.49384
PH1 0BL,56.42223,-3.492537
PH1 0BN,56.42311,-3.493414
PH1 0BP,56.4208,-3.493972
PH1 0BQ,56.42132,-3.494284
PH1 0BT,56.42531,-3.48601
PH1 0BU,56.41994,-3.494489
PH1 1AA,56.40307,-3.447403
PH1 1AB,56.3751,-3.600852
PH1 1AD,56.39747,-3.537161
PH1 1AE,56.37518,-3.598782
PH1 1AF,56.37412,-3.597151
PH1 1BA,56.39457,-3.452427
PH1 1BB,56.39399,-3.453798
PH1 1BD,56.39383,-3.455169
PH1 1BE,56.39044,-3.452626
PH1 1BG,56.3877,-3.456409
PH1 1BH,56.3929,-3.452201
PH1 1BJ,56.3929,-3.45395
PH1 1BL,56.39245,-3.454014
PH1 1BN,56.3914,-3.453067
PH1 1BP,56.39051,-3.456208
PH1 1BQ,56.39242,-3.454807
PH1 1BS,56.3914,-3.454768
PH1 1BT,56.39135,-3.45569
PH1 1BU,56.38989,-3.459181
PH1 1BW,56.39066,-3.453995
PH1 1BX,56.38961,-3.455639
PH1 1BY,56.38997,-3.453677
PH1 1BZ,56.38908,-3.45455
PH1 1DA,56.38852,-3.455484
PH1 1DB,56.38898,-3.456279
PH1 1DD,56.3892,-3.458637
PH1 1DE,56.38857,-3.460297
PH1 1DF,56.38962,-3.462038
PH1 1DG,56.38798,-3.458493
PH1 1DH,56.38968,-3.46899
PH1 1DJ,56.39064,-3.470533
PH1 1DL,56.39601,-3.480315
PH1 1DN,56.39485,-3.480886
PH1 1DP,56.39479,-3.479685
PH1 1DQ,56.38847,-3.458398
PH1 1DR,56.39391,-3.480979
PH1 1DS,56.3938,-3.478739
PH1 1DT,56.39324,-3.478766
PH1 1DU,56.39385,-3.477202
PH1 1DW,56.39499,-3.480341
PH1 1DX,56.39416,-3.47561
