PCDS,LAT,LONG
PL1 1AA,50.37825,-4.145535
PL1 1AB,50.37083,-4.138535
PL1 1AE,50.37109,-4.138757
PL1 1AJ,50.3721,-4.145525
PL1 1AN,50.37067,-4.140215
PL1 1AR,50.3744,-4.143167
PL1 1AS,50.37096,-4.153687
PL1 1AT,50.37171,-4.13728
PL1 1AU,50.36441,-4.104414
PL1 1AX,50.37825,-4.145535
PL1 1BA,50.37282,-4.13996
PL1 1BB,50.37224,-4.139329
PL1 1BD,50.37162,-4.137445
PL1 1BE,50.37191,-4.137922
PL1 1BG,50.36557,-4.105492
PL1 1BH,50.37186,-4.138272
PL1 1BJ,50.37162,-4.137445
PL1 1BL,50.37275,-4.139015
PL1 1BN,50.37261,-4.138193
PL1 1BP,50.37261,-4.138193
PL1 1BQ,50.37167,-4.13808
PL1 1BS,50.37225,-4.138008
PL1 1BT,50.37072,-4.137405
PL1 1BU,50.37224,-4.138106
PL1 1BW,50.37072,-4.137405
PL1 1BX,50.37225,-4.138008
PL1 1BY,50.37072,-4.137405
PL1 1BZ,50.37072,-4.137405
PL1 1DA,50.37094,-4.139341
PL1 1DB,50.3707,-4.13881
PL1 1DD,50.37116,-4.138788
PL1 1DE,50.3713,-4.138753
PL1 1DF,50.37105,-4.138657
PL1 1DG,50.37143,-4.138787
PL1 1DH,50.3722,-4.140073
PL1 1DJ,50.37359,-4.140923
PL1 1DL,50.37174,-4.139532
PL1 1DN,50.36999,-4.138426
PL1 1DP,50.37116,-4.138788
PL1 1DQ,50.37164,-4.139302
PL1 1DR,50.36441,-4.104414
PL1 1DS,50.37063,-4.139777
PL1 1DT,50.37048,-4.145115
PL1 1DU,50.37051,-4.141277
PL1 1DW,50.36983,-4.137364
PL1 1DX,50.37051,-4.141277
PL1 1DY,50.37056,-4.141743
PL1 1DZ,50.37057,-4.14308
PL1 1EA,50.37251,-4.137794
PL1 1EB,50.3706,-4.143053
PL1 1ED,50.36975,-4.14158
PL1 1EE,50.3716,-4.144771
PL1 1EF,50.3716,-4.144771
PL1 1EG,50.37468,-4.141971
PL1 1EH,50.36975,-4.14158
PL1 1EJ,50.36557,-4.105492
PL1 1EL,50.36975,-4.14158
PL1 1EN,50.36975,-4.14158
PL1 1EP,50.37065,-4.144743
PL1 1EQ,50.36975,-4.14158
PL1 1ER,50.37073,-4.145365
PL1 1ES,50.3721,-4.145525
PL1 1ET,50.37098,-4.146149
PL1 1EU,50.37086,-4.146186
PL1 1EW,50.3706,-4.143952
PL1 1EX,50.3697,-4.14439
PL1 1EY,50.3697,-4.14439
PL1 1EZ,50.37113,-4.146297
PL1 1FJ,50.36557,-4.105492
PL1 1FP,50.3697,-4.14439
PL1 1FR,50.3697,-4.14439
PL1 1FS,50.3697,-4.14439
PL1 1FU,50.3721,-4.145511
PL1 1FX,50.3697,-4.14439
PL1 1FY,50.36441,-4.104414
PL1 1FZ,50.3697,-4.14439
PL1 1GA,50.36441,-4.104414
PL1 1GB,50.37218,-4.14536
PL1 1GD,50.37218,-4.14536
PL1 1GE,50.3697,-4.14439
PL1 1GF,50.3697,-4.14439
PL1 1GG,50.37825,-4.145535
PL1 1GH,50.3697,-4.14439
PL1 1GJ,50.37218,-4.14536
PL1 1GL,50.3697,-4.14439
PL1 1GN,50.3697,-4.14439
PL1 1GP,50.3697,-4.14439
PL1 1GQ,50.3697,-4.14439
PL1 1GR,50.37218,-4.14536
PL1 1GS,50.37218,-4.14536
PL1 1GT,50.3721,-4.145525
PL1 1GU,50.3697,-4.14439
PL1 1GW,50.3697,-4.14439
PL1 1GX,50.3697,-4.14439
PL1 1GY,50.36557,-4.105492
PL1 1GZ,50.37825,-4.145535
PL1 1HA,50.37049,-4.144735
PL1 1HB,50.36557,-4.105492
PL1 1HD,50.3709,-4.139325
PL1 1HE,50.37137,-4.138559
PL1 1HF,50.36991,-4.138142
PL1 1HG,50.37162,-4.137445
PL1 1HH,50.37086,-4.142924
PL1 1HJ,50.37106,-4.142919
PL1 1HL,50.37155,-4.141661
PL1 1HP,50.37155,-4.141661
PL1 1HQ,50.36975,-4.14158
PL1 1HR,50.37155,-4.141661
PL1 1HS,50.3721,-4.145525
PL1 1HT,50.37155,-4.141661
PL1 1HU,50.37188,-4.142941
PL1 1HW,50.37155,-4.141661
PL1 1HX,50.37204,-4.142949
PL1 1HY,50.37276,-4.142995
PL1 1HZ,50.37299,-4.143006
PL1 1JA,50.37391,-4.141964
PL1 1JB,50.37216,-4.141998
PL1 1JD,50.37155,-4.141661
PL1 1JE,50.37391,-4.141964
PL1 1JF,50.37288,-4.143015
PL1 1JG,50.37155,-4.141661
PL1 1JH,50.37315,-4.143013
PL1 1JJ,50.37155,-4.141661
PL1 1JL,50.3732,-4.143071
PL1 1JN,50.3721,-4.145525
PL1 1JR,50.37162,-4.137445
PL1 1JS,50.37157,-4.140256
PL1 1JT,50.37317,-4.142043
PL1 1JU,50.37322,-4.142018
PL1 1JX,50.37155,-4.141661
PL1 1JY,50.37391,-4.141964
PL1 1JZ,50.37155,-4.141661
PL1 1LA,50.37185,-4.142082
PL1 1LB,50.37307,-4.142025
PL1 1LD,50.37443,-4.142058
PL1 1LE,50.37383,-4.144
PL1 1LF,50.37284,-4.141986
PL1 1LG,50.3737,-4.140717
PL1 1LH,50.37073,-4.145365
PL1 1LJ,50.37275,-4.142081
PL1 1LL,50.37162,-4.137445
PL1 1LN,50.37155,-4.141661
PL1 1LP,50.37256,-4.141088
PL1 1LQ,50.37155,-4.141661
PL1 1LR,50.37253,-4.143871
PL1 1LS,50.37149,-4.144471
PL1 1LT,50.37264,-4.140852
PL1 1LU,50.37259,-4.142875
PL1 1LX,50.36557,-4.105492
PL1 1LY,50.3729,-4.141989
PL1 1LZ,50.37149,-4.144471
PL1 1NB,50.37149,-4.144471
PL1 1NF,50.37254,-4.145109
PL1 1NG,50.37149,-4.144471
PL1 1NH,50.37218,-4.14536
PL1 1NJ,50.37244,-4.146539
PL1 1NL,50.37227,-4.14061
PL1 1NN,50.37149,-4.144471
PL1 1NP,50.37149,-4.144471
PL1 1NR,50.37225,-4.14165
PL1 1NS,50.37219,-4.144235
PL1 1NT,50.37219,-4.143448
PL1 1NU,50.37025,-4.150673
PL1 1NW,50.37225,-4.141313
PL1 1NX,50.37219,-4.145093
PL1 1NZ,50.36975,-4.14158
PL1 1PA,50.37219,-4.146106
PL1 1PB,50.37264,-4.145817
PL1 1PD,50.37276,-4.146103
PL1 1PE,50.37137,-4.147405
PL1 1PF,50.37162,-4.137445
PL1 1PG,50.37222,-4.147359
PL1 1PH,50.37206,-4.146902
PL1 1PJ,50.37166,-4.143466
PL1 1PL,50.37144,-4.147281
PL1 1PN,50.37144,-4.147281
PL1 1PQ,50.37176,-4.146888
PL1 1PR,50.3719,-4.146529
PL1 1PS,50.3719,-4.146529
PL1 1PT,50.37307,-4.142025
PL1 1PU,50.37208,-4.147859
PL1 1PW,50.37191,-4.146515
PL1 1PX,50.37225,-4.148092
PL1 1PY,50.37246,-4.147595
PL1 1PZ,50.37165,-4.147755
PL1 1QA,50.37208,-4.147859
PL1 1QD,50.37165,-4.147797
PL1 1QE,50.37162,-4.137445
PL1 1QF,50.37208,-4.147788
PL1 1QH,50.37326,-4.139853
PL1 1QJ,50.3732,-4.141074
PL1 1QL,50.37318,-4.141749
PL1 1QN,50.37242,-4.143106
PL1 1QP,50.37312,-4.143349
PL1 1QQ,50.37313,-4.143898
PL1 1QR,50.37239,-4.144512
PL1 1QS,50.36441,-4.104414
PL1 1QT,50.37313,-4.145473
PL1 1QU,50.37237,-4.145917
PL1 1QW,50.37313,-4.143898
PL1 1QX,50.37353,-4.141314
PL1 1QY,50.3706,-4.144431
PL1 1QZ,50.37116,-4.139646
PL1 1RA,50.37123,-4.141365
PL1 1RB,50.37111,-4.143315
PL1 1RD,50.37106,-4.142919
PL1 1RE,50.3706,-4.144431
PL1 1RF,50.37122,-4.144065
PL1 1RG,50.3706,-4.144431
PL1 1RH,50.37218,-4.14536
PL1 1RJ,50.37122,-4.144065
PL1 1RL,50.3717,-4.140191
PL1 1RN,50.3706,-4.144431
PL1 1RP,50.37122,-4.144332
PL1 1RQ,50.37109,-4.14683
PL1 1RR,50.37165,-4.143691
PL1 1RS,50.37198,-4.143916
PL1 1RT,50.3706,-4.144431
PL1 1RU,50.37182,-4.145048
PL1 1RW,50.37166,-4.141483
PL1 1RX,50.37156,-4.145641
PL1 1RY,50.36877,-4.145755
PL1 1RZ,50.37153,-4.146582
PL1 1SA,50.37062,-4.140438
PL1 1SB,50.37314,-4.144405
PL1 1SD,50.37303,-4.145722
PL1 1SE,50.37218,-4.14536
PL1 1SG,50.37109,-4.138645
PL1 1SH,50.37275,-4.14727
PL1 1SJ,50.37286,-4.146797
PL1 1SL,50.37302,-4.146312
PL1 1SN,50.37276,-4.146103
PL1 1SP,50.37416,-4.141103
PL1 1SR,50.37399,-4.140983
PL1 1SS,50.37427,-4.140377
PL1 1ST,50.37427,-4.140377
PL1 1SU,50.37494,-4.141363
PL1 1SW,50.37247,-4.14654
PL1 1SX,50.37104,-4.140372
PL1 1SY,50.37218,-4.14536
PL1 1SZ,50.37427,-4.140377
PL1 1TB,50.37144,-4.147281
PL1 1TD,50.36975,-4.14158
PL1 1TE,50.37144,-4.147281
PL1 1TF,50.3712,-4.150449
PL1 1TG,50.37091,-4.147975
PL1 1TH,50.37052,-4.148646
PL1 1TJ,50.36959,-4.150011
PL1 1TL,50.37023,-4.153696
PL1 1TN,50.37098,-4.151128
PL1 1TP,50.37089,-4.153444
PL1 1TQ,50.371,-4.147979
PL1 1TS,50.36957,-4.151416
PL1 1TT,50.36957,-4.151416
PL1 1TU,50.37066,-4.151887
PL1 1TW,50.37062,-4.154388
PL1 1TX,50.36557,-4.105492
PL1 1TY,50.37095,-4.152223
PL1 1TZ,50.37122,-4.151997
PL1 1UA,50.37113,-4.151585
PL1 1UD,50.37049,-4.150051
PL1 1UE,50.37046,-4.151456
PL1 1UF,50.37046,-4.151456
PL1 1UG,50.37218,-4.14536
PL1 1UH,50.37421,-4.141289
PL1 1UJ,50.37052,-4.148646
PL1 1UL,50.37054,-4.147241
PL1 1UP,50.36441,-4.104414
PL1 1UQ,50.37046,-4.151456
PL1 1UR,50.3725,-4.138891
PL1 1UT,50.36846,-4.144095
PL1 1UU,50.37218,-4.14536
PL1 1UW,50.37054,-4.147241
PL1 1UY,50.3725,-4.138891
PL1 1UZ,50.3725,-4.138891
PL1 1WA,50.37218,-4.14536
PL1 1WG,50.36557,-4.105492
PL1 1WW,50.36557,-4.105492
PL1 1WY,50.36557,-4.105492
PL1 1WZ,50.36557,-4.105492
PL1 1XA,50.37825,-4.145535
PL1 1XB,50.36557,-4.105492
PL1 1XD,50.38633,-4.169056
PL1 1XE,50.3721,-4.145525
PL1 1XF,50.37186,-4.124799
PL1 1XG,50.37186,-4.124799
PL1 1XH,50.37062,-4.143025
PL1 1XJ,50.37062,-4.143025
PL1 1XL,50.37825,-4.145535
PL1 1XN,50.37062,-4.143025
PL1 1XQ,50.37825,-4.145535
PL1 1XS,50.37062,-4.143025
PL1 1XT,50.38531,-4.126806
PL1 1XU,50.37062,-4.143025
PL1 1XW,50.37062,-4.143025
PL1 1XY,50.36557,-4.105492
PL1 1YA,50.36557,-4.105492
PL1 1YB,50.38248,-4.133714
PL1 1YF,50.37212,-4.1454
PL1 1YG,50.38248,-4.133714
PL1 1YH,50.36557,-4.105492
PL1 1YJ,50.38248,-4.133714
PL1 1YL,50.38248,-4.133714
PL1 1YN,50.36557,-4.105492
PL1 1YQ,50.38248,-4.133714
PL1 1ZA,50.37825,-4.145535
PL1 1ZB,50.37825,-4.145535
PL1 1ZD,50.37825,-4.145535
PL1 1ZE,50.37825,-4.145535
PL1 1ZQ,50.36557,-4.105492
PL1 1ZU,50.36441,-4.104414
PL1 2AA,50.36957,-4.143034
PL1 2AB,50.36954,-4.139841
PL1 2AD,50.36951,-4.140627
PL1 2AE,50.36942,-4.139906
PL1 2AF,50.36841,-4.140943
PL1 2AG,50.36847,-4.138963
PL1 2AH,50.36952,-4.139193
PL1 2AJ,50.36881,-4.138894
PL1 2AL,50.36803,-4.137284
PL1 2AN,50.36936,-4.138764
PL1 2AP,50.3679,-4.144309
PL1 2AQ,50.36797,-4.140262
PL1 2AR,50.3681,-4.141295
PL1 2AS,50.36882,-4.138978
PL1 2AT,50.3678,-4.138919
PL1 2AU,50.36883,-4.146038
PL1 2AW,50.36932,-4.138312
PL1 2AX,50.36878,-4.139131
PL1 2AY,50.36877,-4.138484
PL1 2AZ,50.36858,-4.141766
PL1 2BA,50.366,-4.145953
PL1 2BB,50.36977,-4.140175
PL1 2BD,50.3674,-4.137424
PL1 2BE,50.36562,-4.14609
PL1 2BG,50.36753,-4.137683
PL1 2BH,50.3678,-4.138919
PL1 2BJ,50.36971,-4.141086
PL1 2BL,50.36705,-4.135974
PL1 2BN,50.36856,-4.146083
PL1 2BP,50.36854,-4.145632
PL1 2BS,50.3671,-4.137861
PL1 2BT,50.36795,-4.144733
PL1 2BU,50.36819,-4.145461
PL1 2BW,50.3677,-4.136158
PL1 2BY,50.36721,-4.139919
PL1 2BZ,50.36733,-4.13631
PL1 2DA,50.36878,-4.137627
PL1 2DB,50.36888,-4.140134
PL1 2DD,50.36958,-4.137916
PL1 2DE,50.36877,-4.138484
PL1 2DF,50.36868,-4.13803
PL1 2DG,50.36984,-4.137871
PL1 2DH,50.36961,-4.138733
PL1 2DJ,50.36888,-4.140134
PL1 2DL,50.36888,-4.140134
PL1 2DN,50.36953,-4.138884
PL1 2DP,50.36927,-4.139604
PL1 2DQ,50.36888,-4.140134
PL1 2DR,50.3698,-4.13877
PL1 2DS,50.36991,-4.138142
PL1 2DT,50.3698,-4.13877
PL1 2DU,50.36893,-4.137324
PL1 2DW,50.36888,-4.140134
PL1 2DX,50.36893,-4.137324
PL1 2DY,50.36893,-4.137324
PL1 2DZ,50.36841,-4.165426
PL1 2EB,50.36893,-4.137324
PL1 2ED,50.36991,-4.138142
PL1 2EE,50.36991,-4.138142
PL1 2EF,50.36991,-4.138142
PL1 2EG,50.36991,-4.138142
PL1 2EJ,50.36877,-4.141184
PL1 2EL,50.36975,-4.14158
PL1 2EN,50.36777,-4.142855
PL1 2EP,50.37155,-4.141661
PL1 2ER,50.36918,-4.141723
PL1 2ES,50.37155,-4.141661
PL1 2ET,50.36795,-4.141499
PL1 2EU,50.36872,-4.141941
PL1 2EW,50.36957,-4.143034
PL1 2EX,50.3687,-4.142784
PL1 2EY,50.36795,-4.141499
PL1 2EZ,50.36795,-4.141499
PL1 2GA,50.36795,-4.141499
PL1 2GS,50.3687,-4.142784
PL1 2HA,50.37825,-4.145535
PL1 2HD,50.36795,-4.141499
PL1 2HE,50.36795,-4.141499
PL1 2HF,50.3682,-4.143141
PL1 2HG,50.36873,-4.140746
PL1 2HH,50.36708,-4.140053
PL1 2HJ,50.36716,-4.141702
