PCDS,LAT,LONG
PO1 1AA,50.79914,-1.088388
PO1 1AB,50.79914,-1.088388
PO1 1AD,50.79928,-1.088342
PO1 1AE,50.79914,-1.088388
PO1 1AF,50.79914,-1.088388
PO1 1AG,50.79928,-1.088342
PO1 1AH,50.79869,-1.088964
PO1 1AN,50.79995,-1.079559
PO1 1AQ,50.79916,-1.090799
PO1 1AR,50.79928,-1.088342
PO1 1AS,50.79928,-1.088342
PO1 1AT,50.79944,-1.091447
PO1 1AU,50.80005,-1.079203
PO1 1AW,50.80128,-1.077745
PO1 1AX,50.7987,-1.090383
PO1 1AY,50.79871,-1.091801
PO1 1AZ,50.79917,-1.090317
PO1 1BA,50.79838,-1.091524
PO1 1BB,50.79922,-1.089209
PO1 1BD,50.79781,-1.0904
PO1 1BE,50.79842,-1.088118
PO1 1BF,50.79901,-1.089738
PO1 1BG,50.7995,-1.091318
PO1 1BH,50.8009,-1.089077
PO1 1BJ,50.80007,-1.078833
PO1 1BL,50.79871,-1.091801
PO1 1BN,50.79958,-1.091345
PO1 1BP,50.8002,-1.091262
PO1 1BQ,50.79959,-1.091245
PO1 1BS,50.80021,-1.082648
PO1 1BT,50.80006,-1.090881
PO1 1BU,50.80085,-1.090171
PO1 1BW,50.80043,-1.091541
PO1 1BX,50.80029,-1.090919
PO1 1BY,50.80029,-1.090636
PO1 1BZ,50.79918,-1.090288
PO1 1DA,50.79985,-1.091552
PO1 1DB,50.80096,-1.090864
PO1 1DD,50.80099,-1.089955
PO1 1DE,50.80026,-1.091516
PO1 1DF,50.80001,-1.092017
PO1 1DG,50.79911,-1.092574
PO1 1DH,50.80044,-1.092052
PO1 1DJ,50.8002,-1.091262
PO1 1DL,50.8002,-1.091262
PO1 1DN,50.79911,-1.092574
PO1 1DP,50.79954,-1.091927
PO1 1DQ,50.79961,-1.091784
PO1 1DR,50.80051,-1.091767
PO1 1DS,50.79948,-1.091999
PO1 1DT,50.79928,-1.088342
PO1 1DU,50.79927,-1.092599
PO1 1DW,50.79911,-1.092574
PO1 1DX,50.79961,-1.091784
PO1 1DY,50.79911,-1.092574
PO1 1DZ,50.79911,-1.092574
PO1 1EA,50.80174,-1.088805
PO1 1EB,50.80171,-1.086251
PO1 1ED,50.80169,-1.086805
PO1 1EE,50.80173,-1.085967
PO1 1EF,50.80207,-1.085663
PO1 1EG,50.79914,-1.088388
PO1 1EH,50.79861,-1.090384
PO1 1EJ,50.79933,-1.09081
PO1 1EL,50.79908,-1.090801
PO1 1EN,50.79934,-1.090767
PO1 1EP,50.79953,-1.090721
PO1 1EQ,50.79874,-1.090495
PO1 1ER,50.79914,-1.088388
PO1 1ES,50.79928,-1.088342
PO1 1ET,50.79993,-1.090288
PO1 1EU,50.7996,-1.090365
PO1 1EW,50.80216,-1.087761
PO1 1EX,50.80049,-1.089695
PO1 1EY,50.80059,-1.088288
PO1 1EZ,50.80059,-1.088288
PO1 1FA,50.79918,-1.091338
PO1 1FB,50.79991,-1.092615
PO1 1FD,50.79918,-1.091338
PO1 1FE,50.80017,-1.080378
PO1 1FG,50.80129,-1.08196
PO1 1FH,50.80017,-1.080378
PO1 1GF,50.79928,-1.088342
PO1 1HA,50.8013,-1.088275
PO1 1HB,50.80106,-1.088776
PO1 1HD,50.80018,-1.089105
PO1 1HE,50.80066,-1.089436
PO1 1HF,50.80085,-1.083785
PO1 1HG,50.80163,-1.088367
PO1 1HH,50.80216,-1.087761
PO1 1HJ,50.80322,-1.365606
PO1 1HL,50.80038,-1.083496
PO1 1HN,50.80049,-1.088929
PO1 1HP,50.80046,-1.084672
PO1 1HR,50.80088,-1.086438
PO1 1HS,50.80081,-1.085772
PO1 1HT,50.80088,-1.084423
PO1 1HU,50.80048,-1.08751
PO1 1HW,50.80047,-1.086091
PO1 1HX,50.80043,-1.08419
PO1 1HY,50.79956,-1.08469
PO1 1HZ,50.80046,-1.084672
PO1 1JA,50.80017,-1.080378
PO1 1JB,50.80016,-1.080393
PO1 1JD,50.80176,-1.083767
PO1 1JE,50.80053,-1.081932
PO1 1JF,50.80166,-1.081995
PO1 1JG,50.80159,-1.082578
PO1 1JH,50.80079,-1.084722
PO1 1JJ,50.80031,-1.084632
PO1 1JL,50.79998,-1.08542
PO1 1JN,50.80021,-1.085926
PO1 1JP,50.79963,-1.08019
PO1 1JQ,50.80152,-1.083147
PO1 1JR,50.8,-1.079516
PO1 1JS,50.80121,-1.083011
PO1 1JT,50.79933,-1.090697
PO1 1JU,50.79896,-1.08666
PO1 1JW,50.80046,-1.085339
PO1 1JX,50.79992,-1.082512
PO1 1JY,50.79886,-1.087144
PO1 1JZ,50.80006,-1.079657
PO1 1LA,50.7994,-1.086992
PO1 1LB,50.79849,-1.086229
PO1 1LD,50.79935,-1.086468
PO1 1LE,50.79855,-1.083801
PO1 1LF,50.79841,-1.084428
PO1 1LG,50.79806,-1.084748
PO1 1LJ,50.79794,-1.083544
PO1 1LL,50.79779,-1.082269
PO1 1LP,50.79822,-1.082729
PO1 1LQ,50.798,-1.084025
PO1 1LR,50.79875,-1.082464
PO1 1LU,50.79923,-1.083476
PO1 1LX,50.79997,-1.079928
PO1 1LY,50.79867,-1.086126
PO1 1NA,50.7986,-1.08705
PO1 1NB,50.80017,-1.088935
PO1 1ND,50.79992,-1.087578
PO1 1NF,50.80018,-1.081244
PO1 1NG,50.79992,-1.084371
PO1 1NH,50.79991,-1.083434
PO1 1NJ,50.80009,-1.078677
PO1 1NL,50.79972,-1.088206
PO1 1NN,50.7996,-1.090365
PO1 1NP,50.79951,-1.08628
PO1 1NQ,50.79959,-1.088946
PO1 1NR,50.79823,-1.086546
PO1 1NS,50.79959,-1.088946
PO1 1NT,50.79986,-1.078327
PO1 1NU,50.79989,-1.086457
PO1 1NW,50.79972,-1.088589
PO1 1NX,50.79959,-1.083909
PO1 1NY,50.80051,-1.088616
PO1 1NZ,50.80042,-1.088107
PO1 1PA,50.79676,-1.077678
PO1 1PB,50.79956,-1.079524
PO1 1PD,50.79926,-1.078381
PO1 1PF,50.79773,-1.080469
PO1 1PG,50.79773,-1.080469
PO1 1PH,50.79939,-1.081656
PO1 1PJ,50.79789,-1.077628
PO1 1PL,50.79792,-1.07906
PO1 1PN,50.79771,-1.07905
PO1 1PP,50.797,-1.078085
PO1 1PQ,50.79773,-1.080469
PO1 1PR,50.79756,-1.077861
PO1 1PS,50.79684,-1.07718
PO1 1PT,50.79725,-1.077597
PO1 1PU,50.80101,-1.077907
PO1 1PW,50.80112,-1.077748
PO1 1PX,50.79936,-1.082423
PO1 1QA,50.80244,-1.083115
PO1 1QB,50.80293,-1.081786
PO1 1QD,50.80321,-1.079268
PO1 1QE,50.8029,-1.079771
PO1 1QF,50.80298,-1.078081
PO1 1QG,50.80223,-1.082963
PO1 1QH,50.80202,-1.081009
PO1 1QJ,50.80262,-1.081309
PO1 1QL,50.80233,-1.078576
PO1 1QN,50.80253,-1.080019
PO1 1QP,50.80065,-1.07797
PO1 1QQ,50.80224,-1.082253
PO1 1QR,50.80235,-1.079044
PO1 1QS,50.80192,-1.080585
PO1 1QT,50.80076,-1.078848
PO1 1QU,50.80094,-1.079724
PO1 1QW,50.80199,-1.079931
PO1 1QX,50.80161,-1.07886
PO1 1QY,50.80045,-1.079493
PO1 1QZ,50.8014,-1.080325
PO1 1RA,50.80078,-1.080267
PO1 1RB,50.79824,-1.084928
PO1 1RD,50.79976,-1.091299
PO1 1RE,50.79719,-1.078606
PO1 1RF,50.79719,-1.078606
PO1 1RG,50.79763,-1.079051
PO1 1RH,50.7982,-1.08158
PO1 1RJ,50.79993,-1.082384
PO1 1RL,50.80038,-1.091443
PO1 1RP,50.80047,-1.086091
PO1 1RQ,50.79718,-1.079628
PO1 1RR,50.79992,-1.082512
PO1 1RS,50.80086,-1.087403
PO1 1RT,50.79965,-1.088307
PO1 1RU,50.80003,-1.078962
PO1 1RX,50.79906,-1.085608
PO1 1SA,50.79997,-1.087279
PO1 1SB,50.80101,-1.087599
PO1 1SD,50.79885,-1.077793
PO1 1SH,50.79863,-1.080451
PO1 1SL,50.79858,-1.077855
PO1 1SP,50.79863,-1.080451
PO1 1SR,50.79863,-1.080451
PO1 1SS,50.79992,-1.082512
PO1 1ST,50.79863,-1.080451
PO1 1TA,50.79959,-1.088946
PO1 1TB,50.79959,-1.088946
PO1 1TD,50.7997,-1.088079
PO1 1TH,50.79928,-1.088342
PO1 1TJ,50.79959,-1.088946
PO1 1TL,50.79993,-1.082384
PO1 1TP,50.79928,-1.088342
PO1 1TR,50.79928,-1.088342
PO1 1TS,50.79965,-1.088094
PO1 1TT,50.79928,-1.088342
PO1 1WA,50.79928,-1.088342
PO1 1WQ,50.79928,-1.088342
PO1 1XN,50.79928,-1.088342
PO1 1XQ,50.79928,-1.088342
PO1 1XZ,50.79928,-1.088342
PO1 1YE,50.79928,-1.088342
