PCDS,LAT,LONG
PR0 2AA,53.75882,-2.683904
PR0 2AD,53.75882,-2.683904
PR0 2AE,53.75882,-2.683904
PR0 2AF,53.75882,-2.683904
PR0 2AG,53.75882,-2.683904
PR0 2AH,53.75882,-2.683904
PR0 2AJ,53.75882,-2.683904
PR0 2AL,53.75882,-2.683904
PR0 2AN,53.75882,-2.683904
PR0 2AP,53.75882,-2.683904
PR0 2AQ,53.75882,-2.683904
PR0 2BP,53.75882,-2.683904
PR0 2EG,53.75882,-2.683904
PR0 2EJ,53.75882,-2.683904
PR0 2GP,53.75882,-2.683904
PR0 2LP,53.75882,-2.683904
PR0 2NP,53.75882,-2.683904
PR0 2PP,53.75882,-2.683904
PR0 2QP,53.75882,-2.683904
PR0 2RD,53.75882,-2.683904
PR0 2RP,53.75882,-2.683904
PR0 2SP,53.75882,-2.683904
PR0 2TP,53.75882,-2.683904
PR0 2TU,53.75882,-2.683904
PR0 2ZP,53.75882,-2.683904
PR1 0AA,53.74804,-2.730207
PR1 0AD,53.7503,-2.72876
PR1 0AE,53.75328,-2.725778
PR1 0AG,53.75355,-2.726238
PR1 0AH,53.75352,-2.724872
PR1 0AJ,53.75229,-2.72523
PR1 0AL,53.75434,-2.726524
PR1 0AN,53.75481,-2.726002
PR1 0AP,53.75204,-2.728229
PR1 0AQ,53.75318,-2.727581
PR1 0AR,53.75091,-2.729665
PR1 0AS,53.75398,-2.728323
PR1 0AT,53.75451,-2.729727
PR1 0AU,53.75525,-2.729589
PR1 0AW,53.75245,-2.730935
PR1 0AX,53.75431,-2.730937
PR1 0AY,53.75415,-2.729994
PR1 0AZ,53.75426,-2.72945
PR1 0BA,53.75318,-2.730387
PR1 0BB,53.75188,-2.72859
PR1 0BD,53.75119,-2.727425
PR1 0BE,53.75089,-2.728709
PR1 0BH,53.74134,-2.729802
PR1 0BJ,53.75273,-2.730424
PR1 0BL,53.75605,-2.729481
PR1 0BN,53.75556,-2.728896
PR1 0BP,53.75565,-2.725667
PR1 0BQ,53.7558,-2.727217
PR1 0BS,53.75438,-2.708735
PR1 0DA,53.74982,-2.733862
PR1 0DL,53.74975,-2.730888
PR1 0DN,53.75438,-2.708735
PR1 0DP,53.74791,-2.738438
PR1 0DQ,53.74989,-2.732225
PR1 0DR,53.75079,-2.731149
PR1 0DS,53.75086,-2.733759
PR1 0DT,53.75306,-2.735526
PR1 0DU,53.75158,-2.732634
PR1 0DX,53.75127,-2.731294
PR1 0DY,53.75108,-2.730335
PR1 0DZ,53.75005,-2.731925
PR1 0EA,53.75193,-2.730775
PR1 0EB,53.75351,-2.731985
PR1 0ED,53.75234,-2.733238
PR1 0EE,53.75312,-2.733419
PR1 0EH,53.7537,-2.736038
PR1 0EJ,53.7544,-2.733957
PR1 0EL,53.75379,-2.733476
PR1 0EN,53.75452,-2.733443
PR1 0EP,53.75455,-2.732473
PR1 0EQ,53.74629,-2.735468
