PCDS,LAT,LONG
RG1 1AA,51.46073,-0.974779
RG1 1AF,51.4575,-0.969281
RG1 1AG,51.45596,-0.97087
RG1 1AH,51.45692,-0.973381
RG1 1AJ,51.45841,-0.969721
RG1 1AL,51.45587,-0.976413
RG1 1AN,51.45655,-0.971619
RG1 1AQ,51.45721,-0.96897
RG1 1AR,51.45715,-0.96877
RG1 1AS,51.45731,-0.973185
RG1 1AT,51.45841,-0.969721
RG1 1AU,51.45689,-0.973727
RG1 1AW,51.45686,-0.970849
RG1 1AX,51.45841,-0.969721
RG1 1AY,51.45721,-0.96897
RG1 1AZ,51.45758,-0.9702
RG1 1BA,51.45694,-0.974777
RG1 1BB,51.45596,-0.97087
RG1 1BD,51.456,-0.975187
RG1 1BE,51.46073,-0.974779
RG1 1BF,51.46073,-0.974779
RG1 1BG,51.4569,-0.975166
RG1 1BH,51.45724,-0.970553
RG1 1BJ,51.45721,-0.973116
RG1 1BL,51.46073,-0.974779
RG1 1BP,51.45612,-0.969945
RG1 1BQ,51.45691,-0.976605
RG1 1BS,51.45597,-0.972309
RG1 1BT,51.4569,-0.975166
RG1 1BU,51.45762,-0.97125
RG1 1BW,51.4578,-0.975146
RG1 1BX,51.45689,-0.974102
RG1 1BY,51.4569,-0.975166
RG1 1BZ,51.45756,-0.974475
RG1 1DA,51.45651,-0.96949
RG1 1DB,51.45687,-0.971223
RG1 1DD,51.43156,-0.971231
RG1 1DE,51.45597,-0.972309
RG1 1DF,51.45597,-0.972309
RG1 1DG,51.45712,-0.970873
RG1 1DH,51.45652,-0.972613
RG1 1DJ,51.45716,-0.971721
RG1 1DL,51.45716,-0.971721
RG1 1DN,51.45708,-0.971593
RG1 1DP,51.45696,-0.97279
RG1 1DQ,51.45597,-0.972309
RG1 1DR,51.45699,-0.972343
RG1 1DS,51.45696,-0.972517
RG1 1DT,51.45738,-0.973472
RG1 1DU,51.46073,-0.974779
RG1 1DW,51.45687,-0.972288
RG1 1DX,51.45694,-0.974014
RG1 1DY,51.45692,-0.973381
RG1 1DZ,51.45694,-0.974014
RG1 1EA,51.45721,-0.973116
RG1 1EB,51.45691,-0.973641
RG1 1ED,51.45767,-0.973019
