PCDS,LAT,LONG
RH1 1AA,51.24057,-0.164656
RH1 1AB,51.23941,-0.169573
RH1 1AD,51.24251,-0.162358
RH1 1AE,51.24207,-0.16206
RH1 1AF,51.24456,-0.159841
RH1 1AG,51.24416,-0.160301
RH1 1AH,51.24394,-0.159808
RH1 1AJ,51.2435,-0.159367
RH1 1AL,51.24375,-0.157753
RH1 1AN,51.24175,-0.162317
RH1 1AP,51.24215,-0.163347
RH1 1AQ,51.24193,-0.163499
RH1 1AR,51.24277,-0.162863
RH1 1AS,51.24306,-0.162336
RH1 1AT,51.24249,-0.163276
RH1 1AU,51.24525,-0.161461
RH1 1AW,51.24057,-0.164656
RH1 1AX,51.24779,-0.157219
RH1 1AY,51.24256,-0.170738
RH1 1AZ,51.24166,-0.178195
RH1 1BA,51.24046,-0.175191
RH1 1BB,51.23982,-0.177852
RH1 1BD,51.2396,-0.177546
RH1 1BE,51.23994,-0.181873
RH1 1BF,51.23955,-0.18206
RH1 1BG,51.24099,-0.181387
RH1 1BH,51.24257,-0.170365
RH1 1BJ,51.2424,-0.169054
RH1 1BL,51.23965,-0.177185
RH1 1BN,51.24189,-0.172097
RH1 1BP,51.24251,-0.169894
RH1 1BQ,51.2411,-0.168403
RH1 1BS,51.24296,-0.169776
RH1 1BT,51.24339,-0.171923
RH1 1BU,51.24207,-0.171029
RH1 1BW,51.24229,-0.169531
RH1 1BX,51.24207,-0.171029
RH1 1BY,51.24186,-0.171109
RH1 1BZ,51.24199,-0.171491
RH1 1DA,51.24174,-0.171902
RH1 1DB,51.24155,-0.171867
RH1 1DD,51.24157,-0.171121
RH1 1DE,51.24133,-0.171761
RH1 1DF,51.24137,-0.171372
RH1 1DG,51.24126,-0.170761
RH1 1DH,51.24181,-0.170925
RH1 1DJ,51.24134,-0.172605
RH1 1DL,51.24062,-0.173107
RH1 1DN,51.24092,-0.173482
RH1 1DP,51.2411,-0.177873
RH1 1DQ,51.24159,-0.170862
RH1 1DR,51.24142,-0.176198
RH1 1DS,51.24188,-0.178014
RH1 1DT,51.24116,-0.175148
RH1 1DU,51.24056,-0.17659
RH1 1DW,51.24038,-0.175982
RH1 1DX,51.24149,-0.174534
RH1 1DY,51.24357,-0.172775
RH1 1DZ,51.24223,-0.17449
RH1 1EA,51.24237,-0.175086
RH1 1EB,51.24041,-0.175708
RH1 1ED,51.24203,-0.174011
RH1 1EE,51.24247,-0.170727
