PCDS,LAT,LONG
S1 1AA,53.38147,-1.464294
S1 1AB,53.38237,-1.464358
S1 1AD,53.3843,-1.470604
S1 1AE,53.38436,-1.470633
S1 1AH,53.38237,-1.464358
S1 1AL,53.38237,-1.464358
S1 1AU,53.38147,-1.464294
S1 1AW,53.36347,-1.483033
S1 1AY,53.38237,-1.464358
S1 1BA,53.37825,-1.47379
S1 1BB,53.38595,-1.484265
S1 1BD,53.38157,-1.463526
S1 1BE,53.37696,-1.485876
S1 1BF,53.38212,-1.469623
S1 1BG,53.38157,-1.463526
S1 1BH,53.3677,-1.425874
S1 1BJ,53.38157,-1.463526
S1 1BL,53.36707,-1.48299
S1 1BN,53.37825,-1.47379
S1 1BP,53.37825,-1.47379
S1 1BQ,53.37825,-1.47379
S1 1BR,53.37825,-1.47379
S1 1BS,53.37825,-1.47379
S1 1BT,53.37962,-1.475322
S1 1BU,53.37962,-1.475322
S1 1BW,53.37825,-1.47379
S1 1BX,53.37962,-1.475322
S1 1BY,53.38212,-1.469623
S1 1BZ,53.38157,-1.463526
S1 1DA,53.38111,-1.46693
S1 1DB,53.38195,-1.465732
S1 1DD,53.3825,-1.465454
S1 1DE,53.38196,-1.46528
S1 1DF,53.37778,-1.467828
S1 1DG,53.37681,-1.468126
S1 1DH,53.34288,-1.319567
S1 1DJ,53.37565,-1.469478
S1 1DL,53.38073,-1.465266
S1 1DN,53.37991,-1.46699
S1 1DP,53.37731,-1.468525
S1 1DQ,53.31591,-1.318495
S1 1DR,53.38157,-1.463526
S1 1DS,53.38212,-1.469623
S1 1DT,53.35898,-1.48459
S1 1DU,53.38157,-1.463526
S1 1DW,53.37603,-1.476869
S1 1DX,53.37153,-1.475421
S1 1DY,53.38449,-1.466677
S1 1DZ,53.38114,-1.466358
S1 1EA,53.38449,-1.467038
S1 1EB,53.38408,-1.46775
S1 1ED,53.38212,-1.469623
S1 1EE,53.38408,-1.46775
S1 1EF,53.38229,-1.469275
S1 1EG,53.3805,-1.472304
S1 1EH,53.38408,-1.469253
S1 1EJ,53.38408,-1.469253
S1 1EL,53.38074,-1.471084
S1 1EN,53.38053,-1.470725
S1 1EP,53.38157,-1.463526
S1 1EQ,53.38078,-1.470978
S1 1ER,53.38074,-1.471084
S1 1ES,53.38074,-1.471084
S1 1ET,53.38074,-1.471084
S1 1EU,53.38385,-1.468053
S1 1EW,53.38212,-1.469623
S1 1EX,53.38053,-1.470725
S1 1EY,53.37599,-1.46785
S1 1EZ,53.36974,-1.478449
S1 1FA,53.3562,-1.465092
S1 1FB,53.3562,-1.465092
S1 1FD,53.37326,-1.461872
S1 1FE,53.39033,-1.45865
S1 1FF,53.39033,-1.45865
S1 1FG,53.38157,-1.463526
S1 1FH,53.3832,-1.472271
S1 1FJ,53.40467,-1.450947
S1 1FL,53.38319,-1.470768
S1 1FN,53.38319,-1.470768
S1 1FP,53.38319,-1.470768
S1 1FQ,53.38157,-1.463526
S1 1FR,53.37961,-1.473819
S1 1FS,53.38147,-1.464294
S1 1FT,53.37603,-1.476869
S1 1FU,53.3832,-1.472271
S1 1FW,53.38084,-1.47675
S1 1FX,53.3814,-1.472293
S1 1FY,53.38318,-1.467761
S1 1FZ,53.38478,-1.463411
S1 1GA,53.38157,-1.463526
S1 1GB,53.38138,-1.467783
S1 1GD,53.38318,-1.467761
S1 1GE,53.38147,-1.464294
S1 1GF,53.38157,-1.463526
S1 1GG,53.38496,-1.463228
S1 1GH,53.38157,-1.463526
S1 1GJ,53.38229,-1.469275
S1 1GL,53.38157,-1.463526
S1 1GN,53.38429,-1.469611
S1 1GP,53.38157,-1.463526
S1 1GQ,53.38409,-1.470757
S1 1GR,53.38157,-1.463526
S1 1GS,53.38147,-1.464294
S1 1GT,53.38157,-1.463526
S1 1GU,53.38157,-1.463526
S1 1GW,53.37872,-1.470492
S1 1GX,53.38409,-1.470757
S1 1GY,53.38319,-1.470768
S1 1GZ,53.38147,-1.464294
S1 1HA,53.38311,-1.469386
S1 1HB,53.3823,-1.472282
S1 1HD,53.38258,-1.471512
S1 1HE,53.38229,-1.469275
S1 1HF,53.38147,-1.464294
S1 1HG,53.38238,-1.469635
S1 1HH,53.38157,-1.463526
S1 1HJ,53.38157,-1.463526
S1 1HL,53.38229,-1.470779
S1 1HN,53.38229,-1.470779
S1 1HP,53.38147,-1.464294
S1 1HQ,53.38365,-1.471033
S1 1HR,53.38266,-1.470684
S1 1HS,53.38309,-1.47119
S1 1HT,53.37966,-1.475472
S1 1HU,53.38318,-1.467761
S1 1HW,53.38141,-1.473796
S1 1HX,53.38147,-1.464294
S1 1HY,53.3787,-1.472326
S1 1HZ,53.38147,-1.464294
S1 1JA,53.38226,-1.463262
S1 1JB,53.38157,-1.463526
S1 1JD,53.38157,-1.463526
S1 1JE,53.38319,-1.470768
S1 1JF,53.38157,-1.463526
S1 1JG,53.38382,-1.47082
S1 1JH,53.38229,-1.469275
S1 1JJ,53.38157,-1.463526
S1 1JL,53.38313,-1.468498
S1 1JN,53.38254,-1.473798
S1 1JP,53.38157,-1.463526
S1 1JQ,53.38157,-1.463526
S1 1JR,53.40599,-1.550209
S1 1JS,53.38455,-1.4703
S1 1JT,53.38157,-1.463526
S1 1JU,53.38157,-1.463526
S1 1JW,53.39504,-1.509721
S1 1JX,53.38455,-1.4703
S1 1JY,53.37689,-1.469342
