PCDS,LAT,LONG
SA1 1AA,51.64799,-3.923604
SA1 1AB,51.61888,-3.939852
SA1 1AD,51.62608,-3.940954
SA1 1AE,51.61888,-3.939852
SA1 1AF,51.61977,-3.939442
SA1 1AG,51.64796,-3.924051
SA1 1AH,51.64796,-3.924051
SA1 1AJ,51.61888,-3.939852
SA1 1AL,51.61888,-3.939852
SA1 1AN,51.61888,-3.939852
SA1 1AP,51.61888,-3.939852
SA1 1AQ,51.61888,-3.939852
SA1 1AR,51.61888,-3.939852
SA1 1AS,51.61888,-3.939852
SA1 1AT,51.61888,-3.939852
SA1 1AU,51.61603,-3.934444
SA1 1AW,51.64796,-3.924051
SA1 1AX,51.61888,-3.939852
SA1 1AY,51.61888,-3.939852
SA1 1AZ,51.61497,-3.932376
SA1 1BA,51.61888,-3.939852
SA1 1BB,51.64796,-3.924051
SA1 1BD,51.61888,-3.939852
SA1 1BE,51.62283,-3.943604
SA1 1BG,51.61888,-3.939852
SA1 1BH,51.61987,-3.939822
SA1 1BJ,51.61996,-3.9401
SA1 1BL,51.64799,-3.923604
SA1 1BN,51.61987,-3.939836
SA1 1BP,51.64799,-3.923604
SA1 1BQ,51.61888,-3.939852
SA1 1BR,51.61888,-3.939852
SA1 1BS,51.61888,-3.939852
SA1 1BT,51.61888,-3.939852
SA1 1BU,51.61888,-3.939852
SA1 1BW,51.61888,-3.939852
SA1 1BX,51.61888,-3.939852
SA1 1BY,51.61888,-3.939852
SA1 1BZ,51.61888,-3.939852
SA1 1DA,51.61926,-3.916755
SA1 1DB,51.61995,-3.929785
SA1 1DD,51.61973,-3.942778
SA1 1DE,51.61977,-3.940815
SA1 1DF,51.6196,-3.940345
SA1 1DG,51.61986,-3.940154
SA1 1DH,51.61969,-3.940594
SA1 1DJ,51.61886,-3.941296
SA1 1DL,51.6196,-3.940345
SA1 1DN,51.62011,-3.940915
SA1 1DP,51.61972,-3.93931
SA1 1DQ,51.6196,-3.940345
SA1 1DR,51.61884,-3.942739
SA1 1DS,51.61983,-3.941438
SA1 1DT,51.61884,-3.942739
SA1 1DU,51.61884,-3.942739
SA1 1DW,51.61992,-3.941009
SA1 1DX,51.63203,-3.945948
SA1 1DY,51.6194,-3.939325
SA1 1DZ,51.61936,-3.938847
SA1 1EA,51.64796,-3.924051
SA1 1EB,51.62045,-3.950884
SA1 1ED,51.61861,-3.9388
SA1 1EE,51.61896,-3.938873
SA1 1EF,51.61908,-3.939384
SA1 1EG,51.61937,-3.940682
SA1 1EH,51.61884,-3.942739
SA1 1EJ,51.61924,-3.940026
SA1 1EL,51.61869,-3.9514
SA1 1EN,51.61915,-3.94047
SA1 1EP,51.61932,-3.940535
SA1 1EQ,51.61952,-3.941078
SA1 1ER,51.64236,-3.933628
SA1 1ES,51.66495,-3.927359
SA1 1ET,51.66495,-3.927359
SA1 1EU,51.66843,-3.934738
SA1 1EW,51.61886,-3.941296
SA1 1EX,51.6719,-3.942118
SA1 1EY,51.6719,-3.942118
SA1 1EZ,51.61987,-3.939822
SA1 1FA,51.66495,-3.927359
SA1 1FG,51.66495,-3.927359
SA1 1FH,51.61987,-3.939822
SA1 1FL,51.6719,-3.942118
SA1 1FN,51.64799,-3.923604
