PCDS,LAT,LONG
SE1 0AA,51.49871,-0.101747
SE1 0AB,51.50404,-0.095459
SE1 0AD,51.49957,-0.100991
SE1 0AE,51.49858,-0.104087
SE1 0AF,51.49821,-0.104073
SE1 0AG,51.4992,-0.102678
SE1 0AH,51.49903,-0.102483
SE1 0AJ,51.49918,-0.100373
SE1 0AL,51.50476,-0.096078
SE1 0AN,51.49904,-0.103491
SE1 0AP,51.49896,-0.105209
SE1 0AQ,51.49928,-0.102112
SE1 0AR,51.50404,-0.095963
SE1 0AS,51.50341,-0.096105
SE1 0AT,51.50356,-0.096214
SE1 0AU,51.50348,-0.096649
SE1 0AW,51.50258,-0.096687
SE1 0AX,51.50296,-0.095734
SE1 0AY,51.50348,-0.096649
SE1 0AZ,51.50366,-0.096022
SE1 0BA,51.50296,-0.100562
SE1 0BB,51.50252,-0.101099
SE1 0BD,51.50248,-0.101072
SE1 0BE,51.50164,-0.10053
SE1 0BF,51.50241,-0.101031
SE1 0BG,51.50175,-0.101044
SE1 0BH,51.50228,-0.102549
SE1 0BJ,51.50195,-0.102866
SE1 0BL,51.50311,-0.101579
SE1 0BN,51.50268,-0.102447
SE1 0BP,51.49837,-0.10277
SE1 0BQ,51.50125,-0.09876
SE1 0BS,51.50355,-0.100969
SE1 0BT,51.50256,-0.100622
SE1 0BU,51.50147,-0.099356
SE1 0BW,51.50185,-0.10359
SE1 0BX,51.50122,-0.098891
SE1 0BY,51.50256,-0.102394
SE1 0BZ,51.50279,-0.102024
SE1 0DA,51.50173,-0.099604
SE1 0DB,51.50295,-0.100951
SE1 0DD,51.49817,-0.102548
SE1 0DE,51.49276,-0.080126
SE1 0DF,51.50279,-0.102024
SE1 0DG,51.50012,-0.099859
SE1 0DH,51.49997,-0.100268
SE1 0DJ,51.50319,-0.101042
SE1 0DL,51.49992,-0.100919
SE1 0DN,51.49975,-0.099442
SE1 0DP,51.50027,-0.10197
SE1 0DQ,51.50031,-0.100269
SE1 0DR,51.49996,-0.101119
SE1 0DS,51.49906,-0.101156
SE1 0DT,51.50065,-0.098612
SE1 0DU,51.49906,-0.101156
SE1 0DW,51.50027,-0.10197
SE1 0DX,51.50298,-0.100345
SE1 0DY,51.5032,-0.100192
SE1 0DZ,51.49998,-0.102559
SE1 0EA,51.50323,-0.099585
SE1 0EB,51.50288,-0.098692
SE1 0ED,51.50122,-0.098113
SE1 0EE,51.50294,-0.099756
SE1 0EF,51.50191,-0.098127
SE1 0EG,51.50197,-0.098125
SE1 0EH,51.50304,-0.100342
SE1 0EJ,51.50329,-0.09941
SE1 0EL,51.50343,-0.097977
SE1 0EN,51.50298,-0.098673
SE1 0EP,51.50296,-0.097666
SE1 0EQ,51.50217,-0.098822
SE1 0ER,51.50287,-0.097352
SE1 0ES,51.50335,-0.09641
SE1 0ET,51.50362,-0.096788
SE1 0EU,51.50307,-0.09645
SE1 0EW,51.5029,-0.098086
SE1 0EX,51.50291,-0.096875
SE1 0EY,51.50269,-0.096337
SE1 0EZ,51.50266,-0.101007
SE1 0FA,51.50379,-0.096377
SE1 0FB,51.5045,-0.096578
SE1 0FD,51.50594,-0.097887
SE1 0FE,51.50578,-0.097952
SE1 0FF,51.50484,-0.101261
SE1 0FG,51.50484,-0.101261
SE1 0FH,51.49935,-0.103507
SE1 0FJ,51.49949,-0.103127
SE1 0FL,51.50507,-0.100906
SE1 0FN,51.50212,-0.100323
SE1 0FP,51.50212,-0.100323
SE1 0FQ,51.50212,-0.100323
SE1 0FR,51.50386,-0.099126
SE1 0FS,51.50399,-0.097161
SE1 0FT,51.50391,-0.098347
SE1 0FU,51.50212,-0.10391
SE1 0FW,51.50547,-0.102417
SE1 0FX,51.50212,-0.10391
SE1 0FY,51.49986,-0.102967
SE1 0GB,51.50052,-0.101441
SE1 0GD,51.50382,-0.100353
SE1 0GE,51.50381,-0.09982
SE1 0GF,51.50209,-0.098134
SE1 0GG,51.502,-0.098008
SE1 0GH,51.50233,-0.098772
SE1 0GJ,51.50231,-0.098428
SE1 0GN,51.50206,-0.09851
SE1 0HA,51.50097,-0.098296
SE1 0HB,51.50258,-0.096687
SE1 0HD,51.50261,-0.098127
SE1 0HE,51.50341,-0.099909
SE1 0HF,51.50343,-0.100153
