PCDS,LAT,LONG
SG1 1AA,51.89609,-0.202978
SG1 1AB,51.90175,-0.193652
SG1 1AD,51.90083,-0.203457
SG1 1AE,51.89701,-0.203552
SG1 1AF,51.90272,-0.203818
SG1 1AG,51.90597,-0.208646
SG1 1AH,51.90597,-0.208646
SG1 1AJ,51.90083,-0.203457
SG1 1AL,51.90597,-0.208646
SG1 1AN,51.9011,-0.193315
SG1 1AP,51.9034,-0.20443
SG1 1AR,51.9,-0.19913
SG1 1AS,51.90322,-0.203958
SG1 1AT,51.89783,-0.203911
SG1 1AU,51.89774,-0.204336
SG1 1AW,51.89783,-0.203911
SG1 1AX,51.9034,-0.20443
SG1 1AY,51.90286,-0.200266
SG1 1AZ,51.90286,-0.200266
SG1 1BA,51.90279,-0.201955
SG1 1BB,51.9011,-0.202109
SG1 1BD,51.90081,-0.202005
SG1 1BE,51.90093,-0.201709
SG1 1BF,51.90256,-0.200161
SG1 1BG,51.90225,-0.202776
SG1 1BH,51.90256,-0.200161
SG1 1BJ,51.90173,-0.203422
SG1 1BL,51.90411,-0.193238
SG1 1BN,51.90352,-0.20335
SG1 1BP,51.90194,-0.202352
SG1 1BQ,51.90258,-0.20048
SG1 1BS,51.90075,-0.201266
SG1 1BT,51.90081,-0.202005
SG1 1BU,51.90033,-0.201108
SG1 1BW,51.90173,-0.203422
SG1 1BX,51.90349,-0.200982
SG1 1BY,51.90128,-0.203193
SG1 1BZ,51.89991,-0.202041
SG1 1DA,51.90065,-0.200804
SG1 1DB,51.90113,-0.199913
SG1 1DD,51.90125,-0.200839
SG1 1DE,51.90081,-0.202005
SG1 1DF,51.90078,-0.200552
SG1 1DG,51.90128,-0.200561
SG1 1DH,51.90134,-0.200138
SG1 1DJ,51.90349,-0.200982
SG1 1DL,51.90189,-0.200799
SG1 1DN,51.90195,-0.201291
SG1 1DP,51.90251,-0.200963
SG1 1DQ,51.89611,-0.202831
SG1 1DR,51.9026,-0.201933
SG1 1DS,51.90336,-0.201554
SG1 1DT,51.90081,-0.202005
SG1 1DU,51.90273,-0.200852
SG1 1DW,51.90352,-0.201562
SG1 1DX,51.90078,-0.200552
SG1 1DY,51.9026,-0.201933
SG1 1DZ,51.90297,-0.200974
SG1 1EA,51.90353,-0.201693
SG1 1EB,51.90324,-0.201239
SG1 1ED,51.90081,-0.202005
SG1 1EE,51.90239,-0.201869
SG1 1EF,51.9041,-0.202571
SG1 1EG,51.90337,-0.20212
SG1 1EH,51.90376,-0.202483
SG1 1EJ,51.90356,-0.203595
SG1 1EL,51.9037,-0.202325
SG1 1EN,51.90101,-0.20002
SG1 1EP,51.90137,-0.199874
SG1 1EQ,51.90251,-0.200323
SG1 1ER,51.90048,-0.20116
SG1 1ES,51.90415,-0.202627
SG1 1ET,51.9044,-0.201861
SG1 1EU,51.90425,-0.200486
SG1 1EW,51.90052,-0.200737
SG1 1EX,51.9035,-0.201897
SG1 1EY,51.9035,-0.201897
SG1 1EZ,51.90409,-0.200638
SG1 1FB,51.9011,-0.193315
SG1 1FD,51.89611,-0.202831
SG1 1FE,51.89611,-0.202831
SG1 1FF,51.90109,-0.19333
SG1 1FG,51.89611,-0.202831
SG1 1FH,51.89611,-0.202831
SG1 1FJ,51.90109,-0.19333
SG1 1FL,51.89611,-0.202831
SG1 1FN,51.90404,-0.20141
SG1 1FP,51.89611,-0.202831
SG1 1FQ,51.90109,-0.19333
SG1 1FR,51.90356,-0.200427
SG1 1FS,51.9011,-0.193315
SG1 1FT,51.89609,-0.202978
SG1 1FW,51.9011,-0.193315
SG1 1FY,51.89609,-0.202978
SG1 1FZ,51.90557,-0.204693
SG1 1GB,51.89611,-0.202831
SG1 1GD,51.9035,-0.201897
SG1 1GE,51.89611,-0.202831
SG1 1GF,51.9035,-0.201897
SG1 1GG,51.89633,-0.201079
SG1 1GQ,51.89611,-0.202831
SG1 1HA,51.9001,-0.20196
SG1 1HB,51.89982,-0.201186
SG1 1HD,51.8997,-0.201467
SG1 1HE,51.89978,-0.200752
SG1 1HF,51.89952,-0.204934
SG1 1HG,51.90012,-0.199154
SG1 1HH,51.90773,-0.209521
SG1 1HJ,51.9001,-0.199213
SG1 1HL,51.9,-0.19913
SG1 1HN,51.90133,-0.203249
SG1 1HP,51.90076,-0.199099
SG1 1HQ,51.89611,-0.202831
SG1 1HR,51.89986,-0.199135
SG1 1HS,51.90046,-0.198515
SG1 1HT,51.89963,-0.19772
SG1 1HU,51.89984,-0.197683
SG1 1HW,51.89986,-0.201054
SG1 1HX,51.89987,-0.195559
SG1 1HY,51.89989,-0.196445
SG1 1HZ,51.90066,-0.197664
SG1 1JA,51.90128,-0.196797
SG1 1JB,51.9007,-0.196471
SG1 1JD,51.90047,-0.196291
SG1 1JE,51.90126,-0.195809
SG1 1JF,51.9001,-0.199213
SG1 1JG,51.90213,-0.197533
SG1 1JH,51.9023,-0.196843
SG1 1JJ,51.90363,-0.196164
SG1 1JL,51.90287,-0.196326
SG1 1JN,51.90347,-0.197131
SG1 1JP,51.90166,-0.199063
SG1 1JQ,51.90118,-0.203211
SG1 1JR,51.90078,-0.200552
SG1 1JS,51.90492,-0.197523
SG1 1JT,51.90492,-0.197523
SG1 1JU,51.90461,-0.19614
SG1 1JW,51.90347,-0.197131
SG1 1JX,51.90464,-0.194685
SG1 1JY,51.90502,-0.194539
SG1 1JZ,51.90504,-0.196108
SG1 1LA,51.89681,-0.199635
SG1 1LB,51.89875,-0.200096
SG1 1LD,51.90169,-0.190878
SG1 1LE,51.90076,-0.199099
SG1 1LF,51.90076,-0.199099
SG1 1LG,51.90076,-0.199099
SG1 1LJ,51.90377,-0.188425
SG1 1LL,51.90236,-0.195285
SG1 1LN,51.90305,-0.195301
SG1 1LP,51.90428,-0.194103
SG1 1LQ,51.9042,-0.183087
SG1 1LR,51.90398,-0.194653
SG1 1LS,51.90344,-0.194442
SG1 1LT,51.90469,-0.193447
SG1 1LU,51.90368,-0.193022
SG1 1LW,51.90432,-0.195323
SG1 1LX,51.90243,-0.191634
SG1 1LY,51.90237,-0.190531
SG1 1LZ,51.90187,-0.20532
SG1 1NA,51.90222,-0.188967
SG1 1NB,51.90258,-0.188764
SG1 1ND,51.90242,-0.186793
SG1 1NE,51.90309,-0.184978
SG1 1NF,51.90326,-0.185916
SG1 1NG,51.90407,-0.184503
SG1 1NH,51.90455,-0.183713
SG1 1NJ,51.90578,-0.182544
SG1 1NL,51.903,-0.191596
SG1 1NN,51.90158,-0.191958
SG1 1NP,51.90134,-0.19079
SG1 1NR,51.90118,-0.191466
SG1 1NS,51.9002,-0.190618
SG1 1NT,51.90503,-0.183708
SG1 1NU,51.90792,-0.180233
SG1 1NW,51.90155,-0.1918
SG1 1PA,51.90211,-0.202418
SG1 1PB,51.90081,-0.202005
SG1 1PD,51.89988,-0.200588
SG1 1PE,51.90375,-0.192133
SG1 1PF,51.90089,-0.202539
SG1 1PG,51.90372,-0.191698
SG1 1PH,51.90503,-0.192053
SG1 1PJ,51.90459,-0.191547
SG1 1PL,51.90421,-0.190835
SG1 1PN,51.9043,-0.189058
SG1 1PP,51.90493,-0.188146
SG1 1PQ,51.90288,-0.190612
SG1 1PR,51.90388,-0.189555
SG1 1PS,51.9049,-0.187028
SG1 1PT,51.90427,-0.18698
SG1 1PU,51.90343,-0.186011
SG1 1PW,51.90498,-0.189089
SG1 1PX,51.90364,-0.186744
SG1 1PY,51.90319,-0.1873
SG1 1PZ,51.90318,-0.188696
SG1 1QA,51.90294,-0.187703
SG1 1QB,51.90409,-0.18565
SG1 1QD,51.90468,-0.18442
SG1 1QE,51.90551,-0.185346
SG1 1QG,51.90539,-0.184319
SG1 1QJ,51.90427,-0.193144
SG1 1QL,51.90263,-0.203386
SG1 1QQ,51.90598,-0.183321
SG1 1QR,51.90295,-0.202355
SG1 1QS,51.9012,-0.189822
SG1 1QT,51.90035,-0.189668
SG1 1QU,51.90126,-0.18857
SG1 1QW,51.9011,-0.193315
SG1 1QX,51.90162,-0.187378
SG1 1QY,51.90067,-0.187794
SG1 1QZ,51.90015,-0.186405
SG1 1RA,51.89949,-0.186533
SG1 1RB,51.90185,-0.185653
SG1 1RD,51.90081,-0.185652
SG1 1RE,51.8997,-0.185566
SG1 1RF,51.9013,-0.184542
SG1 1RG,51.9018,-0.183548
SG1 1RH,51.9001,-0.18443
SG1 1RJ,51.89957,-0.184946
SG1 1RL,51.9031,-0.183902
SG1 1RP,51.90059,-0.183175
SG1 1RR,51.89949,-0.183263
SG1 1RU,51.90263,-0.204606
SG1 1RW,51.90205,-0.182724
SG1 1RY,51.89966,-0.186061
SG1 1RZ,51.89966,-0.186061
SG1 1SA,51.8946,-0.196831
SG1 1SB,51.89457,-0.195655
SG1 1SD,51.89539,-0.196712
SG1 1SE,51.89553,-0.195326
SG1 1SG,51.8957,-0.194229
SG1 1SH,51.89692,-0.192567
SG1 1SJ,51.89783,-0.192342
SG1 1SL,51.89843,-0.192725
SG1 1SN,51.89894,-0.192297
SG1 1SP,51.89642,-0.19404
SG1 1SQ,51.89616,-0.192975
SG1 1SR,51.89738,-0.194889
SG1 1SS,51.89833,-0.194574
SG1 1ST,51.89828,-0.193966
SG1 1SU,51.8979,-0.193996
SG1 1SW,51.8957,-0.192282
SG1 1SX,51.89736,-0.193683
SG1 1SZ,51.8951,-0.193091
SG1 1TA,51.8948,-0.193408
SG1 1TB,51.89537,-0.191612
SG1 1TD,51.89641,-0.191468
SG1 1TE,51.89708,-0.191136
SG1 1TF,51.89793,-0.191582
SG1 1TG,51.89864,-0.191553
SG1 1TH,51.89357,-0.199387
SG1 1TJ,51.89447,-0.199351
SG1 1TL,51.89455,-0.198984
SG1 1TN,51.89619,-0.197058
SG1 1TP,51.89667,-0.195891
SG1 1TQ,51.89622,-0.196374
SG1 1TR,51.89735,-0.196067
SG1 1TS,51.8973,-0.197726
SG1 1TT,51.89849,-0.197868
SG1 1TU,51.89757,-0.197294
SG1 1TW,51.89694,-0.196912
SG1 1TX,51.89687,-0.197961
SG1 1TZ,51.89897,-0.196685
SG1 1UA,51.89893,-0.194449
SG1 1UB,51.8983,-0.195869
SG1 1UD,51.89989,-0.193436
SG1 1UE,51.90065,-0.193202
SG1 1UG,51.90127,-0.193352
SG1 1UH,51.89971,-0.191888
SG1 1UJ,51.90025,-0.192244
SG1 1UL,51.90186,-0.192834
SG1 1UN,51.90198,-0.19501
SG1 1UP,51.90156,-0.197628
SG1 1UQ,51.90147,-0.194768
SG1 1UR,51.90247,-0.193711
SG1 1UT,51.90272,-0.193773
SG1 1UU,51.903,-0.193457
SG1 1UW,51.90209,-0.195921
SG1 1UZ,51.89611,-0.202831
SG1 1WA,51.89611,-0.202831
SG1 1WB,51.89611,-0.202831
SG1 1WD,51.89611,-0.202831
SG1 1WE,51.89611,-0.202831
SG1 1WF,51.89611,-0.202831
SG1 1WG,51.89611,-0.202831
SG1 1WH,51.89611,-0.202831
SG1 1WJ,51.89611,-0.202831
SG1 1WL,51.89609,-0.202978
SG1 1WR,51.89676,-0.201541
SG1 1WT,51.89676,-0.201541
SG1 1WW,51.90129,-0.204064
SG1 1WX,51.90115,-0.204854
SG1 1WY,51.89611,-0.202831
SG1 1WZ,51.90204,-0.190065
SG1 1XA,51.8998,-0.203135
SG1 1XB,51.90176,-0.203508
SG1 1XD,51.90275,-0.203686
SG1 1XE,51.90272,-0.203818
SG1 1XF,51.89011,-0.19954
SG1 1XG,51.90342,-0.204677
SG1 1XH,51.90116,-0.204113
SG1 1XJ,51.89199,-0.198912
SG1 1XL,51.88636,-0.195621
SG1 1XN,51.89204,-0.198983
SG1 1XP,51.89009,-0.195907
SG1 1XQ,51.90342,-0.204677
