PCDS,LAT,LONG
SK1 1AA,53.40758,-2.16156
SK1 1AB,53.40758,-2.16156
SK1 1AD,53.40852,-2.159413
SK1 1AE,53.41082,-2.158549
SK1 1AF,53.41082,-2.158549
SK1 1AL,53.40982,-2.160471
SK1 1AN,53.41113,-2.159137
SK1 1AP,53.40877,-2.152073
SK1 1AQ,53.41031,-2.156155
SK1 1AR,53.41122,-2.157136
SK1 1AS,53.4106,-2.154923
SK1 1AT,53.41096,-2.156684
SK1 1BE,53.40986,-2.158846
SK1 1DA,53.40844,-2.161022
SK1 1DB,53.40942,-2.159416
SK1 1DD,53.40834,-2.16024
SK1 1DE,53.40915,-2.160092
SK1 1DF,53.41082,-2.158549
SK1 1DG,53.40852,-2.162421
SK1 1DH,53.40914,-2.15928
SK1 1DJ,53.4088,-2.159971
SK1 1DL,53.40847,-2.160947
SK1 1DN,53.40834,-2.16024
SK1 1DP,53.40907,-2.159129
SK1 1DQ,53.40937,-2.160845
SK1 1DR,53.40858,-2.16006
SK1 1DS,53.40868,-2.159865
SK1 1DT,53.41032,-2.157915
SK1 1DU,53.4087,-2.161384
SK1 1DW,53.40942,-2.159416
SK1 1DX,53.40852,-2.159413
SK1 1DY,53.40938,-2.157987
SK1 1DZ,53.40942,-2.157912
SK1 1EA,53.40942,-2.157912
SK1 1EB,53.40998,-2.158064
SK1 1ED,53.40758,-2.16156
SK1 1EE,53.40942,-2.157912
SK1 1EF,53.40974,-2.157567
SK1 1EG,53.40968,-2.156258
SK1 1EH,53.41061,-2.156728
SK1 1EJ,53.40966,-2.157447
SK1 1EL,53.40947,-2.155926
SK1 1EN,53.41191,-2.156372
SK1 1EP,53.41122,-2.156414
SK1 1EQ,53.40943,-2.156408
SK1 1ER,53.41122,-2.156414
SK1 1ES,53.41178,-2.156582
SK1 1ET,53.41212,-2.157922
SK1 1EU,53.41171,-2.157274
SK1 1EW,53.41115,-2.156309
SK1 1EX,53.41122,-2.157919
SK1 1EY,53.41149,-2.157408
SK1 1EZ,53.41185,-2.156462
SK1 1FA,53.41082,-2.158549
SK1 1FB,53.41082,-2.158549
SK1 1FD,53.41082,-2.158549
SK1 1FE,53.40933,-2.155144
SK1 1FF,53.41082,-2.158549
SK1 1FG,53.41082,-2.158549
SK1 1FH,53.40758,-2.16156
SK1 1FJ,53.40937,-2.155084
SK1 1FT,53.41082,-2.158549
SK1 1HA,53.4114,-2.157543
SK1 1HB,53.41013,-2.159359
SK1 1HD,53.41037,-2.158051
SK1 1HE,53.40866,-2.160797
SK1 1HF,53.41014,-2.157794
SK1 1HG,53.41002,-2.159163
SK1 1HH,53.41038,-2.158397
SK1 1HJ,53.41037,-2.158337
SK1 1HL,53.40989,-2.158816
SK1 1HN,53.41013,-2.159374
SK1 1HP,53.40942,-2.159416
SK1 1HQ,53.41017,-2.158441
SK1 1HR,53.40942,-2.159416
SK1 1HS,53.40984,-2.158124
SK1 1HU,53.41032,-2.156411
SK1 1HW,53.41032,-2.15942
SK1 1HZ,53.41032,-2.156411
SK1 1JA,53.41032,-2.156411
SK1 1JB,53.41032,-2.156411
SK1 1JE,53.41031,-2.156155
SK1 1JF,53.41027,-2.15617
SK1 1JH,53.41032,-2.156411
SK1 1JJ,53.41016,-2.155102
SK1 1JN,53.41122,-2.157919
SK1 1JP,53.41104,-2.156504
SK1 1JQ,53.41029,-2.155794
SK1 1JT,53.41083,-2.157195
SK1 1JW,53.41122,-2.156414
SK1 1JX,53.41122,-2.157919
SK1 1JY,53.41079,-2.156097
SK1 1JZ,53.41084,-2.15709
SK1 1LA,53.41117,-2.157437
SK1 1LB,53.41122,-2.157919
SK1 1LD,53.41122,-2.157919
SK1 1LE,53.41071,-2.15894
SK1 1LF,53.41159,-2.157815
SK1 1LG,53.41122,-2.157919
SK1 1LH,53.41173,-2.157845
SK1 1LJ,53.41122,-2.157919
SK1 1LL,53.41174,-2.158312
SK1 1LN,53.41132,-2.158024
SK1 1LP,53.41122,-2.157919
SK1 1LQ,53.41122,-2.159423
SK1 1LR,53.41122,-2.157919
SK1 1LT,53.40758,-2.16156
SK1 1LU,53.41122,-2.159423
SK1 1LW,53.41164,-2.158371
SK1 1LX,53.4115,-2.158476
SK1 1LY,53.41122,-2.157919
SK1 1LZ,53.40986,-2.16029
SK1 1NA,53.41124,-2.158701
SK1 1NB,53.41112,-2.158685
SK1 1ND,53.41112,-2.15867
SK1 1NE,53.41089,-2.158655
SK1 1NF,53.41076,-2.158744
SK1 1NG,53.40989,-2.16011
SK1 1NH,53.40989,-2.16011
SK1 1NJ,53.41082,-2.158549
SK1 1NL,53.41032,-2.15942
SK1 1NN,53.40966,-2.159011
SK1 1NP,53.40985,-2.161479
SK1 1NQ,53.41122,-2.157919
SK1 1NR,53.41282,-2.156932
SK1 1NS,53.40985,-2.161464
SK1 1NT,53.41042,-2.160759
SK1 1NU,53.40935,-2.161281
SK1 1NW,53.41082,-2.158549
SK1 1NX,53.40958,-2.159116
SK1 1NY,53.40925,-2.161311
SK1 1NZ,53.40958,-2.159116
SK1 1PA,53.40758,-2.16156
SK1 1PB,53.41066,-2.158834
SK1 1PD,53.41065,-2.159586
SK1 1PE,53.41005,-2.15987
SK1 1PF,53.40989,-2.16011
SK1 1PG,53.41061,-2.159917
SK1 1PJ,53.41214,-2.159156
SK1 1PL,53.41109,-2.160927
SK1 1PN,53.41186,-2.158869
SK1 1PP,53.41145,-2.158822
SK1 1PR,53.411,-2.159723
SK1 1PS,53.41093,-2.159482
SK1 1PT,53.41094,-2.161588
SK1 1PU,53.41094,-2.159933
SK1 1PW,53.41127,-2.159874
SK1 1PX,53.41122,-2.160927
SK1 1PY,53.41126,-2.159483
SK1 1PZ,53.40758,-2.16156
SK1 1QA,53.41174,-2.159049
SK1 1QB,53.41235,-2.159006
SK1 1QD,53.41173,-2.160027
SK1 1QE,53.41119,-2.160025
SK1 1QF,53.41099,-2.159302
SK1 1QG,53.41032,-2.160924
SK1 1QH,53.41124,-2.159829
SK1 1QJ,53.41038,-2.162173
SK1 1QL,53.41122,-2.159423
SK1 1QN,53.41046,-2.161917
SK1 1QP,53.41042,-2.160744
SK1 1QQ,53.41122,-2.159423
SK1 1QR,53.41122,-2.159423
SK1 1QW,53.4103,-2.16148
SK1 1RA,53.41028,-2.162488
SK1 1RB,53.41053,-2.162595
SK1 1RD,53.41038,-2.162173
SK1 1RE,53.40758,-2.16156
SK1 1RF,53.41032,-2.162428
SK1 1RG,53.41028,-2.162488
SK1 1RH,53.41088,-2.162761
SK1 1RJ,53.41118,-2.162356
SK1 1RL,53.41122,-2.162432
SK1 1RN,53.41157,-2.161621
SK1 1RQ,53.41065,-2.162354
SK1 1RR,53.41174,-2.16117
SK1 1RS,53.41148,-2.161816
SK1 1RT,53.41122,-2.160927
SK1 1RW,53.41108,-2.161709
SK1 1RX,53.41158,-2.161756
SK1 1RY,53.41182,-2.160945
SK1 1RZ,53.41122,-2.160927
SK1 1SA,53.41173,-2.162253
SK1 1SD,53.41212,-2.160931
SK1 1SE,53.41248,-2.159864
SK1 1SF,53.41302,-2.15943
SK1 1SG,53.41122,-2.162432
SK1 1SH,53.41302,-2.15943
SK1 1SJ,53.41212,-2.160931
SK1 1SL,53.41225,-2.159502
SK1 1SN,53.41207,-2.159622
SK1 1SP,53.40924,-2.161371
SK1 1SQ,53.41082,-2.158549
SK1 1ST,53.41038,-2.156125
SK1 1SU,53.41196,-2.160043
SK1 1SW,53.41257,-2.160015
SK1 1SX,53.41082,-2.158549
SK1 1SY,53.41145,-2.160326
SK1 1SZ,53.41145,-2.160341
SK1 1TA,53.413,-2.159174
SK1 1TB,53.4133,-2.158573
SK1 1TD,53.41332,-2.159371
SK1 1TE,53.41331,-2.158558
SK1 1TF,53.41302,-2.15943
SK1 1TG,53.41027,-2.160773
SK1 1TL,53.40942,-2.162425
SK1 1TN,53.41122,-2.160927
SK1 1TP,53.41212,-2.162435
SK1 1TQ,53.41032,-2.160924
SK1 1TR,53.40942,-2.162425
SK1 1TS,53.41076,-2.163633
SK1 1TW,53.41302,-2.15943
SK1 1TY,53.41233,-2.156764
SK1 1TZ,53.41212,-2.156418
SK1 1UA,53.41257,-2.156494
SK1 1UB,53.41301,-2.156827
SK1 1UD,53.41268,-2.157473
SK1 1UE,53.41212,-2.157922
SK1 1UF,53.41302,-2.156421
SK1 1UG,53.41212,-2.157922
SK1 1UL,53.41212,-2.156418
SK1 1UN,53.4113,-2.157107
SK1 1UP,53.41212,-2.156418
SK1 1UR,53.41212,-2.154913
SK1 1US,53.41212,-2.154913
SK1 1UT,53.41212,-2.154913
SK1 1UY,53.41302,-2.156421
SK1 1WY,53.41125,-2.157106
SK1 1WZ,53.40758,-2.16156
SK1 1XA,53.41302,-2.154916
SK1 1XB,53.41259,-2.158826
SK1 1XD,53.41302,-2.156421
SK1 1XE,53.41302,-2.156421
SK1 1XF,53.41204,-2.1575
SK1 1XG,53.41212,-2.156418
SK1 1XH,53.41392,-2.156424
SK1 1XJ,53.41323,-2.155684
SK1 1XL,53.41212,-2.159426
SK1 1XN,53.41302,-2.157925
SK1 1XP,53.41302,-2.157925
SK1 1XQ,53.41302,-2.154916
SK1 1XR,53.41209,-2.157666
SK1 1XS,53.41212,-2.157922
SK1 1XU,53.41266,-2.158345
SK1 1XW,53.41302,-2.157925
SK1 1XX,53.41213,-2.157546
SK1 1XY,53.41183,-2.157635
SK1 1YA,53.41059,-2.155344
SK1 1YB,53.40971,-2.153836
SK1 1YD,53.41047,-2.155659
SK1 1YE,53.40966,-2.154107
SK1 1YG,53.40972,-2.153851
SK1 1YH,53.40937,-2.153504
SK1 1YJ,53.40915,-2.15233
SK1 1YL,53.40943,-2.151895
SK1 1YN,53.41011,-2.153973
SK1 1YQ,53.40758,-2.16156
SK1 1YR,53.4086,-2.153261
SK1 1YS,53.40835,-2.153621
SK1 1YT,53.40758,-2.16156
SK1 1YU,53.40853,-2.1549
SK1 1YW,53.40908,-2.153022
SK1 1YX,53.41082,-2.158549
SK1 1YY,53.40856,-2.154283
SK1 1YZ,53.40856,-2.154283
SK1 1ZD,53.40886,-2.15281
SK1 2AA,53.416,-2.143914
SK1 2AB,53.416,-2.143914
SK1 2AD,53.4181,-2.147367
SK1 2AE,53.41948,-2.146153
SK1 2AF,53.41928,-2.144918
SK1 2AG,53.41167,-2.155453
SK1 2AH,53.41551,-2.153812
SK1 2AJ,53.41776,-2.152586
SK1 2AL,53.41573,-2.150413
SK1 2AN,53.41775,-2.152586
SK1 2AP,53.4177,-2.152586
SK1 2AS,53.41512,-2.151012
SK1 2AU,53.41459,-2.152485
SK1 2AX,53.41459,-2.152485
SK1 2AY,53.41483,-2.153418
SK1 2AZ,53.41483,-2.153418
SK1 2BA,53.41483,-2.153418
SK1 2BD,53.41395,-2.154664
SK1 2BG,53.41483,-2.153418
SK1 2BH,53.41572,-2.154926
SK1 2BL,53.41687,-2.154208
SK1 2BN,53.41523,-2.155075
SK1 2BP,53.41751,-2.15394
SK1 2BQ,53.41394,-2.154664
SK1 2BR,53.41482,-2.154923
SK1 2BT,53.41638,-2.153499
SK1 2BU,53.41756,-2.153413
SK1 2BW,53.41482,-2.154923
SK1 2BX,53.41807,-2.15343
SK1 2BY,53.41793,-2.153655
SK1 2BZ,53.41437,-2.153131
SK1 2DA,53.41392,-2.15492
SK1 2DB,53.40852,-2.159413
SK1 2DD,53.41482,-2.156427
SK1 2DE,53.41482,-2.156427
SK1 2DF,53.41573,-2.151917
SK1 2DG,53.41662,-2.153425
SK1 2DH,53.41662,-2.153425
SK1 2DJ,53.41603,-2.153317
SK1 2DL,53.41572,-2.153422
SK1 2DQ,53.41662,-2.153425
SK1 2DW,53.41428,-2.152739
