PCDS,LAT,LONG
SL0 0AA,51.52172,-0.507759
SL0 0AB,51.52113,-0.508167
SL0 0AD,51.52109,-0.508096
SL0 0AE,51.52116,-0.508642
SL0 0AF,51.53128,-0.523449
SL0 0AG,51.52173,-0.508291
SL0 0AH,51.52196,-0.510634
SL0 0AJ,51.52165,-0.509822
SL0 0AL,51.52253,-0.512186
SL0 0AN,51.52241,-0.509668
SL0 0AP,51.5228,-0.509136
SL0 0AQ,51.5392,-0.521751
SL0 0AR,51.53654,-0.52237
SL0 0AS,51.52601,-0.508829
SL0 0AT,51.52723,-0.507823
SL0 0AU,51.52569,-0.511031
SL0 0AW,51.5236,-0.508129
SL0 0AX,51.52515,-0.510832
SL0 0AY,51.52718,-0.516316
SL0 0AZ,51.53101,-0.514115
SL0 0BA,51.53105,-0.513855
SL0 0BB,51.53479,-0.514367
SL0 0BD,51.52598,-0.514308
SL0 0BE,51.53047,-0.515704
SL0 0BF,51.52283,-0.509755
SL0 0BG,51.53856,-0.516811
SL0 0BH,51.54013,-0.517178
SL0 0BJ,51.54238,-0.517018
SL0 0BL,51.54291,-0.518414
SL0 0BN,51.5413,-0.51913
SL0 0BP,51.54018,-0.518215
SL0 0BQ,51.53864,-0.51564
SL0 0BS,51.5359,-0.515571
SL0 0BT,51.5406,-0.518706
SL0 0BU,51.54193,-0.517581
SL0 0BW,51.53969,-0.52012
SL0 0BX,51.53879,-0.518361
SL0 0BY,51.53849,-0.517823
SL0 0BZ,51.53882,-0.51898
SL0 0DA,51.53775,-0.519995
SL0 0DB,51.53834,-0.519962
SL0 0DD,51.53683,-0.5235
SL0 0DE,51.53645,-0.51055
SL0 0DF,51.50768,-0.504644
SL0 0DG,51.53777,-0.516808
SL0 0DH,51.53733,-0.51649
SL0 0DJ,51.53716,-0.517938
SL0 0DL,51.53764,-0.518124
SL0 0DN,51.53654,-0.522356
SL0 0DP,51.5372,-0.519624
SL0 0DQ,51.53005,-0.52098
SL0 0DR,51.53545,-0.52751
SL0 0DS,51.53598,-0.522417
SL0 0DT,51.53658,-0.519312
SL0 0DU,51.53532,-0.518055
SL0 0DW,51.53693,-0.519676
SL0 0DX,51.53539,-0.519783
SL0 0DY,51.53671,-0.516684
SL0 0DZ,51.53634,-0.511043
SL0 0EA,51.53818,-0.507364
SL0 0EB,51.54047,-0.498824
SL0 0ED,51.54213,-0.497587
SL0 0EE,51.54274,-0.494423
SL0 0EF,51.53734,-0.519244
SL0 0EG,51.53576,-0.519151
SL0 0EH,51.50768,-0.504644
SL0 0EJ,51.53477,-0.520697
SL0 0EL,51.52933,-0.516549
SL0 0EN,51.52933,-0.516159
SL0 0EP,51.52968,-0.516927
SL0 0EQ,51.53595,-0.51939
SL0 0ER,51.53342,-0.522255
SL0 0ES,51.53234,-0.522304
SL0 0ET,51.53112,-0.521594
SL0 0EU,51.53596,-0.520962
SL0 0EW,51.52966,-0.519133
SL0 0EX,51.53452,-0.520518
SL0 0EY,51.53599,-0.521581
SL0 0EZ,51.5347,-0.521348
SL0 0FA,51.53226,-0.520865
SL0 0HA,51.53471,-0.522631
SL0 0HB,51.53531,-0.521977
SL0 0HD,51.53543,-0.522925
SL0 0HE,51.53536,-0.524369
SL0 0HF,51.53518,-0.523496
SL0 0HG,51.53452,-0.523171
SL0 0HH,51.53293,-0.524145
SL0 0HJ,51.53259,-0.523767
SL0 0HL,51.53316,-0.523475
SL0 0HN,51.5323,-0.522839
SL0 0HP,51.53174,-0.523419
SL0 0HQ,51.53338,-0.522819
SL0 0HR,51.53027,-0.521953
SL0 0HS,51.52806,-0.521073
SL0 0HT,51.52661,-0.519924
SL0 0HU,51.52647,-0.519208
SL0 0HW,51.532,-0.523858
SL0 0HX,51.52816,-0.523117
SL0 0HY,51.52861,-0.522353
SL0 0HZ,51.52669,-0.520959
SL0 0JA,51.53654,-0.52237
SL0 0JB,51.51865,-0.525544
SL0 0JF,51.53122,-0.523696
SL0 0JG,51.51865,-0.525169
SL0 0JH,51.51779,-0.528455
SL0 0JJ,51.5145,-0.535219
SL0 0JL,51.50768,-0.504644
SL0 0JN,51.51478,-0.535138
SL0 0JP,51.53654,-0.522356
SL0 0JQ,51.51658,-0.530915
SL0 0JR,51.51761,-0.532049
SL0 0JS,51.51775,-0.531583
SL0 0JT,51.51839,-0.532226
SL0 0JU,51.51826,-0.529102
SL0 0JW,51.51478,-0.535138
SL0 0JX,51.51875,-0.530182
SL0 0JY,51.51871,-0.529765
SL0 0JZ,51.51889,-0.526862
SL0 0LA,51.52219,-0.527664
SL0 0LB,51.52232,-0.526838
SL0 0LD,51.52609,-0.527581
SL0 0LE,51.53255,-0.527185
SL0 0LF,51.53399,-0.528609
SL0 0LG,51.52834,-0.529224
SL0 0LH,51.53307,-0.53269
SL0 0LJ,51.53325,-0.531214
SL0 0LL,51.53382,-0.530143
SL0 0LN,51.53529,-0.531538
SL0 0LP,51.53478,-0.530516
SL0 0LQ,51.53237,-0.530017
SL0 0LR,51.53469,-0.532278
SL0 0LS,51.53286,-0.537325
SL0 0LT,51.53193,-0.534933
SL0 0LU,51.52461,-0.533943
SL0 0LW,51.53507,-0.537341
SL0 0LX,51.525,-0.532979
SL0 0LZ,51.51892,-0.528634
SL0 0NA,51.54768,-0.530879
SL0 0NB,51.54749,-0.534635
SL0 0ND,51.53687,-0.530362
SL0 0NE,51.54452,-0.531399
SL0 0NF,51.54119,-0.530584
SL0 0NG,51.54479,-0.530468
SL0 0NH,51.54747,-0.534694
SL0 0NJ,51.54391,-0.529602
SL0 0NL,51.54816,-0.530936
SL0 0NN,51.5493,-0.531765
SL0 0NP,51.55319,-0.542472
SL0 0NQ,51.54769,-0.531701
SL0 0NR,51.55265,-0.542388
SL0 0NS,51.55444,-0.541682
SL0 0NT,51.55655,-0.54287
SL0 0NU,51.5562,-0.538929
SL0 0NW,51.54726,-0.531008
SL0 0NX,51.55428,-0.539379
SL0 0NY,51.55486,-0.530749
SL0 0NZ,51.5555,-0.524353
SL0 0PA,51.55172,-0.518547
SL0 0PB,51.55275,-0.523129
SL0 0PD,51.55141,-0.515629
SL0 0PE,51.55079,-0.507197
SL0 0PF,51.55079,-0.507197
SL0 0PG,51.55155,-0.508225
SL0 0PH,51.54847,-0.510042
SL0 0PJ,51.54813,-0.510168
SL0 0PL,51.5429,-0.519049
SL0 0PN,51.54354,-0.520125
SL0 0PP,51.5365,-0.514874
SL0 0PQ,51.55249,-0.511973
SL0 0PR,51.52566,-0.510902
SL0 0PS,51.52566,-0.510902
SL0 0PT,51.54367,-0.520885
SL0 0PU,51.54303,-0.521237
SL0 0PW,51.54581,-0.518003
SL0 0PX,51.54288,-0.521876
SL0 0PY,51.54329,-0.52208
SL0 0PZ,51.54294,-0.523749
SL0 0QA,51.54245,-0.521934
SL0 0QB,51.54366,-0.524765
SL0 0QD,51.54405,-0.524305
SL0 0QE,51.5446,-0.523782
SL0 0QF,51.54501,-0.523639
SL0 0QG,51.54638,-0.525931
SL0 0QH,51.54788,-0.528032
SL0 0QJ,51.54677,-0.530635
SL0 0QL,51.54694,-0.528091
SL0 0QN,51.54739,-0.528076
SL0 0QP,51.54642,-0.528266
SL0 0QQ,51.54726,-0.530374
SL0 0QR,51.54604,-0.526548
SL0 0QS,51.546,-0.530212
SL0 0QT,51.5456,-0.529461
SL0 0QU,51.50768,-0.504644
SL0 0QW,51.54528,-0.527524
SL0 0QX,51.54506,-0.527445
SL0 0QY,51.54552,-0.526507
SL0 0QZ,51.50768,-0.504644
SL0 0RA,51.53826,-0.527073
SL0 0RB,51.53971,-0.522383
SL0 0RD,51.53949,-0.524337
SL0 0RE,51.5424,-0.52081
SL0 0RF,51.54116,-0.523331
SL0 0RG,51.5423,-0.522761
SL0 0RH,51.54012,-0.524778
SL0 0RJ,51.54198,-0.523175
SL0 0RL,51.54142,-0.525616
SL0 0RN,51.54138,-0.524708
SL0 0RP,51.54084,-0.522678
SL0 0RQ,51.54166,-0.526185
SL0 0RR,51.541,-0.5225
SL0 0RS,51.54147,-0.521057
SL0 0RT,51.54195,-0.520984
SL0 0RU,51.53847,-0.524355
SL0 0RW,51.54132,-0.522057
SL0 0RX,51.53876,-0.523452
SL0 0RY,51.54242,-0.519844
SL0 0RZ,51.53841,-0.523463
SL0 0SA,51.54019,-0.521964
SL0 0SB,51.53916,-0.520569
SL0 0SD,51.53764,-0.523113
SL0 0SE,51.53748,-0.523652
SL0 0SF,51.53802,-0.523692
SL0 0SG,51.53836,-0.521403
SL0 0SH,51.54019,-0.521964
SL0 0SJ,51.53923,-0.5195
SL0 0SL,51.53654,-0.52237
SL0 0SX,51.54019,-0.521964
SL0 0SY,51.54019,-0.521964
SL0 0SZ,51.54019,-0.521964
SL0 0WA,51.50768,-0.504644
SL0 0WB,51.50768,-0.504644
SL0 0WD,51.50768,-0.504644
SL0 0WE,51.50768,-0.504644
SL0 0WP,51.50768,-0.504644
SL0 0WQ,51.50768,-0.504644
SL0 0WR,51.50768,-0.504644
SL0 0WS,51.50768,-0.504644
SL0 0WT,51.50768,-0.504644
SL0 0WU,51.50768,-0.504644
SL0 0WW,51.50768,-0.504644
SL0 0WX,51.50768,-0.504644
SL0 0WY,51.50768,-0.504644
SL0 0WZ,51.50768,-0.504644
SL0 0XA,51.54019,-0.521964
SL0 0XG,51.50768,-0.504644
SL0 0XJ,51.50768,-0.504644
SL0 0XN,51.50768,-0.504644
SL0 0XP,51.50768,-0.504644
SL0 0XQ,51.53841,-0.523463
SL0 0XR,51.53776,-0.522634
SL0 0XS,51.50768,-0.504644
SL0 0XT,51.53776,-0.522634
SL0 0XU,51.50827,-0.584601
SL0 0XX,51.50768,-0.504644
SL0 0XZ,51.50768,-0.504644
SL0 0YA,51.53841,-0.523463
SL0 0YB,51.53841,-0.523463
SL0 0YD,51.53654,-0.522356
SL0 0YH,51.50768,-0.504644
SL0 0YJ,51.53654,-0.522356
SL0 0YL,51.50768,-0.504644
SL0 0YP,51.53654,-0.522356
SL0 0YQ,51.53654,-0.522356
SL0 0YR,51.53654,-0.522356
SL0 0YS,51.53658,-0.522138
SL0 0YT,51.53654,-0.52237
SL0 0YU,51.50768,-0.504644
SL0 0YX,51.50768,-0.504644
SL0 0YY,51.50768,-0.504644
SL0 0YZ,51.53562,-0.516344
SL0 0ZG,51.50768,-0.504644
SL0 0ZH,51.50827,-0.584601
SL0 0ZJ,51.50768,-0.504644
SL0 0ZL,51.50768,-0.504644
SL0 0ZN,51.50768,-0.504644
SL0 0ZP,51.50768,-0.504644
SL0 0ZQ,51.50827,-0.584601
SL0 0ZR,51.50768,-0.504644
SL0 1AA,51.50768,-0.504644
SL0 1AB,51.50768,-0.504644
SL0 1AD,51.50827,-0.584601
SL0 1AE,51.50827,-0.584601
SL0 1AF,51.50827,-0.584601
SL0 1AG,100.0,0.0
SL0 1AH,51.50768,-0.504644
SL0 1AJ,51.50827,-0.584601
SL0 1AL,51.50827,-0.584601
SL0 1AN,51.50768,-0.504644
SL0 1AP,51.50827,-0.584601
SL0 1AQ,51.50768,-0.504644
SL0 1AR,51.50768,-0.504644
SL0 9AA,51.50768,-0.504644
SL0 9AB,51.50719,-0.505337
SL0 9AD,51.50647,-0.504223
SL0 9AE,51.50523,-0.502332
SL0 9AF,51.50588,-0.504631
SL0 9AG,51.50524,-0.504609
SL0 9AH,51.50415,-0.491518
SL0 9AJ,51.50692,-0.493631
SL0 9AL,51.50393,-0.495343
SL0 9AN,51.50871,-0.48873
SL0 9AP,51.49671,-0.49744
SL0 9AQ,51.50447,-0.500931
SL0 9AR,51.50331,-0.492093
SL0 9AS,51.50803,-0.505295
SL0 9AT,51.50797,-0.506796
SL0 9AU,51.50812,-0.507396
SL0 9AW,51.50638,-0.512871
SL0 9AX,51.50756,-0.507198
SL0 9AY,51.50757,-0.506838
SL0 9AZ,51.50761,-0.506116
SL0 9BA,51.50343,-0.512953
SL0 9BB,51.50763,-0.507167
SL0 9BD,51.51611,-0.501745
SL0 9BE,51.51789,-0.506731
SL0 9BF,51.51403,-0.50997
SL0 9BG,51.52021,-0.519051
SL0 9BH,51.50758,-0.507601
SL0 9BJ,51.50793,-0.508066
SL0 9BL,51.50718,-0.506649
SL0 9BN,51.5048,-0.508053
SL0 9BP,51.5049,-0.508842
SL0 9BQ,51.50391,-0.507419
SL0 9BS,51.50495,-0.508696
SL0 9BU,51.5145,-0.508211
SL0 9BW,51.50705,-0.507287
SL0 9BX,51.51728,-0.50394
SL0 9BY,51.5151,-0.508119
SL0 9BZ,51.52067,-0.504852
SL0 9DA,51.5038,-0.504555
SL0 9DB,51.50312,-0.508136
SL0 9DD,51.50245,-0.506616
SL0 9DE,51.50228,-0.508682
SL0 9DF,51.50283,-0.51084
SL0 9DG,51.50777,-0.504699
SL0 9DH,51.50242,-0.513548
SL0 9DJ,51.50175,-0.514909
SL0 9DL,51.49826,-0.520138
SL0 9DN,51.50161,-0.513027
SL0 9DP,51.50163,-0.511787
SL0 9DQ,51.50806,-0.506144
SL0 9DR,51.50058,-0.510035
SL0 9DS,51.49948,-0.505676
SL0 9DT,51.49952,-0.504306
SL0 9DU,51.49897,-0.503431
SL0 9DW,51.51403,-0.50997
SL0 9DX,51.49711,-0.508779
SL0 9DY,51.49995,-0.510516
SL0 9DZ,51.52116,-0.509132
SL0 9EA,51.51404,-0.50997
SL0 9EB,51.51403,-0.50997
SL0 9ED,51.50764,-0.508608
SL0 9EE,51.5078,-0.509251
SL0 9EF,51.50782,-0.512752
SL0 9EG,51.50748,-0.512907
SL0 9EH,51.50626,-0.511348
SL0 9EJ,51.5043,-0.512291
SL0 9EL,51.50656,-0.511799
SL0 9EN,51.50565,-0.513126
SL0 9EP,51.50404,-0.512789
SL0 9EQ,51.50743,-0.50935
SL0 9ER,51.50655,-0.509523
SL0 9ES,51.50469,-0.511197
SL0 9ET,51.50655,-0.508874
SL0 9EU,51.50452,-0.510713
SL0 9EW,51.50535,-0.513395
SL0 9EX,51.50587,-0.510107
SL0 9EY,51.50589,-0.511547
SL0 9EZ,51.50589,-0.511547
SL0 9FS,51.50536,-0.51338
SL0 9HD,51.51478,-0.504051
SL0 9HE,51.50896,-0.516318
SL0 9HF,51.51088,-0.513373
SL0 9HG,51.50894,-0.517183
SL0 9HH,51.51482,-0.506932
SL0 9HJ,51.51376,-0.50616
SL0 9HL,51.51355,-0.49958
SL0 9HN,51.51291,-0.498348
SL0 9HP,51.51398,-0.50389
SL0 9HQ,51.50894,-0.517183
SL0 9HR,51.5139,-0.505521
SL0 9HS,51.5148,-0.505492
SL0 9HT,51.5148,-0.505492
SL0 9HU,51.51458,-0.504735
SL0 9HW,51.51379,-0.505626
SL0 9HX,51.51384,-0.506633
SL0 9HY,51.51859,-0.504013
SL0 9HZ,51.51381,-0.505712
SL0 9JA,51.53212,-0.523667
SL0 9JB,51.51394,-0.504324
SL0 9JD,51.51574,-0.508343
SL0 9JE,51.51448,-0.507044
SL0 9JF,51.51403,-0.50997
SL0 9JG,51.51478,-0.504051
SL0 9JH,51.51392,-0.504511
SL0 9JJ,51.51394,-0.504324
SL0 9JL,51.50768,-0.504644
SL0 9JN,51.51658,-0.503992
SL0 9JP,51.5148,-0.505492
SL0 9JQ,51.51392,-0.509426
SL0 9JR,51.51707,-0.502102
SL0 9JS,51.51804,-0.501566
SL0 9JT,51.51748,-0.502247
SL0 9JU,51.51852,-0.502905
SL0 9JW,51.51394,-0.504324
SL0 9JX,51.51858,-0.502442
SL0 9JY,51.51936,-0.50367
SL0 9JZ,51.52048,-0.503806
SL0 9LA,51.52265,-0.504009
SL0 9LB,51.52558,-0.506061
SL0 9LD,51.52551,-0.499374
SL0 9LE,51.52161,-0.501088
SL0 9LF,51.52677,-0.493206
SL0 9LG,51.52939,-0.495325
SL0 9LH,51.52857,-0.490984
SL0 9LJ,51.52426,-0.494961
SL0 9LL,51.51809,-0.495193
SL0 9LN,51.52102,-0.499522
SL0 9LQ,51.52922,-0.500651
SL0 9LR,51.51465,-0.503681
SL0 9LS,51.52018,-0.503874
