PCDS,LAT,LONG
SM1 1AA,51.35972,-0.193121
SM1 1AB,51.35992,-0.192999
SM1 1AD,51.3623,-0.191928
SM1 1AE,51.35992,-0.192999
SM1 1AF,51.35992,-0.192999
SM1 1AG,51.36185,-0.194991
SM1 1AH,51.36877,-0.195768
SM1 1AJ,51.36934,-0.195602
SM1 1AL,51.35992,-0.192999
SM1 1AN,51.36924,-0.196051
SM1 1AP,51.36983,-0.194735
SM1 1AT,51.36351,-0.19405
SM1 1AW,51.3648,-0.194458
SM1 1AX,51.36467,-0.194277
SM1 1AY,51.36479,-0.194674
SM1 1AZ,51.36465,-0.195528
SM1 1BA,51.35974,-0.192704
SM1 1BB,51.36,-0.192364
SM1 1BD,51.35933,-0.193123
SM1 1BG,51.36037,-0.192809
SM1 1BH,51.36023,-0.193087
SM1 1BL,51.36023,-0.193087
SM1 1BN,51.36025,-0.194523
SM1 1BQ,51.35992,-0.192999
SM1 1BS,51.36031,-0.19363
SM1 1BT,51.36011,-0.194227
SM1 1BU,51.35935,-0.194558
SM1 1BW,51.36023,-0.193087
SM1 1BX,51.3601,-0.1945
SM1 1BY,51.35992,-0.193559
SM1 1BZ,51.35992,-0.192999
SM1 1DA,51.35986,-0.193547
SM1 1DD,51.36065,-0.193429
SM1 1DE,51.35965,-0.191602
SM1 1DF,51.36012,-0.191957
SM1 1DG,51.35993,-0.191921
SM1 1DH,51.36023,-0.193087
SM1 1DJ,51.36068,-0.192164
SM1 1DL,51.36051,-0.192171
SM1 1DN,51.36023,-0.193087
SM1 1DP,51.36023,-0.193087
SM1 1DQ,51.35992,-0.192999
SM1 1DR,51.36113,-0.192348
SM1 1DS,51.36001,-0.192564
SM1 1DT,51.36155,-0.19259
SM1 1DU,51.36244,-0.192871
SM1 1DW,51.35992,-0.192999
SM1 1DX,51.35991,-0.193013
SM1 1DY,51.36112,-0.193052
SM1 1DZ,51.36178,-0.193184
SM1 1EA,51.36163,-0.194899
SM1 1EB,51.36207,-0.193661
SM1 1ED,51.36205,-0.194452
SM1 1EE,51.3593,-0.191687
SM1 1EF,51.35992,-0.192999
SM1 1EG,51.36294,-0.194417
SM1 1EH,51.36272,-0.193578
SM1 1EL,51.36283,-0.193602
SM1 1EN,51.36294,-0.194417
SM1 1EP,51.35992,-0.192999
SM1 1EQ,51.36294,-0.194417
SM1 1ER,51.36202,-0.193016
SM1 1ES,51.35992,-0.192999
SM1 1ET,51.36277,-0.192025
SM1 1EU,51.36202,-0.193016
SM1 1EW,51.36294,-0.194417
SM1 1EX,51.36243,-0.192354
SM1 1EY,51.36283,-0.193602
SM1 1EZ,51.36186,-0.192017
SM1 1GJ,51.36914,-0.194877
SM1 1HA,51.3593,-0.191687
SM1 1HD,51.36112,-0.193052
SM1 1HE,51.36296,-0.192635
SM1 1HF,51.36087,-0.191769
SM1 1HH,51.36078,-0.191658
SM1 1HJ,51.36023,-0.193087
SM1 1HL,51.36023,-0.193087
SM1 1HN,51.36013,-0.191425
SM1 1HP,51.36024,-0.191277
SM1 1HQ,51.361,-0.191692
SM1 1HR,51.36172,-0.192597
SM1 1HS,51.36205,-0.194452
SM1 1HT,51.36003,-0.191184
SM1 1HU,51.3593,-0.191687
SM1 1HW,51.3602,-0.191652
SM1 1HX,51.36234,-0.192889
SM1 1HY,51.36147,-0.191846
SM1 1HZ,51.36112,-0.193052
SM1 1JA,51.35958,-0.191116
SM1 1JB,51.36222,-0.193985
SM1 1JD,51.3602,-0.191652
SM1 1JE,51.36742,-0.196396
SM1 1JF,51.36317,-0.193316
SM1 1JG,51.36326,-0.193801
SM1 1JH,51.36461,-0.193892
SM1 1JJ,51.36566,-0.195746
SM1 1JN,51.36689,-0.196043
SM1 1JP,51.3644,-0.193857
SM1 1JQ,51.36378,-0.193781
SM1 1JR,51.36386,-0.195817
SM1 1JS,51.36474,-0.194346
SM1 1JT,51.36476,-0.195782
SM1 1JU,51.36561,-0.194283
SM1 1JX,51.36564,-0.194311
SM1 1JY,51.36583,-0.19574
SM1 1JZ,51.36476,-0.195782
SM1 1LA,51.36566,-0.195746
SM1 1LB,51.36634,-0.194556
SM1 1LD,51.36799,-0.195324
SM1 1LE,51.36836,-0.19564
SM1 1LF,51.36341,-0.192315
SM1 1LG,51.36892,-0.195374
SM1 1LH,51.36836,-0.19564
SM1 1LJ,51.36892,-0.195374
SM1 1LL,51.36892,-0.195374
SM1 1LN,51.36926,-0.195605
SM1 1LP,51.36836,-0.19564
SM1 1LQ,51.36892,-0.195374
SM1 1LT,51.36285,-0.192711
SM1 1LU,51.36349,-0.193045
SM1 1LW,51.36996,-0.195204
SM1 1LX,51.36449,-0.19335
SM1 1LY,51.36202,-0.193016
SM1 1LZ,51.36338,-0.19302
SM1 1NA,51.36292,-0.192981
SM1 1NB,51.36294,-0.194417
SM1 1ND,51.36357,-0.192984
SM1 1NF,51.36564,-0.194311
SM1 1NG,51.36384,-0.193232
SM1 1NH,51.36952,-0.195221
SM1 1NJ,51.36384,-0.194381
SM1 1NL,51.36528,-0.193621
