PCDS,LAT,LONG
SN1 1AA,51.56369,-1.787874
SN1 1AB,51.56387,-1.787123
SN1 1AD,51.56291,-1.782266
SN1 1AE,51.56509,-1.783208
SN1 1AF,51.5617,-1.783051
SN1 1AG,51.56086,-1.786531
SN1 1AH,51.55898,-1.782718
SN1 1AL,51.55907,-1.782674
SN1 1AP,51.56304,-1.782655
SN1 1AQ,51.56236,-1.783394
SN1 1BA,51.56223,-1.784938
SN1 1BB,51.56191,-1.784348
SN1 1BD,51.56344,-1.786548
SN1 1BE,51.56319,-1.787285
SN1 1BF,51.5626,-1.783912
SN1 1BG,51.56188,-1.784997
SN1 1BH,51.56188,-1.784997
SN1 1BL,51.56198,-1.786613
SN1 1BN,51.5621,-1.785775
SN1 1BP,51.56222,-1.78615
SN1 1BQ,51.56188,-1.784997
SN1 1BS,51.56279,-1.786436
SN1 1BT,51.56304,-1.788094
SN1 1BU,51.5629,-1.787113
SN1 1BW,51.56189,-1.78644
SN1 1BX,51.56387,-1.787123
SN1 1BY,51.5656,-1.786047
SN1 1BZ,51.56279,-1.787878
SN1 1DA,51.56395,-1.78695
SN1 1DB,51.56387,-1.787123
SN1 1DD,51.56458,-1.784985
SN1 1DE,51.56382,-1.787311
SN1 1DF,51.26696,-1.789243
SN1 1DG,51.565,-1.784723
SN1 1DH,51.56581,-1.782959
SN1 1DJ,51.56548,-1.783538
SN1 1DL,51.56548,-1.783538
SN1 1DN,51.56458,-1.784985
SN1 1DP,51.56637,-1.781932
SN1 1DQ,51.56573,-1.785628
SN1 1DR,51.56564,-1.782267
SN1 1DS,51.56597,-1.781746
SN1 1DT,51.56503,-1.78253
SN1 1DU,51.56427,-1.781726
SN1 1DW,51.56389,-1.78506
SN1 1DX,51.56461,-1.783931
SN1 1DY,51.56464,-1.783181
SN1 1DZ,51.565,-1.784723
SN1 1EA,51.56364,-1.783243
SN1 1EB,51.56467,-1.78458
SN1 1ED,51.56332,-1.781701
SN1 1EE,51.56425,-1.785635
SN1 1EF,51.56353,-1.781094
SN1 1EG,51.56277,-1.780665
SN1 1EH,51.56458,-1.783542
SN1 1EJ,51.56128,-1.786327
SN1 1EL,51.56539,-1.785269
SN1 1EN,51.56184,-1.784435
SN1 1EP,51.55199,-1.722535
SN1 1EQ,51.56458,-1.783542
SN1 1ET,51.562,-1.784362
SN1 1EU,51.56368,-1.786432
SN1 1EW,51.56365,-1.783243
SN1 1EZ,51.56368,-1.786432
SN1 1FA,51.55756,-1.780647
SN1 1FB,51.56368,-1.786432
SN1 1FE,51.56531,-1.785327
SN1 1FF,51.56463,-1.785504
SN1 1FL,51.56618,-1.792234
SN1 1FP,51.55119,-1.725756
SN1 1FR,51.55119,-1.725756
