PCDS,LAT,LONG
SO1 0AA,50.89906,-1.404065
SO1 0AB,50.8994,-1.404587
SO1 0AD,50.89981,-1.405407
SO1 0AE,50.89996,-1.406045
SO1 0AF,50.90061,-1.406193
SO1 0AG,50.89909,-1.406084
SO1 0AH,50.89891,-1.405774
SO1 0AJ,50.89839,-1.40588
SO1 0AL,50.89827,-1.406265
SO1 0AN,50.89766,-1.406472
SO1 0AP,50.8979,-1.406398
SO1 0AQ,50.89542,-1.405036
SO1 0AR,50.8969,-1.405088
SO1 0AS,50.89838,-1.406691
SO1 0AT,50.89826,-1.405455
SO1 0AU,50.89854,-1.404669
SO1 0AW,50.89911,-1.405174
SO1 0AX,50.8987,-1.405449
SO1 0AY,50.89872,-1.406473
SO1 0AZ,50.89903,-1.406938
SO1 0BA,50.90111,-1.406912
SO1 0BB,50.90042,-1.405186
SO1 0BE,50.90001,-1.405518
SO1 0BG,50.89965,-1.405537
SO1 0BH,50.90099,-1.405904
SO1 0BJ,50.90013,-1.405673
SO1 0BL,50.90099,-1.40606
SO1 0BN,50.90134,-1.4057
SO1 0BP,50.90069,-1.405282
SO1 0BQ,50.90069,-1.405282
SO1 0BR,50.89984,-1.404056
SO1 0BS,50.90007,-1.404067
SO1 0BT,50.90097,-1.404311
SO1 0BU,50.90154,-1.405541
SO1 0BW,50.90084,-1.404512
SO1 0BX,50.90196,-1.405095
SO1 0BY,50.90206,-1.404724
SO1 0BZ,50.90147,-1.406068
SO1 0DA,50.90296,-1.405082
SO1 0DB,50.90467,-1.40681
SO1 0DD,50.90175,-1.405937
SO1 0DE,50.9094,-1.42672
SO1 0DF,50.90117,-1.403527
SO1 0DG,50.90954,-1.427017
SO1 0DH,50.90211,-1.403657
SO1 0DJ,50.90261,-1.403579
SO1 0DL,50.90292,-1.403732
SO1 0DN,50.90234,-1.40408
SO1 0DP,50.90131,-1.403411
SO1 0DQ,50.90334,-1.403698
SO1 0DR,50.90378,-1.403678
SO1 0DS,50.90467,-1.404093
SO1 0DT,50.90565,-1.404209
SO1 0DU,50.90756,-1.404227
SO1 0DW,50.90897,-1.404394
SO1 0DX,50.90352,-1.40489
SO1 0DY,50.90346,-1.40556
SO1 0DZ,50.90453,-1.404749
SO1 0EA,50.90906,-1.405047
SO1 0EB,50.90467,-1.40543
SO1 0ED,50.90415,-1.40548
SO1 0EE,50.90108,-1.406031
SO1 0EG,50.90439,-1.40633
SO1 0EH,50.90506,-1.40689
SO1 0EJ,50.90665,-1.40761
SO1 0EL,50.90505,-1.405468
SO1 0EN,50.90474,-1.405998
SO1 0EQ,50.90055,-1.405525
SO1 0ES,50.90686,-1.40829
SO1 0EU,50.90651,-1.412646
SO1 0FB,50.90534,-1.405735
SO1 0FE,50.9052,-1.404812
SO1 0FF,50.90545,-1.404809
SO1 0FG,50.90588,-1.404846
SO1 0FH,50.90663,-1.404865
SO1 0FJ,50.90664,-1.405334
SO1 0FL,50.90705,-1.405343
SO1 0FN,50.90736,-1.404799
SO1 0FP,50.90751,-1.405295
SO1 0FQ,50.90754,-1.404967
SO1 0FR,50.90595,-1.405457
SO1 0FS,50.90595,-1.405457
SO1 0FT,50.90261,-1.404745
SO1 0FU,50.90685,-1.405445
SO1 0FW,50.90652,-1.405321
SO1 0FX,50.90776,-1.408278
SO1 0FY,50.90812,-1.408459
SO1 0FZ,50.90833,-1.409893
SO1 0GA,50.90777,-1.4097
SO1 0GB,50.90736,-1.409094
SO1 0GD,50.9086,-1.41198
SO1 0GE,50.90874,-1.409816
SO1 0GF,50.90904,-1.409571
SO1 0GG,50.90916,-1.411205
SO1 0GH,50.90909,-1.413211
SO1 0GJ,50.90868,-1.411111
SO1 0GN,50.91063,-1.442379
SO1 0GP,50.90771,-1.413556
SO1 0GQ,50.90795,-1.415814
SO1 0GR,50.90781,-1.416812
SO1 0GS,50.90818,-1.411786
SO1 0GT,50.90818,-1.411786
SO1 0GU,50.90818,-1.411786
SO1 0GW,50.90771,-1.413556
SO1 0GX,50.90851,-1.413489
SO1 0GY,50.90078,-1.410386
SO1 0GZ,50.901,-1.412886
SO1 0HA,50.90365,-1.416451
SO1 0HB,50.9064,-1.416004
SO1 0HD,50.90284,-1.417144
SO1 0HE,50.90648,-1.42566
SO1 0HF,50.90737,-1.428409
SO1 0HG,50.90388,-1.415282
SO1 0HH,50.91062,-1.449676
SO1 0HJ,50.9049,-1.428411
SO1 0HL,50.9087,-1.4168
SO1 0HN,50.90941,-1.420803
SO1 0HP,50.90976,-1.42397
SO1 0HQ,50.91,-1.426115
SO1 0HR,50.9103,-1.427832
SO1 0HS,50.91066,-1.429435
SO1 0HT,50.91252,-1.434505
SO1 0HU,50.91276,-1.43544
SO1 0HW,50.91388,-1.440107
SO1 0HX,50.91394,-1.446834
SO1 0HY,50.9082,-1.419111
SO1 0HZ,50.90783,-1.421078
SO1 0JA,50.90787,-1.420111
SO1 0JB,50.9091,-1.42156
SO1 0JD,50.90848,-1.422649
SO1 0JE,50.90845,-1.423062
SO1 0JF,50.90865,-1.421793
SO1 0JG,50.9083,-1.421812
SO1 0JH,50.90831,-1.420873
SO1 0JJ,50.90786,-1.42196
SO1 0JL,50.90842,-1.424371
SO1 0JN,50.90886,-1.425446
SO1 0JP,50.90887,-1.42428
SO1 0JQ,50.90933,-1.423933
SO1 0JR,50.90971,-1.427342
SO1 0JS,50.91035,-1.429723
SO1 0JT,50.91243,-1.442358
SO1 0JU,50.91307,-1.444313
SO1 0JW,50.91255,-1.443821
SO1 0JX,50.91559,-1.457669
SO1 0JY,50.91335,-1.451834
SO1 0JZ,50.91434,-1.449333
SO1 0LA,50.91594,-1.452373
SO1 0LB,50.91724,-1.454875
SO1 0LD,50.9132,-1.453116
SO1 0LE,50.91351,-1.452586
SO1 0LF,50.91366,-1.454035
SO1 0LG,50.91737,-1.461773
SO1 0LH,50.89981,-1.407725
SO1 0LJ,50.91593,-1.460154
SO1 0LL,50.91486,-1.45075
SO1 0LN,50.91541,-1.452109
SO1 0LP,50.91751,-1.460008
SO1 0LQ,50.92046,-1.46858
SO1 0LR,50.92034,-1.469236
SO1 0LS,50.91828,-1.45704
SO1 0LT,50.91881,-1.461429
SO1 0LU,50.91967,-1.461917
SO1 0LW,50.91973,-1.466455
SO1 0LX,50.92027,-1.466463
SO1 0LY,50.92003,-1.466736
SO1 0LZ,50.92025,-1.4678
SO1 0NA,50.91954,-1.466998
SO1 0NB,50.91922,-1.466888
SO1 0ND,50.92102,-1.466924
SO1 0NE,50.92102,-1.467934
SO1 0NF,50.92146,-1.468839
SO1 0NG,50.92155,-1.469763
SO1 0NH,50.92157,-1.470389
SO1 0NJ,50.92133,-1.472113
SO1 0NL,50.9206,-1.472292
SO1 0NN,50.92102,-1.472088
SO1 0NP,50.92148,-1.4713
SO1 0NQ,50.92156,-1.473547
SO1 0NR,50.92088,-1.464678
SO1 0NS,50.89916,-1.403438
SO1 0NT,50.89651,-1.404183
SO1 0NU,50.92107,-1.471049
SO1 0NW,50.91946,-1.46825
SO1 0NX,50.9206,-1.471253
SO1 0NY,50.90372,-1.412468
SO1 0PA,50.89873,-1.403259
SO1 0PB,50.89785,-1.404138
SO1 0PD,50.90954,-1.426376
SO1 0PE,50.89964,-1.404072
SO1 0PG,50.90006,-1.404479
SO1 0PL,50.90767,-1.406971
SO1 0RA,50.90557,-1.415346
SO1 0RB,50.90813,-1.43827
SO1 0RD,50.90131,-1.40718
SO1 0RE,50.90645,-1.408679
SO1 0SJ,50.9059,-1.40587
SO1 0WA,50.90587,-1.421302
SO1 0WB,50.89592,-1.403409
SO1 0WD,50.9116,-1.406153
SO1 0WE,50.9071,-1.404461
SO1 0WF,50.90131,-1.403411
SO1 0WG,50.89542,-1.405036
SO1 0WH,50.91103,-1.406302
SO1 0WS,50.89843,-1.403704
SO1 0WZ,50.90506,-1.40689
SO1 0XA,50.90657,-1.405335
SO1 0XB,50.90595,-1.405457
SO1 0XD,50.90657,-1.405335
SO1 0XE,50.90657,-1.405335
SO1 0XF,50.90657,-1.405335
SO1 0XG,50.89759,-1.403032
SO1 0XH,50.90352,-1.406056
SO1 0XL,50.90145,-1.410819
SO1 0XN,50.89573,-1.403852
SO1 0XP,50.90092,-1.414139
SO1 0XQ,50.90812,-1.408459
SO1 0XR,50.90812,-1.408459
SO1 0XU,50.91103,-1.406302
SO1 0XW,50.91103,-1.406302
SO1 0XX,50.90326,-1.406913
SO1 0XY,50.90055,-1.405525
SO1 0YA,50.90234,-1.40408
SO1 0YB,50.90247,-1.402884
SO1 0YD,50.90247,-1.402884
SO1 0ZA,50.90549,-1.420609
SO1 0ZD,50.90932,-1.41409
SO1 1AA,50.8969,-1.395191
SO1 1AB,50.89684,-1.394126
SO1 1AD,50.89689,-1.392774
SO1 1AE,50.8965,-1.397443
SO1 1AF,50.89239,-1.391411
SO1 1AG,50.89691,-1.39704
SO1 1AH,50.89482,-1.398531
