PCDS,LAT,LONG
SP1 1AA,51.07056,-1.795787
SP1 1AB,51.07056,-1.795787
SP1 1AD,51.0743,-1.769578
SP1 1AF,51.07397,-1.771064
SP1 1AG,51.06922,-1.792453
SP1 1AH,51.06878,-1.794254
SP1 1AJ,51.06936,-1.796178
SP1 1AL,51.07028,-1.793876
SP1 1BA,51.06934,-1.797006
SP1 1BB,51.07009,-1.79626
SP1 1BD,51.06943,-1.797847
SP1 1BE,51.07365,-1.798685
SP1 1BG,51.0704,-1.794931
SP1 1BH,51.07005,-1.795846
SP1 1BL,51.06982,-1.797089
SP1 1BN,51.07108,-1.796113
SP1 1BP,51.07005,-1.795846
SP1 1BQ,51.07036,-1.795288
SP1 1BT,51.06963,-1.797261
SP1 1BW,51.07063,-1.796629
SP1 1BX,51.06645,-1.794435
SP1 1BZ,51.06825,-1.795854
SP1 1DA,51.07007,-1.795646
SP1 1DB,51.07125,-1.803591
SP1 1DE,51.07006,-1.795275
SP1 1DF,51.06987,-1.794748
SP1 1DH,51.06982,-1.794549
SP1 1DL,51.07009,-1.794562
SP1 1DN,51.07005,-1.795846
SP1 1DP,51.07093,-1.794458
SP1 1DR,51.07113,-1.794314
SP1 1DS,51.07005,-1.795846
SP1 1DT,51.07071,-1.793931
SP1 1DU,51.07054,-1.793875
SP1 1DW,51.06994,-1.794106
SP1 1DX,51.07029,-1.793048
SP1 1DY,51.07018,-1.792891
SP1 1DZ,51.07018,-1.794889
SP1 1EA,51.07016,-1.792877
SP1 1EB,51.07001,-1.793235
SP1 1ED,51.07115,-1.793372
SP1 1EE,51.07075,-1.792561
SP1 1EF,51.07006,-1.791993
SP1 1EG,51.07104,-1.791674
SP1 1EH,51.07004,-1.792992
SP1 1EJ,51.06901,-1.794467
SP1 1EL,51.06939,-1.793708
SP1 1EN,51.06824,-1.793
SP1 1EP,51.06886,-1.795309
SP1 1EQ,51.07125,-1.792102
SP1 1ER,51.0699,-1.792935
SP1 1ES,51.06825,-1.795854
SP1 1ET,51.06825,-1.795854
SP1 1EU,51.06891,-1.795495
SP1 1EW,51.06824,-1.794427
SP1 1EX,51.06875,-1.794596
SP1 1EY,51.06918,-1.793923
SP1 1EZ,51.06915,-1.79585
SP1 1FD,51.0705,-1.792319
SP1 1HA,51.06915,-1.794423
SP1 1HB,51.06979,-1.793664
SP1 1HD,51.06915,-1.794423
SP1 1HE,51.06925,-1.792853
SP1 1HF,51.06915,-1.794423
SP1 1HG,51.06951,-1.792209
SP1 1HH,51.06914,-1.791569
SP1 1HJ,51.06902,-1.791798
SP1 1HL,51.06955,-1.79111
SP1 1HN,51.06914,-1.791569
SP1 1HP,51.06824,-1.791573
SP1 1HQ,51.06914,-1.792996
SP1 1HR,51.06961,-1.79051
SP1 1HS,51.0695,-1.790197
SP1 1HU,51.06884,-1.789329
SP1 1HW,51.06903,-1.790356
SP1 1HX,51.06886,-1.789001
SP1 1HY,51.06942,-1.788684
SP1 1HZ,51.06938,-1.789398
SP1 1JA,51.07013,-1.789323
SP1 1JB,51.06985,-1.788668
SP1 1JD,51.0703,-1.790122
SP1 1JE,51.07022,-1.790622
SP1 1JF,51.07026,-1.790979
SP1 1JG,51.06914,-1.791569
SP1 1JH,51.06901,-1.794538
SP1 1JJ,51.07002,-1.791236
SP1 1JL,51.07057,-1.791048
SP1 1JN,51.07018,-1.788338
SP1 1JP,51.07095,-1.786494
SP1 1JQ,51.07352,-1.786011
SP1 1JR,51.07071,-1.788065
SP1 1JS,51.07218,-1.786631
SP1 1JT,51.072,-1.787302
SP1 1JU,51.07282,-1.787127
SP1 1JW,51.07035,-1.787353
SP1 1JX,51.07236,-1.785888
SP1 1JY,51.0715,-1.785549
SP1 1JZ,51.07102,-1.785523
SP1 1LA,51.0709,-1.783754
SP1 1LB,51.07051,-1.784897
SP1 1LD,51.07072,-1.784497
SP1 1LE,51.07048,-1.78397
SP1 1LF,51.07184,-1.791557
SP1 1LG,51.0707,-1.78571
SP1 1LH,51.07154,-1.784336
SP1 1LJ,51.0728,-1.784515
SP1 1LL,51.06896,-1.791712
SP1 1LN,51.07391,-1.786452
SP1 1LP,51.07429,-1.785393
SP1 1LQ,51.07168,-1.784963
SP1 1LR,51.07459,-1.78415
SP1 1LS,51.07296,-1.783416
SP1 1LT,51.07386,-1.784539
SP1 1LU,51.07273,-1.785843
SP1 1LW,51.07174,-1.782922
SP1 1LY,51.07191,-1.788188
SP1 1NA,51.06967,-1.786314
SP1 1NB,51.06994,-1.786027
SP1 1ND,51.06989,-1.786313
SP1 1NE,51.07004,-1.78704
SP1 1NF,51.06938,-1.786216
SP1 1NG,51.06908,-1.786089
SP1 1NH,51.06984,-1.785371
SP1 1NJ,51.06533,-1.773876
SP1 1NL,51.06718,-1.775208
SP1 1NP,51.0676,-1.774807
SP1 1NQ,51.06987,-1.786556
SP1 1NR,51.06787,-1.774377
SP1 1NS,51.06897,-1.775585
SP1 1NT,51.06838,-1.775102
SP1 1NU,51.06837,-1.776316
SP1 1NW,51.06725,-1.774195
SP1 1NX,51.06912,-1.781578
SP1 1NY,51.07003,-1.78871
SP1 1PD,51.07036,-1.777034
SP1 1PE,51.07067,-1.774092
