PCDS,LAT,LONG
SR1 1AA,54.90855,-1.379742
SR1 1AB,54.90698,-1.378488
SR1 1AE,54.90498,-1.376553
SR1 1AF,54.90593,-1.381919
SR1 1AG,54.90592,-1.380048
SR1 1AH,54.90493,-1.380406
SR1 1BA,54.90721,-1.379201
SR1 1BB,54.90733,-1.382257
SR1 1BD,54.90704,-1.379251
SR1 1BE,54.90615,-1.380824
SR1 1BG,54.90704,-1.379251
SR1 1BH,54.90702,-1.378581
SR1 1BJ,54.90704,-1.379251
SR1 1BL,54.90678,-1.379083
SR1 1BN,54.90723,-1.379794
SR1 1BP,54.91334,-1.380714
SR1 1BQ,54.9072,-1.37928
SR1 1BT,54.92052,-1.380604
SR1 1BU,54.90649,-1.378682
SR1 1BW,54.90723,-1.379794
SR1 1BX,54.90582,-1.378287
SR1 1BY,54.90524,-1.379279
SR1 1BZ,54.90524,-1.379279
SR1 1DA,54.90614,-1.379265
SR1 1DB,54.90614,-1.379265
SR1 1DD,54.90614,-1.379265
SR1 1DE,54.90614,-1.379265
SR1 1DF,54.90572,-1.378678
SR1 1DG,54.90524,-1.379279
SR1 1DH,54.90549,-1.378963
SR1 1DJ,54.90661,-1.378868
SR1 1DL,54.91244,-1.380728
SR1 1DN,54.90974,-1.380769
SR1 1DP,54.90694,-1.380266
SR1 1DQ,54.90525,-1.380838
SR1 1DR,54.90615,-1.380824
SR1 1DS,54.90615,-1.380824
SR1 1DT,54.90615,-1.380824
SR1 1DU,54.9184,-1.419935
SR1 1DW,54.90661,-1.378868
SR1 1DX,54.90733,-1.380572
SR1 1DY,54.90615,-1.380824
SR1 1EA,54.90718,-1.378219
SR1 1EB,54.91838,-1.420263
SR1 1ED,54.90592,-1.380048
SR1 1EE,54.90564,-1.377151
SR1 1EF,54.90613,-1.377705
SR1 1EG,54.90613,-1.377705
SR1 1EH,54.90522,-1.37616
SR1 1EJ,54.90605,-1.375507
SR1 1EL,54.90522,-1.37616
SR1 1EN,54.90522,-1.37616
SR1 1EP,54.90562,-1.37581
SR1 1EQ,54.90503,-1.377363
SR1 1ER,54.90632,-1.376112
SR1 1ES,54.90583,-1.376244
SR1 1ET,54.91838,-1.420263
