PCDS,LAT,LONG
SS0 0AA,51.55202,0.677791
SS0 0AB,51.55508,0.676139
SS0 0AD,51.55535,0.677467
SS0 0AE,51.55606,0.676658
SS0 0AF,51.55522,0.67834
SS0 0AG,51.55627,0.67732
SS0 0AH,51.55844,0.679914
SS0 0AJ,51.55927,0.680916
SS0 0AL,51.55526,0.679107
SS0 0AN,51.5528,0.678515
SS0 0AP,51.56005,0.680269
SS0 0AQ,51.5584,0.679104
SS0 0AR,51.55747,0.681762
SS0 0AS,51.55582,0.677351
SS0 0AT,51.55139,0.674206
SS0 0AU,51.55183,0.675054
SS0 0AW,51.55157,0.678356
SS0 0AX,51.55139,0.675114
SS0 0AY,51.55263,0.676024
SS0 0AZ,51.55188,0.677725
SS0 0BA,51.55382,0.674521
SS0 0BB,51.55368,0.676807
SS0 0BD,51.55419,0.677342
SS0 0BE,51.55437,0.675549
SS0 0BF,51.56227,0.667312
SS0 0BG,51.55582,0.674134
SS0 0BH,51.55429,0.673265
SS0 0BJ,51.55523,0.672757
SS0 0BL,51.55521,0.672179
SS0 0BN,51.55413,0.671871
SS0 0BP,51.55296,0.669436
SS0 0BQ,51.55579,0.67481
SS0 0BS,51.55241,0.66773
SS0 0BT,51.55368,0.672421
SS0 0BU,51.55238,0.673528
SS0 0BW,51.55452,0.670552
SS0 0BX,51.55297,0.672221
SS0 0BY,51.55177,0.671963
SS0 0BZ,51.55149,0.669884
SS0 0DA,51.55747,0.681762
SS0 0DD,51.55682,0.673081
SS0 0DE,51.55747,0.681762
SS0 0DF,51.55682,0.673081
SS0 0DG,51.55746,0.681761
SS0 0DH,51.55704,0.675561
SS0 0DJ,51.55743,0.675916
SS0 0DL,51.55917,0.678399
SS0 0DN,51.55813,0.678021
SS0 0DP,51.55691,0.67186
SS0 0DR,51.55698,0.67325
SS0 0DS,51.55874,0.670669
SS0 0DT,51.55889,0.670173
SS0 0DU,51.55816,0.671227
SS0 0DW,51.55895,0.677607
SS0 0DX,51.55914,0.671284
SS0 0DY,51.55922,0.673107
SS0 0DZ,51.55934,0.67548
SS0 0EA,51.55935,0.673735
SS0 0EB,51.5598,0.674713
SS0 0ED,51.56093,0.67504
SS0 0EE,51.56023,0.675879
SS0 0EF,51.55916,0.676177
SS0 0EG,51.55861,0.676606
SS0 0EH,51.54353,0.7124
SS0 0EJ,51.56236,0.683435
SS0 0EL,51.55086,0.69137
SS0 0EN,51.56041,0.67967
SS0 0EP,51.56055,0.686561
SS0 0EQ,51.55827,0.675619
SS0 0ER,51.56179,0.675191
SS0 0ES,51.5625,0.673602
SS0 0ET,51.54353,0.7124
SS0 0EU,51.56211,0.673305
SS0 0EW,51.56072,0.677149
SS0 0EX,51.5628,0.670229
SS0 0EY,51.56283,0.667244
SS0 0EZ,51.56183,0.666074
SS0 0FA,51.56092,0.686799
SS0 0FF,51.55747,0.681762
SS0 0FZ,51.54353,0.7124
SS0 0GG,51.54353,0.7124
SS0 0GS,51.54353,0.7124
SS0 0HA,51.56138,0.666928
SS0 0HB,51.55996,0.667537
SS0 0HD,51.56026,0.66845
SS0 0HE,51.56151,0.667888
SS0 0HF,51.56174,0.667454
SS0 0HG,51.56144,0.668475
SS0 0HH,51.56158,0.669825
SS0 0HJ,51.56079,0.670385
SS0 0HL,51.56087,0.671126
SS0 0HN,51.56063,0.671574
SS0 0HP,51.56079,0.672579
SS0 0HQ,51.56215,0.669988
SS0 0HR,51.56061,0.673058
SS0 0HS,51.56119,0.674622
SS0 0HT,51.56144,0.66758
SS0 0HU,51.55619,0.700457
SS0 0HW,51.56173,0.672691
SS0 0JA,51.56344,0.666399
SS0 0JB,51.56339,0.668676
SS0 0JD,51.56483,0.672021
SS0 0JE,51.5642,0.669604
SS0 0JF,51.56487,0.672803
SS0 0JG,51.56403,0.672638
SS0 0JH,51.5631,0.673782
SS0 0JJ,51.5626,0.675239
SS0 0JL,51.56141,0.676915
SS0 0JN,51.56089,0.679178
SS0 0JP,51.56016,0.685614
SS0 0JQ,51.56335,0.67182
SS0 0JR,51.56037,0.685987
SS0 0JS,51.5608,0.686907
SS0 0JT,51.56003,0.687352
SS0 0JU,51.55979,0.690094
SS0 0JW,51.56046,0.681606
SS0 0JX,51.56042,0.688414
SS0 0JY,51.56179,0.686951
SS0 0JZ,51.56057,0.690818
SS0 0LA,51.5607,0.688532
