PCDS,LAT,LONG
ST1 1AA,53.02494,-2.174542
ST1 1AB,53.00813,-2.178498
ST1 1AF,53.02506,-2.174319
ST1 1AG,53.02506,-2.174319
ST1 1AP,53.02442,-2.176702
ST1 1AT,53.02468,-2.175883
ST1 1AZ,53.00813,-2.178498
ST1 1BA,53.02515,-2.176079
ST1 1BS,53.02612,-2.174801
ST1 1DA,53.02571,-2.175843
ST1 1DB,53.02585,-2.175649
ST1 1DD,53.02378,-2.17737
ST1 1DE,53.0256,-2.175797
ST1 1DF,53.02595,-2.176023
ST1 1DG,53.02534,-2.176378
ST1 1DH,53.02548,-2.176706
ST1 1DJ,53.02559,-2.175783
ST1 1DL,53.02549,-2.176975
ST1 1DN,53.02559,-2.175783
ST1 1DP,53.02288,-2.177367
ST1 1DQ,53.02468,-2.177374
ST1 1DR,53.02529,-2.177347
ST1 1DS,53.02468,-2.177374
ST1 1DT,53.02514,-2.177853
ST1 1DU,53.02467,-2.178865
ST1 1DW,53.02501,-2.176749
ST1 1DX,53.02467,-2.178865
ST1 1DY,53.02527,-2.178316
ST1 1DZ,53.02468,-2.177374
ST1 1EA,53.02411,-2.177461
ST1 1EB,53.02443,-2.178029
ST1 1ED,53.02378,-2.17737
ST1 1EE,53.02482,-2.177792
ST1 1EF,53.0241,-2.177968
ST1 1EG,53.02496,-2.177375
ST1 1EH,53.02482,-2.17821
ST1 1EJ,53.02559,-2.175783
ST1 1EL,53.02378,-2.17737
ST1 1EN,53.02474,-2.176912
ST1 1EP,53.02377,-2.178861
ST1 1EQ,53.02827,-2.17888
ST1 1ER,53.02418,-2.176492
ST1 1ES,53.02567,-2.175872
ST1 1ET,53.02377,-2.178861
ST1 1EU,53.0241,-2.176313
ST1 1EW,53.00813,-2.178498
ST1 1EX,53.02403,-2.176074
ST1 1EZ,53.02378,-2.17737
ST1 1HA,53.02377,-2.178861
ST1 1HD,53.02378,-2.175879
ST1 1HE,53.02474,-2.176599
ST1 1HF,53.02827,-2.175898
ST1 1HG,53.02415,-2.176269
ST1 1HH,53.02468,-2.175883
ST1 1HJ,53.0251,-2.179105
ST1 1HL,53.02483,-2.176107
ST1 1HP,53.02382,-2.176312
ST1 1HQ,53.02436,-2.176299
ST1 1HR,53.02394,-2.17755
