PCDS,LAT,LONG
SY1 1AA,52.71316,-2.749114
SY1 1AB,52.7123,-2.750432
SY1 1AD,52.70547,-2.750596
SY1 1AE,52.71317,-2.749114
SY1 1AF,52.70827,-2.756179
SY1 1AG,52.70571,-2.75202
SY1 1AH,52.70822,-2.757289
SY1 1AN,52.71317,-2.749114
SY1 1AX,52.71049,-2.751881
SY1 1AY,52.70778,-2.753314
SY1 1AZ,52.70778,-2.753314
SY1 1BA,52.71078,-2.75347
SY1 1BB,52.71047,-2.754841
SY1 1BD,52.7051,-2.751788
SY1 1BN,52.70961,-2.752576
SY1 1BP,52.70963,-2.752532
SY1 1BU,52.70874,-2.754426
SY1 1BW,52.70961,-2.752576
SY1 1BX,52.70888,-2.754503
SY1 1BY,52.7089,-2.754917
SY1 1BZ,52.70888,-2.754503
SY1 1DA,52.7098,-2.750418
SY1 1DB,52.7084,-2.754272
SY1 1DD,52.70844,-2.753903
SY1 1DE,52.70865,-2.752338
SY1 1DF,52.70771,-2.750915
SY1 1DG,52.70836,-2.754553
SY1 1DL,52.70863,-2.750679
SY1 1DN,52.70835,-2.753709
SY1 1DP,52.70871,-2.752664
SY1 1DQ,52.70876,-2.753301
SY1 1DR,52.70868,-2.75333
SY1 1DS,52.70888,-2.752001
SY1 1DT,52.70894,-2.751765
SY1 1DU,52.70778,-2.753314
SY1 1DW,52.70911,-2.750703
SY1 1DX,52.70895,-2.751795
SY1 1DY,52.70863,-2.750679
SY1 1DZ,52.70826,-2.751339
SY1 1EA,52.70869,-2.75185
SY1 1EB,52.70804,-2.751528
SY1 1ED,52.70839,-2.752022
SY1 1EE,52.70778,-2.753314
SY1 1EF,52.71317,-2.749114
SY1 1EG,52.70804,-2.750936
SY1 1EJ,52.70778,-2.753314
SY1 1EL,52.70688,-2.753299
SY1 1EN,52.70728,-2.751308
SY1 1EP,52.70711,-2.750831
SY1 1EQ,52.70789,-2.751658
SY1 1ER,52.70773,-2.750901
SY1 1ES,52.70697,-2.750858
SY1 1ET,52.70666,-2.750823
SY1 1EU,52.70894,-2.751854
SY1 1EW,52.7085,-2.752172
SY1 1EX,52.70918,-2.75282
SY1 1EY,52.70778,-2.753314
SY1 1EZ,52.70734,-2.750642
SY1 1FB,52.70595,-2.759203
SY1 1FZ,52.71317,-2.749114
SY1 1HA,52.70826,-2.754743
SY1 1HB,52.70687,-2.756259
SY1 1HD,52.70805,-2.754518
SY1 1HE,52.70784,-2.754884
SY1 1HF,52.70765,-2.755281
SY1 1HG,52.70687,-2.756259
SY1 1HH,52.70953,-2.758954
SY1 1HJ,52.70787,-2.755418
SY1 1HL,52.70744,-2.755913
SY1 1HN,52.70773,-2.756066
SY1 1HP,52.70687,-2.756259
SY1 1HQ,52.70777,-2.756082
SY1 1HR,52.70733,-2.756163
SY1 1HS,52.70763,-2.755946
SY1 1HT,52.70787,-2.755418
SY1 1HU,52.70751,-2.756906
SY1 1HW,52.70784,-2.754884
SY1 1HX,52.70769,-2.756554
SY1 1HY,52.70686,-2.757739
SY1 1HZ,52.7076,-2.757219
SY1 1JA,52.70659,-2.756609
SY1 1JB,52.70753,-2.757173
SY1 1JD,52.70705,-2.756735
SY1 1JE,52.70691,-2.756911
SY1 1JF,52.70562,-2.757895
SY1 1JG,52.70686,-2.757739
SY1 1JH,52.70671,-2.756404
SY1 1JJ,52.7069,-2.757636
SY1 1JL,52.70652,-2.75868
SY1 1JN,52.70608,-2.758465
SY1 1JP,52.70629,-2.758069
SY1 1JQ,52.70724,-2.756946
SY1 1JR,52.70535,-2.757742
SY1 1JS,52.70585,-2.757958
SY1 1JT,52.70498,-2.758979
SY1 1JU,52.70605,-2.758465
SY1 1JW,52.70613,-2.757696
SY1 1JX,52.70732,-2.75896
SY1 1JY,52.70597,-2.756243
SY1 1JZ,52.70741,-2.754048
SY1 1LA,52.7076,-2.754628
SY1 1LB,52.70687,-2.756259
SY1 1LD,52.70753,-2.754746
SY1 1LE,52.70742,-2.755232
SY1 1LF,52.71317,-2.749114
SY1 1LG,52.70719,-2.755095
SY1 1LH,52.70714,-2.754561
SY1 1LJ,52.70687,-2.756259
SY1 1LL,52.70687,-2.756259
SY1 1LN,52.7071,-2.754413
SY1 1LP,52.70677,-2.753016
SY1 1LQ,52.70687,-2.754779
SY1 1LR,52.70735,-2.753455
SY1 1LS,52.70625,-2.754057
SY1 1LT,52.70659,-2.754063
SY1 1LU,52.70655,-2.754077
SY1 1LW,52.70692,-2.753832
SY1 1LX,52.70597,-2.756243
SY1 1LY,52.70679,-2.754037
SY1 1LZ,52.7066,-2.75507
SY1 1NA,52.71187,-2.75072
SY1 1NB,52.71279,-2.751698
SY1 1ND,52.70657,-2.755069
SY1 1NE,52.70597,-2.754763
SY1 1NF,52.70678,-2.756109
SY1 1NG,52.70721,-2.755554
SY1 1NJ,52.70596,-2.757723
SY1 1NL,52.7061,-2.757044
SY1 1NN,52.70692,-2.755964
SY1 1NP,52.70607,-2.756215
SY1 1NQ,52.70656,-2.756061
SY1 1NR,52.70784,-2.754351
SY1 1NS,52.70687,-2.756259
SY1 1NT,52.70584,-2.755368
SY1 1NU,52.70868,-2.75333
SY1 1NW,52.70617,-2.756498
SY1 1NX,52.71219,-2.751629
SY1 1NY,52.71234,-2.751187
SY1 1NZ,52.71202,-2.751596
SY1 1PA,52.71246,-2.750908
SY1 1PB,52.71135,-2.751881
SY1 1PD,52.71123,-2.75139
SY1 1PE,52.711,-2.752008
SY1 1PF,52.71145,-2.752401
SY1 1PG,52.71092,-2.75399
SY1 1PH,52.70989,-2.754091
SY1 1PJ,52.70958,-2.754396
SY1 1PL,52.71046,-2.753065
SY1 1PN,52.70853,-2.75497
SY1 1PP,52.70921,-2.755929
SY1 1PQ,52.70906,-2.75532
SY1 1PR,52.70933,-2.75568
SY1 1PS,52.70909,-2.756726
SY1 1PT,52.70959,-2.755225
SY1 1PU,52.70911,-2.756298
SY1 1PW,52.70986,-2.755807
SY1 1PX,52.71217,-2.750785
SY1 1PY,52.70847,-2.755635
SY1 1PZ,52.70834,-2.755263
SY1 1QA,52.70855,-2.755222
SY1 1QB,52.71078,-2.753366
SY1 1QD,52.70843,-2.756093
SY1 1QE,52.70866,-2.75629
SY1 1QF,52.70807,-2.757182
SY1 1QG,52.70786,-2.755965
SY1 1QH,52.70849,-2.757175
SY1 1QJ,52.70831,-2.757468
SY1 1QL,52.7079,-2.755374
SY1 1QN,52.70776,-2.757754
SY1 1QP,52.70811,-2.757449
SY1 1QQ,52.70774,-2.756599
SY1 1QR,52.70774,-2.759234
SY1 1QS,52.70916,-2.757113
SY1 1QT,52.70953,-2.757578
SY1 1QU,52.709,-2.756547
SY1 1QW,52.70774,-2.759234
SY1 1QX,52.70865,-2.75777
SY1 1QY,52.70865,-2.75777
SY1 1RA,52.70865,-2.75777
SY1 1RB,52.70776,-2.757754
SY1 1RD,52.70784,-2.757726
SY1 1RE,52.70792,-2.757402
SY1 1RF,52.70685,-2.759218
SY1 1RG,52.70813,-2.758101
SY1 1RH,52.70864,-2.75925
SY1 1RJ,52.70826,-2.759347
SY1 1RL,52.7082,-2.75862
