PCDS,LAT,LONG
TA1 1AA,51.02344,-3.109655
TA1 1AB,51.01618,-3.102781
TA1 1AD,51.01731,-3.108012
TA1 1AE,51.01863,-3.102098
TA1 1AF,51.02092,-3.11276
TA1 1AG,51.02135,-3.116036
TA1 1AH,51.0205,-3.111609
TA1 1AJ,51.02124,-3.10273
TA1 1AL,51.02262,-3.09415
TA1 1AN,51.02284,-3.093628
TA1 1AP,51.01997,-3.099192
TA1 1AR,51.02283,-3.095838
TA1 1AS,51.02061,-3.09811
TA1 1AT,51.02226,-3.093415
TA1 1AU,51.01715,-3.094549
TA1 1AW,51.01797,-3.112846
TA1 1AX,51.02241,-3.099521
TA1 1AY,51.01993,-3.097338
TA1 1AZ,51.02035,-3.113716
TA1 1BA,51.02147,-3.104674
TA1 1BB,51.02128,-3.104855
TA1 1BD,51.02203,-3.1059
TA1 1BE,51.02267,-3.106257
TA1 1BF,51.02345,-3.109712
TA1 1BG,51.0226,-3.106983
TA1 1BH,51.02294,-3.107975
TA1 1BJ,51.02269,-3.106343
TA1 1BL,51.02345,-3.109712
TA1 1BN,51.02222,-3.107002
TA1 1BP,51.02075,-3.104828
TA1 1BQ,51.02182,-3.106351
TA1 1BS,51.02168,-3.106034
TA1 1BT,51.02049,-3.105635
TA1 1BU,51.02168,-3.107303
TA1 1BW,51.02094,-3.105075
TA1 1BX,51.02198,-3.107467
TA1 1BY,51.02225,-3.108172
TA1 1BZ,51.02312,-3.111373
TA1 1DA,51.01959,-3.106284
TA1 1DB,51.01913,-3.106116
TA1 1DD,51.01913,-3.106287
TA1 1DE,51.01936,-3.106635
TA1 1DF,51.01889,-3.108163
TA1 1DG,51.01954,-3.109177
TA1 1DH,51.01998,-3.108817
TA1 1DJ,51.01995,-3.109842
TA1 1DL,51.01981,-3.111365
TA1 1DN,51.02007,-3.112497
TA1 1DP,51.02297,-3.113009
TA1 1DQ,51.01993,-3.107133
TA1 1DR,51.02384,-3.113628
TA1 1DS,51.02379,-3.111189
TA1 1DT,51.02368,-3.113867
TA1 1DU,51.02363,-3.111228
TA1 1DW,51.01997,-3.11201
TA1 1DX,51.01988,-3.101856
TA1 1DY,51.02253,-3.098497
TA1 1DZ,51.02089,-3.114399
TA1 1EA,51.02109,-3.108914
TA1 1EB,51.02268,-3.109494
TA1 1ED,51.02052,-3.1093
TA1 1EE,51.02076,-3.109919
TA1 1EF,51.0205,-3.110654
TA1 1EG,51.02161,-3.111208
TA1 1EH,51.02087,-3.111918
TA1 1EJ,51.02116,-3.113151
TA1 1EL,51.02223,-3.111052
TA1 1EN,51.02122,-3.114721
TA1 1EP,51.02142,-3.11531
TA1 1EQ,51.02172,-3.110013
TA1 1ER,51.02229,-3.115502
TA1 1ES,51.02169,-3.116086
TA1 1ET,51.02115,-3.116886
TA1 1EU,51.02195,-3.117447
TA1 1EW,51.0217,-3.113877
TA1 1EX,51.0226,-3.116707
TA1 1EY,51.02263,-3.116351
TA1 1EZ,51.02246,-3.115891
TA1 1FA,51.02305,-3.093105
TA1 1FB,51.01762,-3.102387
TA1 1FD,51.01778,-3.103346
TA1 1FE,51.01784,-3.10292
TA1 1FF,51.01718,-3.105014
TA1 1FH,51.02194,-3.101563
TA1 1FJ,51.01895,-3.106497
TA1 1FX,51.02345,-3.109712
TA1 1HA,51.02246,-3.117517
TA1 1HB,51.02284,-3.115943
TA1 1HD,51.02125,-3.105468
TA1 1HE,51.02106,-3.10649
TA1 1HF,51.01735,-3.103393
TA1 1HG,51.01377,-3.101883
TA1 1HH,51.01428,-3.101652
TA1 1HJ,51.01377,-3.101883
TA1 1HL,51.01423,-3.102264
TA1 1HN,51.01529,-3.102446
TA1 1HP,51.01516,-3.102643
TA1 1HQ,51.01377,-3.101883
TA1 1HR,51.01489,-3.102123
TA1 1HS,51.01468,-3.100479
TA1 1HT,51.01423,-3.102264
TA1 1HU,51.01377,-3.101883
TA1 1HW,51.01466,-3.103329
TA1 1HX,51.01426,-3.102507
TA1 1HY,51.01376,-3.103308
TA1 1HZ,51.01374,-3.104733
TA1 1JA,51.0144,-3.103737
TA1 1JB,51.01466,-3.103329
TA1 1JD,51.01456,-3.102842
TA1 1JE,51.01466,-3.103329
TA1 1JF,51.01464,-3.104755
TA1 1JG,51.01464,-3.104755
TA1 1JH,51.01724,-3.103034
TA1 1JJ,51.01755,-3.102842
TA1 1JL,51.01825,-3.102459
TA1 1JN,51.01719,-3.103375
TA1 1JP,51.01812,-3.101815
TA1 1JQ,51.01492,-3.103492
TA1 1JR,51.01694,-3.101886
TA1 1JS,51.01796,-3.100556
TA1 1JT,51.01893,-3.099524
TA1 1JU,51.01842,-3.099312
TA1 1JW,51.0147,-3.103501
TA1 1JX,51.01791,-3.098274
TA1 1JY,51.01839,-3.103717
TA1 1JZ,51.01738,-3.107329
TA1 1LA,51.01704,-3.097056
TA1 1LB,51.01722,-3.097316
TA1 1LD,51.01745,-3.097693
TA1 1LE,51.01636,-3.098195
TA1 1LF,51.01748,-3.099219
TA1 1LG,51.01643,-3.106223
TA1 1LH,51.01582,-3.103556
TA1 1LJ,51.01629,-3.10361
TA1 1LL,51.01677,-3.103807
TA1 1LN,51.01625,-3.103781
TA1 1LP,51.0169,-3.103112
TA1 1LQ,51.01528,-3.1038
TA1 1LR,51.01522,-3.103614
TA1 1LT,51.01644,-3.103158
TA1 1LU,51.01556,-3.103351
TA1 1LW,51.01648,-3.103059
TA1 1LX,51.01565,-3.102754
TA1 1LY,51.01556,-3.103351
TA1 1LZ,51.01584,-3.102801
TA1 1NA,51.01643,-3.103614
TA1 1NB,51.01565,-3.102754
TA1 1ND,51.01554,-3.102495
TA1 1NE,51.01461,-3.101546
TA1 1NF,51.01549,-3.10372
TA1 1NG,51.02344,-3.109655
TA1 1NH,51.01945,-3.105567
TA1 1NJ,51.01654,-3.09482
TA1 1NL,51.01992,-3.105265
TA1 1NN,51.02042,-3.106332
TA1 1NP,51.02004,-3.104883
TA1 1NQ,51.01992,-3.105878
TA1 1NR,51.01994,-3.105964
TA1 1NS,51.02032,-3.104405
TA1 1NT,51.02095,-3.103479
TA1 1NU,51.02017,-3.103817
TA1 1NW,51.01919,-3.112904
TA1 1NX,51.0206,-3.10377
TA1 1NY,51.0223,-3.095226
TA1 1NZ,51.02069,-3.104328
TA1 1PA,51.02096,-3.103721
TA1 1PB,51.02153,-3.103578
TA1 1PD,51.02191,-3.10323
TA1 1PE,51.02186,-3.102074
TA1 1PF,51.02158,-3.103066
TA1 1PG,51.02201,-3.104431
TA1 1PH,51.02191,-3.102047
TA1 1PJ,51.02243,-3.100077
TA1 1PL,51.02259,-3.099554
TA1 1PN,51.02074,-3.102233
TA1 1PP,51.02046,-3.103025
TA1 1PQ,51.02142,-3.102406
TA1 1PR,51.01906,-3.113414
TA1 1PS,51.02251,-3.0966
TA1 1PT,51.01919,-3.09916
TA1 1PU,51.02104,-3.096594
TA1 1PW,51.02073,-3.10219
TA1 1PX,51.02055,-3.095927
TA1 1PY,51.02005,-3.095601
TA1 1PZ,51.0201,-3.096215
TA1 1QA,51.01981,-3.097021
TA1 1QB,51.01968,-3.095792
TA1 1QD,51.01923,-3.095724
TA1 1QE,51.01899,-3.097416
TA1 1QF,51.01828,-3.096586
TA1 1QG,51.01778,-3.09599
TA1 1QH,51.01795,-3.096835
TA1 1QJ,51.01713,-3.095917
TA1 1QL,51.01921,-3.098276
TA1 1QN,51.01911,-3.098587
TA1 1QP,51.02356,-3.099063
TA1 1QQ,51.01738,-3.095068
TA1 1QR,51.01867,-3.097636
TA1 1QS,51.02072,-3.092409
TA1 1QT,51.0205,-3.093231
TA1 1QU,51.02345,-3.109712
TA1 1QW,51.02277,-3.102852
TA1 1QY,51.01601,-3.099327
TA1 1QZ,51.0153,-3.102418
TA1 1RA,51.01534,-3.096845
TA1 1RB,51.01466,-3.103329
TA1 1RD,51.01557,-3.098219
TA1 1RE,51.01567,-3.097309
TA1 1RF,51.01467,-3.101904
TA1 1RG,51.01546,-3.101794
TA1 1RH,51.01529,-3.101491
TA1 1RJ,51.01524,-3.101647
TA1 1RL,51.01518,-3.101788
TA1 1RN,51.01516,-3.101958
TA1 1RP,51.01466,-3.103329
TA1 1RQ,51.01467,-3.101904
TA1 1RR,51.01557,-3.101925
TA1 1RS,51.02259,-3.099554
TA1 1RT,51.01697,-3.100319
TA1 1RU,51.01785,-3.099556
TA1 1RW,51.01466,-3.103329
TA1 1RX,51.01549,-3.096549
TA1 1RY,51.01593,-3.095818
TA1 1RZ,51.01538,-3.101964
TA1 1SA,51.01579,-3.101389
TA1 1SB,51.01537,-3.100295
TA1 1SD,51.01557,-3.101925
TA1 1SE,51.0149,-3.100869
TA1 1SF,51.01683,-3.102069
TA1 1SG,51.01583,-3.099194
TA1 1SH,51.01713,-3.10018
TA1 1SJ,51.01708,-3.101148
TA1 1SL,51.01647,-3.101947
