PCDS,LAT,LONG
TD1 1AA,55.61746,-2.809014
TD1 1AB,55.61757,-2.812175
TD1 1AD,55.61791,-2.817105
TD1 1AE,55.62601,-2.82947
TD1 1AZ,55.61746,-2.809014
TD1 1BA,55.61684,-2.808382
TD1 1BB,55.61659,-2.807916
TD1 1BD,55.61606,-2.806635
TD1 1BE,55.61732,-2.808931
TD1 1BG,55.61608,-2.807445
TD1 1BH,55.61683,-2.807016
TD1 1BJ,55.61699,-2.807892
TD1 1BL,55.61602,-2.805999
TD1 1BN,55.61635,-2.806641
TD1 1BP,55.61847,-2.808066
TD1 1BQ,55.61723,-2.80866
TD1 1BS,55.61869,-2.80942
TD1 1BT,55.6186,-2.809164
TD1 1BU,55.61828,-2.808268
TD1 1BW,55.61758,-2.805777
TD1 1BX,55.618,-2.807929
TD1 1BY,55.61777,-2.806686
TD1 1BZ,55.61733,-2.808439
TD1 1DB,55.61648,-2.806961
TD1 1DD,55.62052,-2.81338
TD1 1DE,55.61739,-2.812315
TD1 1DH,55.61428,-2.811726
TD1 1DL,55.61611,-2.807065
TD1 1DN,55.61592,-2.807458
TD1 1DP,55.61613,-2.807605
TD1 1DQ,55.61486,-2.813644
TD1 1DR,55.61621,-2.807718
TD1 1DS,55.61613,-2.807605
TD1 1DT,55.61465,-2.810385
TD1 1DU,55.61543,-2.812004
TD1 1DW,55.61563,-2.812072
TD1 1DX,55.61573,-2.811995
TD1 1DY,55.61599,-2.811619
TD1 1DZ,55.61599,-2.811111
TD1 1EA,55.61486,-2.809976
TD1 1EB,55.61568,-2.810231
TD1 1ED,55.61524,-2.810635
TD1 1EL,55.6167,-2.809665
TD1 1EN,55.61625,-2.808639
TD1 1EP,55.61535,-2.807144
TD1 1ER,55.6157,-2.807549
TD1 1ES,55.61539,-2.808574
TD1 1ET,55.61552,-2.808799
TD1 1EU,55.61526,-2.808873
TD1 1EW,55.61615,-2.808304
TD1 1EX,55.61514,-2.808712
TD1 1EY,55.61653,-2.810487
TD1 1EZ,55.61619,-2.811179
TD1 1HA,55.61708,-2.812848
TD1 1HB,55.61721,-2.814026
TD1 1HD,55.61678,-2.813572
TD1 1HE,55.61762,-2.814701
TD1 1HF,55.61757,-2.81543
TD1 1HG,55.61776,-2.815355
TD1 1HH,55.61736,-2.817252
TD1 1HJ,55.61703,-2.817213
TD1 1HL,55.61753,-2.816477
TD1 1HN,55.61746,-2.809014
TD1 1HP,55.61694,-2.815655
TD1 1HQ,55.61739,-2.815697
TD1 1HR,55.6165,-2.815249
TD1 1HS,55.61674,-2.816969
TD1 1HT,55.61665,-2.816586
TD1 1HW,55.61678,-2.814493
TD1 1HX,55.61654,-2.808788
TD1 1HY,55.61636,-2.817469
TD1 1HZ,55.61642,-2.817677
TD1 1JA,55.61808,-2.815774
TD1 1JD,55.61567,-2.813708
TD1 1JE,55.61639,-2.812516
TD1 1JF,55.61543,-2.814894
TD1 1JG,55.61436,-2.815761
TD1 1JH,55.61344,-2.820012
TD1 1JJ,55.61276,-2.820125
TD1 1JL,55.61342,-2.822028
TD1 1JN,55.61348,-2.822553
TD1 1JP,55.61417,-2.818932
TD1 1JQ,55.61361,-2.819476
TD1 1JR,55.61475,-2.819166
TD1 1JS,55.61463,-2.818259
TD1 1JT,55.6146,-2.817131
TD1 1JU,55.61453,-2.816367
TD1 1JW,55.61417,-2.818392
TD1 1JX,55.6155,-2.816562
TD1 1JY,55.61576,-2.819251
TD1 1JZ,55.61546,-2.819149
TD1 1LA,55.61589,-2.820428
TD1 1LB,55.61559,-2.821137
TD1 1LD,55.61551,-2.821992
TD1 1LJ,55.61712,-2.824344
TD1 1LL,55.61608,-2.815511
TD1 1LN,55.61591,-2.81619
TD1 1LP,55.61671,-2.820985
TD1 1LQ,55.61748,-2.822907
TD1 1LR,55.61599,-2.82559
TD1 1LS,55.61671,-2.822716
TD1 1LT,55.61619,-2.823864
TD1 1LU,55.61676,-2.819542
TD1 1LW,55.61609,-2.818575
TD1 1LX,55.6169,-2.818068
TD1 1LY,55.61741,-2.819793
TD1 1LZ,55.61759,-2.821559
TD1 1NA,55.61847,-2.821975
TD1 1NB,55.62015,-2.823646
TD1 1ND,55.61958,-2.822316
TD1 1NE,55.61947,-2.822853
TD1 1NF,55.61792,-2.819534
TD1 1NG,55.61846,-2.817354
TD1 1NH,55.61851,-2.816434
TD1 1NJ,55.61934,-2.81715
TD1 1NL,55.61944,-2.816247
TD1 1NN,55.61758,-2.817542
TD1 1NP,55.61992,-2.825324
TD1 1NQ,55.61872,-2.816042
TD1 1NR,55.62126,-2.826432
TD1 1NS,55.61958,-2.820775
TD1 1NU,55.61943,-2.812674
TD1 1NW,55.62202,-2.825495
TD1 1NX,55.61827,-2.818589
TD1 1NY,55.61906,-2.812714
TD1 1NZ,55.61936,-2.813197
TD1 1PA,55.61984,-2.814461
TD1 1PB,55.61847,-2.812782
TD1 1PD,55.62117,-2.814664
TD1 1PE,55.61822,-2.813189
TD1 1PF,55.61871,-2.812882
TD1 1PG,55.61896,-2.813998
TD1 1PH,55.61905,-2.813079
TD1 1PJ,55.61925,-2.81437
TD1 1PL,55.62126,-2.816476
TD1 1PN,55.61972,-2.814491
TD1 1PP,55.62088,-2.81804
TD1 1PQ,55.61871,-2.814359
TD1 1PR,55.62091,-2.817818
TD1 1PS,55.62249,-2.819661
TD1 1PT,55.62249,-2.819661
TD1 1PU,55.62265,-2.822205
TD1 1PW,55.62152,-2.81745
TD1 1PX,55.62313,-2.823295
TD1 1PY,55.62261,-2.818679
TD1 1PZ,55.62339,-2.822094
TD1 1QA,55.62207,-2.821383
TD1 1QB,55.62122,-2.820746
TD1 1QD,55.62128,-2.82097
TD1 1QE,55.62149,-2.820276
TD1 1QF,55.62202,-2.820969
TD1 1QG,55.62123,-2.818682
TD1 1QH,55.62157,-2.820499
TD1 1QJ,55.62097,-2.815755
TD1 1QL,55.6205,-2.816746
TD1 1QN,55.6198,-2.81165
TD1 1QP,55.62389,-2.824232
TD1 1QQ,55.62157,-2.820579
TD1 1QR,55.62371,-2.825324
TD1 1QS,55.62574,-2.828432
TD1 1QT,55.62465,-2.829504
TD1 1QU,55.62448,-2.827055
TD1 1QW,55.62506,-2.828084
TD1 1QX,55.62458,-2.828741
TD1 1QY,55.62603,-2.832059
TD1 1QZ,55.62527,-2.830947
TD1 1RA,55.62317,-2.826011
TD1 1RB,55.62696,-2.836049
