PCDS,LAT,LONG
TF1 1AA,52.6998,-2.519838
TF1 1AB,52.69915,-2.520837
TF1 1AD,52.69716,-2.519511
TF1 1AE,52.70315,-2.520011
TF1 1AF,52.70279,-2.52017
TF1 1AG,52.70236,-2.519632
TF1 1AH,52.70269,-2.518126
TF1 1AJ,52.69955,-2.519421
TF1 1AL,52.70271,-2.51752
TF1 1AN,52.7025,-2.51731
TF1 1AP,52.70243,-2.517768
TF1 1AQ,52.69971,-2.514998
TF1 1AR,52.69934,-2.510022
TF1 1AU,52.69893,-2.513361
TF1 1AW,52.69822,-2.513338
TF1 1AX,52.69853,-2.509953
TF1 1BA,52.69967,-2.520443
TF1 1BB,52.69915,-2.520837
TF1 1BD,52.69981,-2.51901
TF1 1BE,52.70012,-2.518998
TF1 1BH,52.69915,-2.520837
TF1 1BJ,52.70051,-2.518722
TF1 1BN,52.70128,-2.522446
TF1 1BP,52.70114,-2.518818
TF1 1BS,52.70004,-2.522327
TF1 1BT,52.70005,-2.519368
TF1 1BU,52.70103,-2.518314
TF1 1BW,52.70076,-2.518784
TF1 1BX,52.70173,-2.519195
TF1 1BY,52.70119,-2.517605
TF1 1BZ,52.70121,-2.518553
TF1 1DA,52.70313,-2.518664
TF1 1DB,52.7008,-2.518489
TF1 1DD,52.70185,-2.519256
TF1 1DE,52.70183,-2.519359
TF1 1DF,52.70185,-2.519389
TF1 1DG,52.70241,-2.518596
TF1 1DH,52.70185,-2.519389
TF1 1DJ,52.70185,-2.519389
TF1 1DL,52.70185,-2.519389
TF1 1DN,52.70224,-2.518254
TF1 1DP,52.70275,-2.5194
TF1 1DQ,52.70221,-2.518846
TF1 1DR,52.70292,-2.518543
TF1 1DS,52.70308,-2.518308
TF1 1DT,52.70093,-2.519881
TF1 1DU,52.70208,-2.518977
TF1 1DX,52.70004,-2.520847
TF1 1DY,52.70094,-2.520858
TF1 1DZ,52.70019,-2.520834
TF1 1EA,52.70225,-2.522309
TF1 1EB,52.70171,-2.52174
TF1 1ED,52.6999,-2.520786
TF1 1EE,52.70191,-2.519271
TF1 1EF,52.70093,-2.523818
TF1 1EG,52.70177,-2.521149
TF1 1EH,52.70244,-2.521113
TF1 1EJ,52.70179,-2.519832
TF1 1EL,52.703,-2.520601
TF1 1EN,52.70244,-2.520521
TF1 1EP,52.70311,-2.52084
TF1 1EQ,52.70184,-2.522349
TF1 1ER,52.70233,-2.51975
TF1 1ES,52.70261,-2.520478
TF1 1ET,52.70295,-2.517537
TF1 1EU,52.70161,-2.519756
TF1 1EW,52.70242,-2.520535
TF1 1EX,52.70275,-2.51792
TF1 1EY,52.70325,-2.517763
TF1 1EZ,52.70338,-2.517454
TF1 1HA,52.70342,-2.519008
TF1 1HB,52.70329,-2.5213
TF1 1HD,52.70274,-2.52088
TF1 1HE,52.69929,-2.51779
TF1 1HF,52.69983,-2.519039
TF1 1HG,52.7009,-2.5192
TF1 1HH,52.70006,-2.517888
TF1 1HJ,52.69973,-2.517706
TF1 1HL,52.69807,-2.517628
TF1 1HN,52.69825,-2.519346
TF1 1HP,52.69826,-2.517867
TF1 1HQ,52.70135,-2.519132
TF1 1HR,52.69732,-2.517737
TF1 1HS,52.69736,-2.516524
TF1 1HT,52.69623,-2.516614
TF1 1HU,52.69705,-2.514641
TF1 1HW,52.69845,-2.517011
TF1 1HX,52.69598,-2.513918
TF1 1HY,52.69579,-2.514375
TF1 1HZ,52.69607,-2.514881
TF1 1JA,52.69681,-2.512863
TF1 1JB,52.69592,-2.512571
TF1 1JD,52.69613,-2.511449
TF1 1JE,52.69611,-2.510813
TF1 1JF,52.69667,-2.510153
TF1 1JG,52.69635,-2.508995
TF1 1JH,52.69757,-2.512413
TF1 1JJ,52.69813,-2.513026
TF1 1JL,52.69839,-2.512807
TF1 1JN,52.69889,-2.513775
TF1 1JP,52.69886,-2.51518
TF1 1JQ,52.69595,-2.509109
TF1 1JR,52.69964,-2.513236
TF1 1JS,52.69988,-2.513239
TF1 1JT,52.69895,-2.512799
TF1 1JU,52.6978,-2.51098
TF1 1JW,52.69949,-2.514182
TF1 1JX,52.69714,-2.511698
TF1 1JY,52.6978,-2.513022
TF1 1JZ,52.69884,-2.514588
TF1 1LA,52.69827,-2.516387
TF1 1LB,52.69827,-2.516387
TF1 1LD,52.69999,-2.519914
TF1 1LE,52.69733,-2.513046
TF1 1LF,52.69827,-2.516387
TF1 1LG,52.69873,-2.516895
TF1 1LH,52.69807,-2.513558
TF1 1LJ,52.6986,-2.513949
TF1 1LL,52.69913,-2.514163
TF1 1LN,52.69852,-2.51232
TF1 1LP,52.70052,-2.518234
TF1 1LQ,52.69797,-2.516487
TF1 1LR,52.70005,-2.519368
TF1 1LS,52.70048,-2.518056
TF1 1LT,52.69901,-2.516026
TF1 1LU,52.70063,-2.516814
TF1 1LW,52.69831,-2.510986
TF1 1LX,52.69995,-2.51873
TF1 1LY,52.70089,-2.51769
TF1 1LZ,52.69875,-2.511864
TF1 1NA,52.70006,-2.517888
TF1 1NB,52.70006,-2.517888
TF1 1ND,52.70027,-2.517284
TF1 1NE,52.70037,-2.516915
TF1 1NF,52.69862,-2.524086
TF1 1NG,52.70006,-2.517888
TF1 1NH,52.70084,-2.514449
TF1 1NJ,52.70088,-2.513058
TF1 1NL,52.70152,-2.513717
TF1 1NN,52.70044,-2.513275
TF1 1NP,52.70012,-2.513286
TF1 1NQ,52.69929,-2.514623
TF1 1NR,52.7006,-2.512478
TF1 1NS,52.70167,-2.513541
TF1 1NT,52.69658,-2.502561
TF1 1NU,52.70036,-2.511647
TF1 1NW,52.70015,-2.515965
TF1 1NX,52.69983,-2.511093
TF1 1NY,52.69859,-2.509924
TF1 1NZ,52.69962,-2.511564
TF1 1PA,52.69857,-2.511256
TF1 1PB,52.70002,-2.51108
TF1 1PD,52.70034,-2.510758
TF1 1PE,52.69981,-2.509198
TF1 1PF,52.69816,-2.506826
TF1 1PG,52.6974,-2.504761
TF1 1PH,52.69794,-2.502621
