PCDS,LAT,LONG
TN1 1AA,51.1293,0.260963
TN1 1AB,51.12827,0.261026
TN1 1AD,51.13279,0.260389
TN1 1AG,51.13319,0.261753
TN1 1AL,51.13261,0.26404
TN1 1AQ,51.19012,0.287025
TN1 1AW,51.13319,0.264011
TN1 1AX,51.1293,0.260963
TN1 1AY,51.1293,0.260963
TN1 1AZ,51.13,0.262869
TN1 1BA,51.132,0.261094
TN1 1BB,51.132,0.261094
TN1 1BD,51.15611,0.285498
TN1 1BE,51.1343,0.262579
TN1 1BF,51.1287,0.261691
TN1 1BG,51.13,0.262869
TN1 1BH,51.12899,0.261933
TN1 1BJ,51.12899,0.261919
TN1 1BL,51.12914,0.264113
TN1 1BN,51.1292,0.266532
TN1 1BP,51.12944,0.261755
TN1 1BQ,51.12962,0.261321
TN1 1BS,51.12945,0.262256
TN1 1BT,51.13022,0.262851
TN1 1BW,51.12748,0.262303
TN1 1BX,51.12851,0.26131
TN1 1BY,51.12841,0.260919
TN1 1DA,51.12788,0.260407
TN1 1DB,51.12822,0.260967
TN1 1DD,51.12709,0.259811
TN1 1DE,51.12749,0.259516
TN1 1DF,51.12664,0.259403
TN1 1DG,51.1273,0.259907
TN1 1DH,51.12695,0.259561
TN1 1DJ,51.12995,0.260894
TN1 1DL,51.12971,0.26084
TN1 1DN,51.12991,0.260335
TN1 1DP,51.1299,0.260234
TN1 1DQ,51.12712,0.25987
TN1 1DR,51.13074,0.259132
TN1 1DS,51.13074,0.259132
TN1 1DT,51.13101,0.259259
TN1 1DU,51.13203,0.259666
TN1 1DW,51.12933,0.259535
TN1 1DX,51.13304,0.260016
TN1 1DY,51.13356,0.260098
TN1 1DZ,51.13406,0.260466
TN1 1EA,51.13445,0.260642
TN1 1EB,51.12825,0.260168
TN1 1ED,51.13507,0.260787
TN1 1EE,51.13499,0.262526
TN1 1EG,51.13504,0.262258
TN1 1EH,51.13015,0.261561
TN1 1EJ,51.13469,0.261226
TN1 1EN,51.13469,0.261411
TN1 1EP,51.12926,0.267549
TN1 1EQ,51.12939,0.256679
TN1 1ER,51.13224,0.260977
TN1 1ES,51.13441,0.261641
TN1 1ET,51.13451,0.262632
TN1 1EU,51.13649,0.261314
TN1 1EX,51.13649,0.261314
TN1 1EY,51.13539,0.262017
TN1 1EZ,51.13524,0.261667
TN1 1FT,51.15611,0.285498
TN1 1FW,51.13,0.262869
