PCDS,LAT,LONG
TQ1 1AA,50.46471,-3.526386
TQ1 1AD,50.46309,-3.527221
TQ1 1AE,50.46828,-3.520554
TQ1 1AF,50.46471,-3.526386
TQ1 1AG,50.46302,-3.525655
TQ1 1AH,50.46135,-3.51857
TQ1 1AJ,50.46345,-3.522541
TQ1 1AL,50.46375,-3.522114
TQ1 1AN,50.4649,-3.511921
TQ1 1AP,50.46271,-3.518854
TQ1 1AQ,50.46635,-3.52534
TQ1 1AR,50.46614,-3.518019
TQ1 1BA,50.46352,-3.526249
TQ1 1BB,50.46497,-3.526493
TQ1 1BD,50.48477,-3.549699
TQ1 1BE,50.48477,-3.549699
TQ1 1BG,50.46339,-3.526146
TQ1 1BH,50.46313,-3.524729
TQ1 1BJ,50.46265,-3.524699
TQ1 1BL,50.46296,-3.525033
TQ1 1BN,50.46263,-3.525234
TQ1 1BP,50.46263,-3.525234
TQ1 1BQ,50.46281,-3.524112
TQ1 1BS,50.46248,-3.525018
TQ1 1BT,50.46471,-3.526386
TQ1 1BU,50.46262,-3.525515
TQ1 1BW,50.4622,-3.525784
TQ1 1BX,50.46247,-3.525356
TQ1 1BY,50.46218,-3.527192
TQ1 1BZ,50.46385,-3.526964
TQ1 1DA,50.4636,-3.526477
TQ1 1DB,50.46323,-3.526268
TQ1 1DD,50.46195,-3.523958
TQ1 1DE,50.46198,-3.5241
TQ1 1DF,50.46132,-3.524346
TQ1 1DG,50.46132,-3.524346
TQ1 1DH,50.46132,-3.524346
TQ1 1DJ,50.48477,-3.549699
TQ1 1DL,50.46214,-3.524091
TQ1 1DN,50.46171,-3.520963
TQ1 1DP,50.46153,-3.52224
TQ1 1DR,50.46469,-3.526414
TQ1 1DS,50.46175,-3.520866
TQ1 1DT,50.46171,-3.520977
TQ1 1DU,50.46469,-3.526414
TQ1 1DW,50.46276,-3.520616
TQ1 1DY,50.46139,-3.520671
TQ1 1DZ,50.46138,-3.520755
TQ1 1EA,50.46042,-3.524318
TQ1 1EB,50.46147,-3.522322
TQ1 1ED,50.46107,-3.52245
TQ1 1EE,50.46471,-3.526386
TQ1 1EF,50.46048,-3.520093
TQ1 1EG,50.46148,-3.518321
TQ1 1EH,50.46125,-3.517102
TQ1 1EJ,50.46101,-3.52011
TQ1 1EL,50.46132,-3.524346
TQ1 1EN,50.46136,-3.52153
TQ1 1EP,50.46471,-3.526386
TQ1 1EQ,50.46244,-3.515957
TQ1 1ER,50.46571,-3.527644
TQ1 1ES,50.46553,-3.527427
TQ1 1ET,50.46622,-3.528534
TQ1 1EU,50.46637,-3.528327
TQ1 1EW,50.46048,-3.520093
TQ1 1EX,50.46488,-3.527279
TQ1 1EY,50.46531,-3.526588
TQ1 1EZ,50.46522,-3.525951
TQ1 1FA,50.46602,-3.528161
TQ1 1HA,50.46395,-3.52498
TQ1 1HB,50.46345,-3.523133
TQ1 1HD,50.4637,-3.521802
TQ1 1HE,50.46461,-3.520901
TQ1 1HF,50.46321,-3.519349
TQ1 1HG,50.46289,-3.517958
TQ1 1HH,50.46273,-3.517304
TQ1 1HJ,50.46342,-3.516946
TQ1 1HL,50.46378,-3.514717
TQ1 1HN,50.46411,-3.513403
TQ1 1HP,50.46666,-3.528746
TQ1 1HQ,50.46201,-3.519578
TQ1 1HR,50.46368,-3.524155
TQ1 1HS,50.46488,-3.527279
TQ1 1HT,50.47022,-3.526183
TQ1 1HU,50.47004,-3.526233
TQ1 1HW,50.46471,-3.510745
TQ1 1HX,50.47089,-3.526838
TQ1 1HY,50.47161,-3.527341
TQ1 1HZ,50.47076,-3.525636
TQ1 1JA,50.47074,-3.524494
TQ1 1JB,50.47031,-3.524636
TQ1 1JD,50.4703,-3.525382
TQ1 1JE,50.47132,-3.524696
TQ1 1JF,50.47048,-3.524486
TQ1 1JG,50.47074,-3.524058
TQ1 1JH,50.47073,-3.521633
TQ1 1JJ,50.47073,-3.518646
TQ1 1JL,50.47049,-3.519596
TQ1 1JN,50.47034,-3.51721
TQ1 1JP,50.47146,-3.518585
TQ1 1JQ,50.4707,-3.523633
TQ1 1JR,50.47146,-3.517739
TQ1 1JS,50.47179,-3.518144
TQ1 1JT,50.47206,-3.517293
TQ1 1JU,50.47121,-3.516885
TQ1 1JW,50.47066,-3.51722
TQ1 1JX,50.47143,-3.516019
TQ1 1JY,50.47057,-3.516499
TQ1 1JZ,50.46952,-3.517015
TQ1 1LA,50.47211,-3.524693
TQ1 1LB,50.47211,-3.524693
TQ1 1LD,50.47125,-3.521847
TQ1 1LE,50.4696,-3.519539
TQ1 1LF,50.46937,-3.519152
TQ1 1LG,50.47168,-3.526258
TQ1 1LH,50.47137,-3.526008
TQ1 1LJ,50.4713,-3.524357
TQ1 1LL,50.47144,-3.522403
TQ1 1LN,50.47126,-3.521326
TQ1 1LP,50.4721,-3.522213
TQ1 1LQ,50.47093,-3.52622
TQ1 1LR,50.47241,-3.524618
TQ1 1LS,50.47286,-3.52476
TQ1 1LT,50.47275,-3.523812
TQ1 1LU,50.47248,-3.521098
TQ1 1LW,50.47237,-3.51953
TQ1 1LX,50.47272,-3.521711
TQ1 1LY,50.47341,-3.519859
TQ1 1LZ,50.47277,-3.519275
TQ1 1NA,50.47348,-3.520777
TQ1 1NB,50.47404,-3.522036
TQ1 1ND,50.47396,-3.520694
TQ1 1NE,50.47354,-3.522343
TQ1 1NF,50.47315,-3.523599
TQ1 1NG,50.473,-3.521213
TQ1 1NL,50.46925,-3.526546
TQ1 1NN,50.4693,-3.526125
TQ1 1NP,50.47021,-3.524985
TQ1 1NR,50.46945,-3.525749
TQ1 1NS,50.46914,-3.52519
TQ1 1NT,50.46848,-3.526324
TQ1 1NU,50.46798,-3.525392
TQ1 1NW,50.46997,-3.524935
TQ1 1NX,50.46849,-3.525366
TQ1 1NY,50.46948,-3.524186
TQ1 1NZ,50.46977,-3.523589
TQ1 1PA,50.4702,-3.523068
TQ1 1PB,50.46898,-3.523494
TQ1 1PD,50.469,-3.523043
TQ1 1PE,50.47008,-3.521077
TQ1 1PF,50.46985,-3.521013
TQ1 1PG,50.46995,-3.518719
