PCDS,LAT,LONG
TR1 1AA,50.25527,-5.046154
TR1 1AB,50.27385,-5.036784
TR1 1AD,50.26407,-5.047571
TR1 1AE,50.27265,-5.034967
TR1 1AF,50.271,-5.034385
TR1 1AG,50.2675,-5.032914
TR1 1AH,50.26899,-5.034637
TR1 1AJ,50.26928,-5.034009
TR1 1AL,50.25896,-5.043498
TR1 1AN,50.26723,-5.03329
TR1 1AP,50.26611,-5.033864
TR1 1AQ,50.26542,-5.032697
TR1 1AR,50.26828,-5.032879
TR1 1AS,50.26753,-5.039133
TR1 1AT,50.2677,-5.031622
TR1 1AU,50.26596,-5.0345
TR1 1AW,50.26573,-5.033629
TR1 1AX,50.25825,-5.044674
TR1 1AY,50.27308,-5.046055
TR1 1AZ,50.25824,-5.043845
TR1 1BA,50.26798,-5.047541
TR1 1BB,50.26799,-5.047036
TR1 1BD,50.25527,-5.046154
TR1 1BE,50.26926,-5.046247
TR1 1BG,50.27094,-5.044319
TR1 1BH,50.27039,-5.046403
TR1 1BJ,50.26921,-5.049051
TR1 1BL,50.27097,-5.046173
TR1 1BN,50.26978,-5.047388
TR1 1BP,50.27102,-5.047482
TR1 1BQ,50.27073,-5.045302
TR1 1BS,50.27049,-5.047771
TR1 1BT,50.26969,-5.049488
TR1 1BU,50.27143,-5.047326
TR1 1BW,50.27152,-5.045324
TR1 1BX,50.2703,-5.047057
TR1 1BY,50.27051,-5.048474
TR1 1BZ,50.26992,-5.050303
TR1 1DA,50.26889,-5.04997
TR1 1DB,50.26838,-5.051075
TR1 1DD,50.26789,-5.051015
TR1 1DE,50.26733,-5.051513
TR1 1DF,50.26621,-5.05196
TR1 1DG,50.26652,-5.052443
TR1 1DH,50.26101,-5.04579
TR1 1DJ,50.25089,-5.045299
TR1 1DL,50.26807,-5.048978
TR1 1DN,50.26751,-5.050696
TR1 1DP,50.2656,-5.054209
TR1 1DQ,50.26534,-5.052368
TR1 1DR,50.26693,-5.051796
TR1 1DS,50.26691,-5.050447
TR1 1DT,50.26574,-5.052955
TR1 1DU,50.26546,-5.054818
TR1 1DW,50.26632,-5.053413
TR1 1DX,50.26213,-5.05191
TR1 1DY,50.26723,-5.051268
TR1 1DZ,50.26279,-5.04909
TR1 1EA,50.26546,-5.054818
TR1 1EB,50.2656,-5.054209
TR1 1ED,50.26488,-5.047736
TR1 1EE,50.26463,-5.047565
TR1 1EF,50.26445,-5.04862
TR1 1EG,50.26736,-5.051964
TR1 1EH,50.26509,-5.049405
TR1 1EJ,50.26521,-5.049132
TR1 1EL,50.2655,-5.049375
TR1 1EN,50.26489,-5.048466
TR1 1EP,50.26479,-5.051589
TR1 1EQ,50.26489,-5.049588
TR1 1ER,50.26414,-5.048474
TR1 1ES,50.26516,-5.048146
TR1 1ET,50.26499,-5.050718
TR1 1EU,50.2649,-5.050263
TR1 1EW,50.26498,-5.048079
TR1 1EX,50.26474,-5.049831
TR1 1EY,50.26515,-5.050279
TR1 1EZ,50.26529,-5.049796
TR1 1FA,50.26747,-5.036407
TR1 1FB,50.27339,-5.03552
TR1 1FD,50.26551,-5.041334
TR1 1FE,50.27359,-5.035912
TR1 1FF,50.26294,-5.034069
TR1 1FG,50.27194,-5.04792
TR1 1FH,50.26321,-5.046113
TR1 1FJ,50.26321,-5.046113
TR1 1FL,50.26333,-5.044535
TR1 1FN,50.25527,-5.046154
TR1 1FP,50.26799,-5.034742
TR1 1FQ,50.27322,-5.037025
TR1 1FR,50.27325,-5.036199
TR1 1FS,50.26526,-5.03642
TR1 1FT,50.26526,-5.03642
TR1 1FU,50.26526,-5.03642
TR1 1FW,50.26526,-5.03642
TR1 1FX,50.26538,-5.037789
TR1 1FY,50.27286,-5.044203
TR1 1FZ,50.26573,-5.041727
TR1 1GA,50.2655,-5.041333
TR1 1GB,50.2644,-5.047775
TR1 1GD,50.26403,-5.048972
TR1 1GE,50.26844,-5.033816
TR1 1GF,50.26403,-5.048972
TR1 1GG,50.26403,-5.048972
TR1 1GH,50.27253,-5.037599
TR1 1GJ,50.26441,-5.047804
TR1 1GL,50.26544,-5.041779
TR1 1GN,50.26403,-5.048972
TR1 1GP,50.26521,-5.046381
TR1 1GQ,50.26541,-5.050295
TR1 1GR,50.2655,-5.042807
TR1 1GS,50.24414,-5.026435
TR1 1GT,50.2656,-5.054209
TR1 1GU,50.2682,-5.039737
TR1 1GW,50.26368,-5.045203
TR1 1GX,50.26767,-5.051815
TR1 1GY,50.26624,-5.051036
TR1 1GZ,50.26624,-5.051036
TR1 1HA,50.26566,-5.050732
TR1 1HB,50.26557,-5.049899
TR1 1HD,50.26628,-5.050084
TR1 1HE,50.26635,-5.050608
TR1 1HF,50.26648,-5.050728
TR1 1HG,50.26564,-5.048822
TR1 1HH,50.26594,-5.048645
TR1 1HJ,50.2662,-5.049405
TR1 1HL,50.26634,-5.049485
TR1 1HN,50.26674,-5.049721
TR1 1HP,50.26601,-5.047414
TR1 1HQ,50.26563,-5.047516
TR1 1HR,50.26654,-5.048094
TR1 1HS,50.26683,-5.047593
TR1 1HT,50.26701,-5.049205
TR1 1HU,50.26681,-5.048939
TR1 1HW,50.26625,-5.048356
TR1 1HX,50.26724,-5.04776
TR1 1HY,50.26744,-5.046987
TR1 1HZ,50.26831,-5.044067
TR1 1JA,50.26774,-5.04615
TR1 1JB,50.26736,-5.045368
TR1 1JD,50.26665,-5.046276
TR1 1JE,50.2663,-5.046465
TR1 1JF,50.26643,-5.04695
TR1 1JG,50.26712,-5.044861
TR1 1JH,50.2649,-5.052663
TR1 1JJ,50.26566,-5.044937
TR1 1JL,50.26452,-5.045832
TR1 1JN,50.26477,-5.046451
TR1 1JP,50.26815,-5.044955
TR1 1JQ,50.27234,-5.060044
TR1 1JR,50.26453,-5.047138
TR1 1JS,50.2649,-5.047218
TR1 1JT,50.26517,-5.047052
TR1 1JU,50.2655,-5.045529
TR1 1JW,50.26485,-5.046863
TR1 1JX,50.26836,-5.045656
TR1 1JY,50.26594,-5.044884
TR1 1JZ,50.2655,-5.042807
TR1 1LA,50.26623,-5.041745
TR1 1LB,50.26701,-5.039675
TR1 1LD,50.26788,-5.037458
TR1 1LE,50.26915,-5.036892
TR1 1LF,50.2664,-5.040732
TR1 1LG,50.26663,-5.040072
TR1 1LH,50.2662,-5.036985
TR1 1LJ,50.26594,-5.036576
TR1 1LL,50.2657,-5.038497
TR1 1LN,50.26595,-5.040842
TR1 1LP,50.26551,-5.040029
TR1 1LQ,50.26632,-5.03907
TR1 1LR,50.26661,-5.038289
TR1 1LS,50.26542,-5.046928
TR1 1LT,50.271,-5.03607
TR1 1LU,50.27026,-5.037623
TR1 1LW,50.26585,-5.039405
TR1 1LX,50.26985,-5.037695
TR1 1LY,50.27082,-5.038641
TR1 1LZ,50.27045,-5.039712
TR1 1NA,50.27098,-5.040588
TR1 1NB,50.27087,-5.034461
TR1 1ND,50.27037,-5.041069
TR1 1NE,50.26949,-5.042079
TR1 1NF,50.27091,-5.042254
TR1 1NG,50.27003,-5.040162
TR1 1NH,50.2693,-5.038165
TR1 1NJ,50.26889,-5.041142
TR1 1NL,50.26825,-5.043277
TR1 1NN,50.26686,-5.042206
TR1 1NP,50.25527,-5.046154
TR1 1NQ,50.26949,-5.040156
TR1 1NR,50.26698,-5.043659
TR1 1NS,50.26833,-5.042201
TR1 1NT,50.26223,-5.040003
TR1 1NU,50.26223,-5.03648
TR1 1NW,50.26742,-5.041245
TR1 1NX,50.26181,-5.036046
TR1 1NY,50.26326,-5.03496
TR1 1NZ,50.26281,-5.038411
TR1 1PA,50.26345,-5.039477
TR1 1PB,50.26306,-5.039929
TR1 1PD,50.26286,-5.037222
TR1 1PE,50.26502,-5.041134
TR1 1PF,50.26468,-5.03905
TR1 1PG,50.26379,-5.037407
TR1 1PH,50.26378,-5.038137
TR1 1PJ,50.26452,-5.036528
TR1 1PL,50.26431,-5.03744
TR1 1PN,50.26527,-5.039634
TR1 1PP,50.26474,-5.038211
TR1 1PQ,50.26451,-5.040204
TR1 1PR,50.26508,-5.039272
TR1 1PS,50.26525,-5.042076
TR1 1PT,50.26041,-5.045668
TR1 1PU,50.26476,-5.045356
TR1 1PW,50.26446,-5.037127
TR1 1PX,50.26406,-5.045059
TR1 1PY,50.26375,-5.045152
TR1 1PZ,50.26722,-5.044222
TR1 1QA,50.26081,-5.045652
TR1 1QB,50.26307,-5.045304
TR1 1QD,50.26286,-5.046161
TR1 1QE,50.26183,-5.04545
TR1 1QF,50.26572,-5.100192
TR1 1QG,50.26227,-5.047457
TR1 1QH,50.2621,-5.046505
TR1 1QJ,50.25827,-5.044591
TR1 1QL,50.25769,-5.043937
TR1 1QN,50.25669,-5.042386
TR1 1QP,50.25699,-5.041479
TR1 1QQ,50.25974,-5.044713
TR1 1QR,50.25627,-5.040577
TR1 1QS,50.25608,-5.039134
TR1 1QT,50.25495,-5.040114
TR1 1QU,50.26544,-5.041779
TR1 1QW,50.25569,-5.040849
TR1 1QX,50.26859,-5.036015
TR1 1QY,50.25957,-5.047803
TR1 1QZ,50.25746,-5.042463
TR1 1RA,50.27449,-5.042229
TR1 1RB,50.27431,-5.041418
TR1 1RD,50.27256,-5.041208
TR1 1RE,50.2731,-5.039558
TR1 1RF,50.2738,-5.039378
TR1 1RG,50.27315,-5.04133
TR1 1RH,50.27243,-5.03581
TR1 1RJ,50.27219,-5.037914
TR1 1RL,50.26773,-5.041433
TR1 1RN,50.27178,-5.034084
TR1 1RP,50.27146,-5.043327
TR1 1RQ,50.27263,-5.039023
TR1 1RR,50.27051,-5.043435
TR1 1RS,50.2734,-5.040363
TR1 1RT,50.27438,-5.040706
TR1 1RU,50.27082,-5.042964
TR1 1RW,50.27183,-5.040951
TR1 1RX,50.26875,-5.041891
TR1 1RY,50.26937,-5.042633
TR1 1RZ,50.2694,-5.04314
TR1 1SA,50.27153,-5.039318
TR1 1SB,50.27222,-5.0332
TR1 1SD,50.27153,-5.04176
TR1 1SE,50.26394,-5.047633
TR1 1SF,50.26419,-5.047397
TR1 1SG,50.25284,-5.036837
TR1 1SH,50.24445,-5.025642
TR1 1SJ,50.24424,-5.025642
TR1 1SL,50.24492,-5.024704
TR1 1SN,50.24537,-5.024101
TR1 1SP,50.24614,-5.023757
TR1 1SQ,50.24377,-5.027591
TR1 1SR,50.2467,-5.023568
TR1 1SS,50.24771,-5.022398
TR1 1ST,50.24364,-5.026264
TR1 1SU,50.25667,-5.035888
TR1 1SW,50.24583,-5.024228
TR1 1SX,50.25477,-5.029986
TR1 1SY,50.2604,-5.020619
TR1 1SZ,50.25565,-5.017133
TR1 1TA,50.26162,-5.029172
TR1 1TB,50.265,-5.029359
TR1 1TD,50.27066,-5.023711
TR1 1TE,50.2705,-5.009736
TR1 1TF,50.27241,-5.030559
TR1 1TG,50.27828,-5.022439
TR1 1TH,50.2608,-5.042788
TR1 1TJ,50.26438,-5.041879
TR1 1TL,50.26271,-5.038111
TR1 1TN,50.26699,-5.02992
TR1 1TP,50.26616,-5.031046
TR1 1TQ,50.28006,-5.040984
TR1 1TR,50.2706,-5.051568
