PCDS,LAT,LONG
TS1 1AA,54.57587,-1.244956
TS1 1AB,54.57587,-1.244956
TS1 1AD,54.57748,-1.234855
TS1 1AE,54.57674,-1.230491
TS1 1AF,54.57681,-1.239818
TS1 1AH,54.57731,-1.235756
TS1 1AN,54.57586,-1.244957
TS1 1AZ,54.57587,-1.244956
TS1 1BA,54.57722,-1.235618
TS1 1DA,54.57903,-1.23314
TS1 1DB,54.57829,-1.232241
TS1 1DD,54.5782,-1.234192
TS1 1DE,54.57867,-1.233487
TS1 1DF,54.5788,-1.232046
TS1 1DG,54.5782,-1.234192
TS1 1DH,54.5782,-1.234192
TS1 1DL,54.5782,-1.234192
TS1 1DN,54.57863,-1.232823
TS1 1DP,54.57867,-1.233564
TS1 1DQ,54.5782,-1.234192
TS1 1DR,54.57901,-1.233635
TS1 1DS,54.5782,-1.234192
TS1 1DU,54.57731,-1.235756
TS1 1DW,54.5787,-1.233579
TS1 1DX,54.5782,-1.234192
TS1 1EA,54.57821,-1.235739
TS1 1EB,54.57821,-1.235739
TS1 1EE,54.57821,-1.235739
TS1 1EG,54.57896,-1.234936
TS1 1EH,54.57857,-1.235222
TS1 1EL,54.57587,-1.244956
TS1 1EP,54.57846,-1.234435
TS1 1EQ,54.57821,-1.235739
TS1 1EX,54.57637,-1.229585
TS1 1EY,54.57819,-1.232645
TS1 1EZ,54.57819,-1.232645
TS1 1GA,54.57586,-1.244957
TS1 1HA,54.57654,-1.230603
TS1 1HB,54.57639,-1.232679
TS1 1HD,54.57656,-1.23068
TS1 1HE,54.57731,-1.235756
TS1 1HF,54.57729,-1.232662
TS1 1HG,54.57814,-1.231996
TS1 1HJ,54.57819,-1.232645
TS1 1HL,54.57857,-1.231834
TS1 1HP,54.57641,-1.235773
TS1 1HQ,54.57818,-1.231098
TS1 1HR,54.57702,-1.235313
TS1 1HS,54.57654,-1.235012
TS1 1HT,54.57764,-1.235255
TS1 1HU,54.57711,-1.235806
TS1 1HW,54.57641,-1.235773
TS1 1HX,54.57731,-1.235756
TS1 1HY,54.57722,-1.235618
TS1 1HZ,54.57651,-1.251241
TS1 1JA,54.57761,-1.235719
TS1 1JB,54.5764,-1.234226
TS1 1JD,54.57731,-1.235756
TS1 1JH,54.57676,-1.231465
TS1 1JJ,54.57728,-1.235246
TS1 1JL,54.57639,-1.232926
TS1 1JN,54.57819,-1.232645
TS1 1JP,54.57823,-1.230494
TS1 1JQ,54.57729,-1.232662
TS1 1JR,54.57727,-1.229568
TS1 1JS,54.577,-1.233101
TS1 1JT,54.57695,-1.233597
TS1 1JU,54.57726,-1.23356
TS1 1JW,54.57819,-1.232645
TS1 1JX,54.57746,-1.232906
TS1 1JY,54.57708,-1.232666
TS1 1JZ,54.57702,-1.232389
TS1 1LA,54.57668,-1.240904
TS1 1LB,54.57667,-1.239945
TS1 1LD,54.57645,-1.24196
TS1 1LE,54.57664,-1.238104
TS1 1LF,54.57672,-1.237329
TS1 1LG,54.57622,-1.231274
TS1 1LH,54.57622,-1.231274
TS1 1LJ,54.57654,-1.235987
TS1 1LL,54.57622,-1.231274
TS1 1LN,54.57658,-1.235599
TS1 1LP,54.57654,-1.235012
TS1 1LR,54.57622,-1.231274
TS1 1LS,54.57622,-1.231274
TS1 1LT,54.57639,-1.232926
TS1 1LU,54.5755,-1.234243
TS1 1LW,54.57647,-1.235323
TS1 1LX,54.57549,-1.232696
TS1 1LY,54.57628,-1.231273
TS1 1LZ,54.57622,-1.231274
TS1 1NA,54.57618,-1.230548
TS1 1NB,54.57548,-1.231149
TS1 1NE,54.57641,-1.235773
TS1 1NF,54.57641,-1.235773
