PCDS,LAT,LONG
TW1 1AA,51.45012,-0.331333
TW1 1AE,51.45601,-0.336574
TW1 1AF,51.46451,-0.321566
TW1 1AG,51.45829,-0.339168
TW1 1AH,51.45758,-0.338215
TW1 1AJ,51.45777,-0.336596
TW1 1AL,51.45721,-0.337624
TW1 1AN,51.45773,-0.338915
TW1 1AP,51.45782,-0.340509
TW1 1AQ,51.45601,-0.336574
TW1 1AR,51.46367,-0.323597
TW1 1AS,51.45722,-0.325619
TW1 1AU,51.4558,-0.337733
TW1 1AW,51.44966,-0.333365
TW1 1AX,51.45004,-0.332084
TW1 1AY,51.45314,-0.333972
TW1 1AZ,51.45322,-0.331853
TW1 1BA,51.45287,-0.330902
TW1 1BB,51.44967,-0.332199
TW1 1BD,51.45031,-0.330649
TW1 1BE,51.45005,-0.331264
TW1 1BG,51.45039,-0.330575
TW1 1BH,51.45128,-0.333262
TW1 1BJ,51.45116,-0.33249
TW1 1BL,51.45105,-0.333285
TW1 1BN,51.45199,-0.332128
TW1 1BP,51.45234,-0.331151
TW1 1BQ,51.45601,-0.336574
TW1 1BS,51.45271,-0.334333
TW1 1BT,51.45222,-0.334408
TW1 1BU,51.45193,-0.334218
TW1 1BW,51.45135,-0.331965
TW1 1BX,51.45226,-0.332334
TW1 1BY,51.45259,-0.332581
TW1 1BZ,51.45332,-0.336211
TW1 1DA,51.45388,-0.334823
TW1 1DB,51.45478,-0.335222
TW1 1DD,51.45514,-0.335958
TW1 1DE,51.45497,-0.338166
TW1 1DF,51.45435,-0.338347
TW1 1DG,51.4559,-0.33878
TW1 1DH,51.45593,-0.337742
TW1 1DJ,51.45668,-0.326617
TW1 1DL,51.45638,-0.337337
TW1 1DN,51.45552,-0.336994
TW1 1DP,51.45589,-0.337571
TW1 1DQ,51.45636,-0.336532
TW1 1DR,51.45589,-0.337571
TW1 1DS,51.45637,-0.339209
TW1 1DT,51.45589,-0.337571
TW1 1DU,51.4571,-0.334072
TW1 1DW,51.45589,-0.337571
TW1 1DX,51.45595,-0.338692
TW1 1DY,51.45568,-0.33647
TW1 1DZ,51.45638,-0.339237
TW1 1EA,51.45288,-0.330412
TW1 1EB,51.45518,-0.328068
TW1 1ED,51.45007,-0.332256
TW1 1EE,51.45102,-0.331847
TW1 1EF,51.45163,-0.331076
TW1 1EG,51.45177,-0.33097
TW1 1EH,51.45309,-0.330476
TW1 1EJ,51.45435,-0.330344
TW1 1EL,51.45353,-0.331928
TW1 1EN,51.45445,-0.331938
TW1 1EP,51.45309,-0.330476
TW1 1EQ,51.45214,-0.33064
TW1 1ER,51.45523,-0.332543
TW1 1ES,51.45657,-0.330868
TW1 1ET,51.45646,-0.331361
TW1 1EU,51.45689,-0.330337
TW1 1EW,51.4547,-0.332447
TW1 1EX,51.45435,-0.329653
TW1 1EY,51.45449,-0.329705
TW1 1EZ,51.45318,-0.329336
TW1 1FA,51.44995,-0.33013
TW1 1FB,51.45033,-0.330246
TW1 1FD,51.45023,-0.330652
TW1 1FE,51.45035,-0.330778
TW1 1FF,51.45047,-0.329895
TW1 1FQ,51.45007,-0.332256
TW1 1GH,51.45007,-0.332256
TW1 1GW,51.45007,-0.332256
TW1 1HA,51.45288,-0.329491
TW1 1HB,51.45253,-0.329489
TW1 1HD,51.45165,-0.330385
TW1 1HE,51.45668,-0.326602
TW1 1HF,51.45488,-0.330411
TW1 1HG,51.4548,-0.329737
TW1 1HJ,51.45668,-0.326602
TW1 1HL,51.45668,-0.330345
TW1 1HN,51.45668,-0.330345
TW1 1HP,51.45163,-0.328774
TW1 1HQ,51.45578,-0.330378
TW1 1HR,51.45306,-0.327008
TW1 1HS,51.45338,-0.328091
TW1 1HT,51.45448,-0.328742
TW1 1HU,51.45554,-0.328703
TW1 1HW,51.45123,-0.329047
TW1 1HX,51.45695,-0.329544
TW1 1HY,51.45666,-0.328906
TW1 1HZ,51.45668,-0.330345
TW1 1JA,51.45732,-0.328954
TW1 1JB,51.45742,-0.32813
TW1 1JD,51.45642,-0.327922
TW1 1JE,51.45631,-0.326602
TW1 1JF,51.45631,-0.324961
TW1 1JG,51.45609,-0.32494
TW1 1JL,51.45754,-0.327435
TW1 1JN,51.45351,-0.323782
TW1 1JP,51.45529,-0.324163
TW1 1JQ,51.45675,-0.325405
TW1 1JR,51.45496,-0.324031
TW1 1JS,51.45368,-0.324913
TW1 1JT,51.45467,-0.324028
TW1 1JU,51.45438,-0.323837
TW1 1JW,51.45512,-0.325551
TW1 1JX,51.45378,-0.323743
TW1 1JY,51.45415,-0.323759
TW1 1JZ,51.45568,-0.323185
TW1 1LA,51.45447,-0.322236
TW1 1LB,51.45446,-0.322697
TW1 1LD,51.45488,-0.322768
TW1 1LE,51.45583,-0.322517
TW1 1LF,51.45607,-0.322969
TW1 1LG,51.45577,-0.324563
TW1 1LH,51.45545,-0.325957
TW1 1LJ,51.45732,-0.324103
TW1 1LQ,51.45555,-0.324441
TW1 1LR,51.45744,-0.323163
TW1 1LS,51.4566,-0.32459
TW1 1LT,51.45838,-0.323086
TW1 1LU,51.45824,-0.323062
TW1 1LW,51.45578,-0.330378
TW1 1LX,51.45753,-0.324902
TW1 1LY,51.45778,-0.32485
TW1 1LZ,51.45851,-0.324492
TW1 1NA,51.45893,-0.323857
TW1 1NB,51.4591,-0.323016
TW1 1ND,51.45972,-0.323008
TW1 1NE,51.4594,-0.323034
TW1 1NF,51.45901,-0.32479
TW1 1NG,51.45939,-0.32446
TW1 1NH,51.45969,-0.324564
TW1 1NJ,51.46032,-0.323043
TW1 1NL,51.45997,-0.322322
TW1 1NN,51.4606,-0.323235
TW1 1NP,51.4584,-0.322365
TW1 1NQ,51.45995,-0.324885
TW1 1NR,51.45838,-0.323086
TW1 1NS,51.45928,-0.323053
TW1 1NT,51.45928,-0.323053
TW1 1NW,51.45919,-0.322308
TW1 1NY,51.45928,-0.323053
TW1 1NZ,51.46239,-0.325588
TW1 1PA,51.46035,-0.324828
TW1 1PB,51.46062,-0.325048
TW1 1PD,51.46335,-0.324847
TW1 1PE,51.46148,-0.32611
TW1 1PF,51.46349,-0.324295
TW1 1PG,51.46228,-0.324267
TW1 1PH,51.46146,-0.325708
TW1 1PJ,51.46149,-0.324901
TW1 1PL,51.46152,-0.324511
TW1 1PN,51.46157,-0.323832
TW1 1PP,51.4641,-0.323509
TW1 1PQ,51.46261,-0.324629
TW1 1PR,51.46172,-0.323223
TW1 1PS,51.46452,-0.322875
TW1 1PT,51.46429,-0.321401
TW1 1PU,51.4622,-0.32273
TW1 1PW,51.46295,-0.32358
TW1 1PX,51.46236,-0.32163
TW1 1PY,51.46201,-0.322276
TW1 1PZ,51.46272,-0.320537
TW1 1QA,51.45007,-0.332256
TW1 1QB,51.46196,-0.32032
TW1 1QD,51.46254,-0.321047
TW1 1QE,51.463,-0.32224
TW1 1QF,51.46303,-0.322829
TW1 1QG,51.46335,-0.322313
TW1 1QH,51.45781,-0.321034
TW1 1QJ,51.45953,-0.321302
TW1 1QL,51.46076,-0.321573
TW1 1QN,51.46127,-0.321857
TW1 1QP,51.4581,-0.319713
TW1 1QQ,51.45771,-0.321901
TW1 1QR,51.45961,-0.318765
TW1 1QS,51.45959,-0.318176
TW1 1QT,51.46396,-0.322162
TW1 1QU,51.45886,-0.317181
TW1 1QW,51.45944,-0.320571
TW1 1QX,51.46074,-0.317529
TW1 1QY,51.46026,-0.317647
TW1 1QZ,51.46246,-0.318833
TW1 1RA,51.45637,-0.320223
TW1 1RB,51.45691,-0.322592
TW1 1RD,51.45644,-0.321631
TW1 1RE,51.45593,-0.321866
TW1 1RF,51.45601,-0.321474
TW1 1RG,51.45583,-0.320948
TW1 1RH,51.45516,-0.321376
TW1 1RJ,51.46497,-0.322499
TW1 1RL,51.45592,-0.320182
TW1 1RN,51.45462,-0.311709
TW1 1RP,51.45649,-0.319182
TW1 1RQ,51.45576,-0.319799
TW1 1RR,51.45667,-0.320615
TW1 1RS,51.45703,-0.321494
TW1 1RT,51.45712,-0.320685
TW1 1RU,51.45692,-0.319728
TW1 1RW,51.45636,-0.320756
TW1 1RX,51.45741,-0.317896
TW1 1RY,51.45769,-0.318937
TW1 1RZ,51.45007,-0.332256
TW1 1SB,51.45658,-0.323152
TW1 1SD,51.45871,-0.31589
TW1 1SE,51.45007,-0.332256
TW1 1SF,51.45658,-0.323152
TW1 1SG,51.45658,-0.323152
TW1 1SH,51.45658,-0.323152
TW1 1SJ,51.45658,-0.323152
TW1 1SL,51.45868,-0.315935
TW1 1SQ,51.45658,-0.323152
TW1 1TA,51.45658,-0.323152
TW1 1TB,51.45658,-0.323152
TW1 1TD,51.45668,-0.326617
TW1 1TE,51.45658,-0.323152
TW1 1TF,51.45007,-0.332256
TW1 1TG,51.45658,-0.323152
TW1 1TH,51.45658,-0.323152
TW1 1TJ,51.45668,-0.326617
TW1 1TL,51.45644,-0.327302
TW1 1TN,51.45668,-0.326617
TW1 1TP,51.45007,-0.332256
TW1 1TQ,51.45658,-0.323152
TW1 1TR,51.45644,-0.327302
TW1 1TS,51.45658,-0.323152
