PCDS,LAT,LONG
UB1 1AA,51.5075,-0.378462
UB1 1AB,51.5075,-0.378462
UB1 1AD,51.51089,-0.383703
UB1 1AE,51.5075,-0.378462
UB1 1AF,51.50682,-0.378948
UB1 1AG,51.50682,-0.378948
UB1 1AH,51.50682,-0.378948
UB1 1AL,51.50763,-0.387003
UB1 1AN,51.50682,-0.378948
UB1 1AP,51.51627,-0.384132
UB1 1AQ,51.50682,-0.378948
UB1 1AR,51.50682,-0.378948
UB1 1AS,51.51652,-0.383461
UB1 1AT,51.51528,-0.383504
UB1 1AU,51.51549,-0.385529
UB1 1AW,51.51512,-0.383957
UB1 1AX,51.51525,-0.385941
UB1 1AY,51.51536,-0.383012
UB1 1AZ,51.51559,-0.385122
UB1 1BA,51.50717,-0.379425
UB1 1BB,51.50684,-0.380388
UB1 1BD,51.50713,-0.379268
UB1 1BE,51.50697,-0.378712
UB1 1BF,51.516,-0.383349
UB1 1BG,51.51614,-0.383128
UB1 1BH,51.51622,-0.382995
UB1 1BJ,51.51697,-0.3833
UB1 1BL,51.50666,-0.379746
UB1 1BN,51.50661,-0.380238
UB1 1BP,51.50675,-0.380924
UB1 1BQ,51.50682,-0.378948
UB1 1BS,51.50732,-0.381596
UB1 1BT,51.5068,-0.382277
UB1 1BU,51.50749,-0.383132
UB1 1BW,51.5073,-0.380127
UB1 1BX,51.5069,-0.384709
UB1 1BY,51.50705,-0.383868
UB1 1BZ,51.50777,-0.384592
UB1 1DA,51.508,-0.38637
UB1 1DB,51.50823,-0.388265
UB1 1DD,51.50847,-0.390302
UB1 1DE,51.50965,-0.39039
UB1 1DF,51.50954,-0.389976
UB1 1DG,51.50999,-0.389125
UB1 1DH,51.51168,-0.388143
UB1 1DJ,51.50982,-0.388727
UB1 1DL,51.5075,-0.378462
UB1 1DN,51.5075,-0.378462
UB1 1DP,51.508,-0.379641
UB1 1DQ,51.51188,-0.388539
UB1 1DR,51.50772,-0.382994
UB1 1DS,51.50792,-0.383866
UB1 1DT,51.5075,-0.378462
UB1 1DU,51.50822,-0.386132
UB1 1DW,51.50751,-0.379269
UB1 1DX,51.5085,-0.387995
UB1 1DY,51.5075,-0.378462
UB1 1DZ,51.50861,-0.388842
UB1 1EA,51.50875,-0.389889
UB1 1EB,51.50886,-0.390836
UB1 1ED,51.50935,-0.388268
UB1 1EE,51.5104,-0.387943
UB1 1EF,51.51154,-0.387586
UB1 1EG,51.51144,-0.387431
UB1 1EH,51.51099,-0.387375
UB1 1EJ,51.50966,-0.387767
UB1 1EL,51.50896,-0.387374
UB1 1EN,51.51008,-0.387017
UB1 1EP,51.51145,-0.386205
UB1 1EQ,51.51178,-0.387131
UB1 1ER,51.51009,-0.386628
UB1 1ES,51.5089,-0.387001
UB1 1ET,51.50859,-0.386465
UB1 1EU,51.51005,-0.386024
UB1 1EW,51.51144,-0.386595
UB1 1EX,51.51134,-0.385604
UB1 1EY,51.51201,-0.385378
UB1 1EZ,51.5075,-0.378462
UB1 1FA,51.5075,-0.378462
UB1 1FB,51.5075,-0.378462
UB1 1FD,51.5075,-0.378462
UB1 1FE,51.5075,-0.378462
UB1 1FF,51.5075,-0.378462
UB1 1FG,51.50751,-0.38597
UB1 1FH,51.50732,-0.385155
UB1 1FJ,51.50717,-0.385982
UB1 1FL,51.50727,-0.386641
UB1 1FN,51.50732,-0.387115
UB1 1FP,51.507,-0.387588
UB1 1FQ,51.5069,-0.387058
UB1 1FR,51.50671,-0.386531
UB1 1FS,51.50674,-0.385882
UB1 1FU,51.51058,-0.389334
UB1 1FW,51.51036,-0.389746
UB1 1FX,51.50786,-0.388234
UB1 1FY,51.50796,-0.389052
UB1 1FZ,51.50743,-0.388322
UB1 1GA,51.50706,-0.388119
UB1 1GB,51.50712,-0.388822
UB1 1GE,51.50629,-0.389126
UB1 1GF,51.50726,-0.38961
UB1 1GG,51.5071,-0.388607
UB1 1GH,51.50629,-0.389126
UB1 1HA,51.51159,-0.385148
UB1 1HB,51.51088,-0.385361
UB1 1HD,51.51012,-0.385575
UB1 1HE,51.50903,-0.385931
UB1 1HF,51.50371,-0.414331
UB1 1HG,51.50868,-0.383205
UB1 1HH,51.50838,-0.383317
UB1 1HJ,51.50871,-0.381719
UB1 1HL,51.5095,-0.381518
UB1 1HN,51.5108,-0.381228
UB1 1HP,51.50933,-0.382
UB1 1HQ,51.50868,-0.383205
UB1 1HR,51.50948,-0.382586
UB1 1HS,51.51087,-0.382234
UB1 1HT,51.5108,-0.38264
UB1 1HU,51.50943,-0.383005
UB1 1HW,51.51067,-0.381636
UB1 1HX,51.50855,-0.38393
UB1 1HY,51.50941,-0.383712
UB1 1HZ,51.5107,-0.383364
UB1 1JA,51.51134,-0.383543
UB1 1JB,51.51041,-0.383835
UB1 1JD,51.5095,-0.384098
UB1 1JE,51.50846,-0.384365
UB1 1JF,51.50858,-0.385039
UB1 1JG,51.50954,-0.384731
UB1 1JH,51.51122,-0.384614
UB1 1JJ,51.51186,-0.384418
UB1 1JL,51.50981,-0.385053
UB1 1JN,51.50865,-0.385411
UB1 1JP,51.5104,-0.37738
UB1 1JQ,51.51094,-0.384306
UB1 1JR,51.51119,-0.376285
UB1 1JS,51.5104,-0.37738
UB1 1JT,51.51117,-0.376862
UB1 1JU,51.5104,-0.37738
UB1 1JW,51.51042,-0.37882
UB1 1JX,51.5104,-0.37738
UB1 1JY,51.51124,-0.37794
UB1 1JZ,51.5104,-0.37738
UB1 1LA,51.51125,-0.379583
UB1 1LB,51.51119,-0.378922
UB1 1LD,51.51122,-0.379094
UB1 1LE,51.51094,-0.379897
UB1 1LF,51.51022,-0.377689
UB1 1LG,51.51054,-0.379234
UB1 1LH,51.51064,-0.376924
UB1 1LJ,51.51132,-0.378788
UB1 1LL,51.51094,-0.383687
UB1 1LN,51.51142,-0.380701
UB1 1LP,51.51185,-0.38266
UB1 1LQ,51.51068,-0.380583
UB1 1LR,51.51203,-0.383519
UB1 1LS,51.5075,-0.378462
UB1 1LT,51.5075,-0.378462
UB1 1LU,51.5114,-0.38455
UB1 1LW,51.51166,-0.381874
UB1 1LX,51.51223,-0.384564
UB1 1LY,51.51122,-0.379094
UB1 1LZ,51.51231,-0.385397
UB1 1NA,51.51232,-0.385958
UB1 1NB,51.5125,-0.386615
UB1 1ND,51.51263,-0.387576
UB1 1NE,51.51094,-0.383687
UB1 1NF,51.51274,-0.388321
UB1 1NG,51.51289,-0.389426
UB1 1NH,51.51105,-0.390932
UB1 1NJ,51.51212,-0.389424
UB1 1NL,51.51109,-0.389778
UB1 1NN,51.51234,-0.383479
UB1 1NP,51.51388,-0.383828
UB1 1NQ,51.51223,-0.390443
UB1 1NR,51.51467,-0.383396
UB1 1NS,51.51089,-0.383703
UB1 1NT,51.51261,-0.385026
UB1 1NU,51.51497,-0.384409
UB1 1NW,51.51365,-0.38349
UB1 1NX,51.51359,-0.384544
UB1 1NY,51.51344,-0.384953
UB1 1NZ,51.51277,-0.385467
UB1 1PA,51.51338,-0.385676
UB1 1PB,51.51426,-0.385947
UB1 1PD,51.51494,-0.386255
UB1 1PE,51.51367,-0.387208
UB1 1PF,51.51449,-0.38666
UB1 1PG,51.51291,-0.386543
UB1 1PH,51.51373,-0.388358
UB1 1PJ,51.51302,-0.387649
UB1 1PL,51.51318,-0.388565
UB1 1PN,51.51348,-0.389304
UB1 1PQ,51.51456,-0.387637
UB1 1PR,51.51128,-0.375907
UB1 1PS,51.51146,-0.376102
