PCDS,LAT,LONG
W1 3PF,51.51966,-0.152191
W10 4AA,51.52907,-0.215851
W10 4AB,51.52876,-0.215805
W10 4AD,51.53026,-0.215472
W10 4AE,51.52911,-0.216238
W10 4AF,51.53155,-0.206425
W10 4AG,51.5312,-0.216618
W10 4AH,51.5305,-0.215304
W10 4AJ,51.53148,-0.214242
W10 4AL,51.52994,-0.215471
W10 4AN,51.53173,-0.214103
W10 4AP,51.53118,-0.206815
W10 4AQ,51.53204,-0.213932
W10 4AR,51.5314,-0.216105
W10 4AS,51.53168,-0.212447
W10 4AT,51.53184,-0.211128
W10 4AU,51.53173,-0.211594
W10 4AW,51.52842,-0.215775
W10 4AX,51.53205,-0.211221
W10 4AY,51.53241,-0.211265
W10 4AZ,51.5324,-0.20668
W10 4BA,51.53229,-0.209424
W10 4BB,51.53169,-0.215402
W10 4BD,51.52888,-0.20653
W10 4BE,51.53249,-0.208623
W10 4BF,51.52869,-0.205961
W10 4BG,51.53249,-0.208623
W10 4BH,51.53099,-0.216381
W10 4BJ,51.53199,-0.213112
W10 4BL,51.52831,-0.207273
W10 4BN,51.53233,-0.209365
W10 4BP,51.5326,-0.208042
W10 4BQ,51.53276,-0.208569
W10 4BS,51.53297,-0.208892
W10 4BT,51.52955,-0.210137
W10 4BW,51.53267,-0.207088
W10 4DA,51.52816,-0.213983
W10 4DB,51.52774,-0.214519
W10 4DD,51.52784,-0.212914
W10 4DH,51.52764,-0.211048
W10 4DJ,51.52689,-0.212447
W10 4DL,51.52843,-0.211968
W10 4DN,51.52834,-0.211568
W10 4DP,51.52947,-0.211265
W10 4DQ,51.52747,-0.209325
W10 4DR,51.53055,-0.211424
W10 4DS,51.53051,-0.210964
W10 4DT,51.53144,-0.211188
W10 4DU,51.53139,-0.210771
W10 4DW,51.52953,-0.211695
W10 4DX,51.53025,-0.213858
W10 4DY,51.53029,-0.21351
W10 4DZ,51.52719,-0.212262
W10 4EA,51.53146,-0.212225
W10 4EB,51.53122,-0.212104
W10 4ED,51.53043,-0.214572
W10 4EE,51.53127,-0.213948
W10 4EF,51.53112,-0.213738
W10 4EG,51.53028,-0.214231
W10 4EH,51.52738,-0.21126
W10 4EJ,51.52756,-0.212767
W10 4EL,51.52775,-0.214129
W10 4EN,51.52715,-0.211918
W10 4EP,51.52892,-0.206024
W10 4EQ,51.5272,-0.209451
W10 4ER,51.52902,-0.205934
W10 4ES,51.52951,-0.206058
W10 4ET,51.52938,-0.205934
W10 4EU,51.52983,-0.206536
W10 4EW,51.52864,-0.206886
W10 4EX,51.52946,-0.206565
W10 4EY,51.52891,-0.206442
W10 4EZ,51.51106,-0.220734
W10 4GA,51.51106,-0.220734
W10 4GB,51.52955,-0.210137
W10 4HA,51.52781,-0.213853
W10 4HB,51.52855,-0.21355
W10 4HD,51.52848,-0.213178
W10 4HE,51.5298,-0.212838
W10 4HF,51.52988,-0.213195
W10 4HH,51.53065,-0.213165
W10 4HJ,51.5308,-0.212799
W10 4HL,51.53079,-0.212107
W10 4HN,51.53094,-0.210313
W10 4HP,51.53107,-0.209947
W10 4HR,51.53137,-0.20995
W10 4HS,51.53042,-0.208416
