PCDS,LAT,LONG
WA1 1AA,53.38736,-2.598368
WA1 1AB,53.38736,-2.598368
WA1 1AD,53.38965,-2.606685
WA1 1AF,53.38634,-2.599256
WA1 1AG,53.38681,-2.599322
WA1 1AH,53.39119,-2.592527
WA1 1AJ,53.39024,-2.593221
WA1 1AL,53.39024,-2.593221
WA1 1AN,53.38826,-2.596772
WA1 1AP,53.38896,-2.597037
WA1 1AQ,53.39021,-2.592815
WA1 1AS,53.37532,-2.602648
WA1 1AT,53.37479,-2.603618
WA1 1AU,53.37523,-2.603218
WA1 1AW,53.37566,-2.602803
WA1 1BA,53.38736,-2.598368
WA1 1BB,53.38789,-2.598526
WA1 1BD,53.37611,-2.602404
WA1 1BE,53.38771,-2.598493
WA1 1BF,53.37453,-2.600803
WA1 1BG,53.38825,-2.59838
WA1 1BH,53.38822,-2.597944
WA1 1BJ,53.38747,-2.598475
WA1 1BL,53.38724,-2.597569
WA1 1BN,53.38965,-2.607241
WA1 1BP,53.38965,-2.606685
WA1 1BQ,53.37489,-2.602281
WA1 1BS,53.38738,-2.596429
WA1 1BT,53.38736,-2.596864
WA1 1BU,53.38736,-2.596864
WA1 1BW,53.38736,-2.596879
WA1 1BX,53.38737,-2.595361
WA1 1BY,53.38736,-2.596864
WA1 1BZ,53.38743,-2.596008
WA1 1DA,53.38736,-2.596864
WA1 1DB,53.38733,-2.596007
WA1 1DD,53.38738,-2.593858
WA1 1DE,53.38675,-2.595864
WA1 1DF,53.38965,-2.607241
WA1 1DG,53.38772,-2.595606
WA1 1DH,53.38777,-2.595622
WA1 1DJ,53.38787,-2.595639
WA1 1DL,53.38677,-2.595864
WA1 1DN,53.38825,-2.595734
WA1 1DP,53.38826,-2.596877
WA1 1DQ,53.38799,-2.595625
WA1 1DR,53.38852,-2.596249
WA1 1DS,53.38826,-2.596877
WA1 1DT,53.38846,-2.596203
WA1 1DU,53.38841,-2.596157
WA1 1DW,53.38965,-2.607241
WA1 1DX,53.38827,-2.595374
WA1 1DY,53.38806,-2.59522
WA1 1DZ,53.38736,-2.596864
WA1 1EA,53.37521,-2.600392
WA1 1EB,53.38803,-2.5954
WA1 1ED,53.38784,-2.594691
WA1 1EE,53.38832,-2.595209
WA1 1EF,53.38774,-2.595246
WA1 1EG,53.38755,-2.595093
WA1 1EH,53.38743,-2.594805
WA1 1EJ,53.38785,-2.594496
WA1 1EL,53.38737,-2.595361
WA1 1EN,53.38761,-2.594342
WA1 1EP,53.38763,-2.594568
WA1 1EQ,53.38737,-2.595361
WA1 1ER,53.38776,-2.593893
WA1 1ES,53.38798,-2.59337
WA1 1ET,53.39048,-2.607073
WA1 1EU,53.37733,-2.599114
WA1 1EW,53.38796,-2.594166
WA1 1EX,53.38741,-2.593978
WA1 1EY,53.38654,-2.593635
WA1 1EZ,53.38646,-2.595078
WA1 1FA,53.38844,-2.598263
WA1 1FB,53.38965,-2.606685
WA1 1FD,53.39048,-2.607073
WA1 1FE,53.39048,-2.607073
WA1 1FF,53.38822,-2.597944
WA1 1FG,53.38822,-2.597944
WA1 1FH,53.39048,-2.607073
WA1 1FJ,53.39048,-2.607073
WA1 1FL,53.38636,-2.595196
WA1 1FN,53.39048,-2.607073
WA1 1FP,53.3879,-2.598541
WA1 1FQ,53.38965,-2.606685
WA1 1FR,53.39048,-2.607073
WA1 1FS,53.38822,-2.597944
WA1 1FT,53.38965,-2.607241
WA1 1FU,53.3879,-2.598541
WA1 1FW,53.39048,-2.607073
WA1 1FX,53.38965,-2.606685
WA1 1GB,53.39048,-2.607073
WA1 1GD,53.38965,-2.606685
WA1 1GE,53.39048,-2.607073
WA1 1GF,53.39048,-2.607073
WA1 1GG,53.37997,-2.599692
WA1 1GJ,53.37556,-2.59927
WA1 1GN,53.3764,-2.600379
WA1 1GP,53.38932,-2.598125
WA1 1GR,53.37769,-2.598352
WA1 1GS,53.37861,-2.599959
WA1 1GT,53.37845,-2.600964
WA1 1GU,53.377,-2.601244
WA1 1GW,53.37718,-2.600134
WA1 1GX,53.38897,-2.596782
WA1 1GY,53.37729,-2.601534
WA1 1GZ,53.37601,-2.600944
WA1 1HA,53.38649,-2.594973
WA1 1HB,53.37557,-2.598743
WA1 1HD,53.38657,-2.594598
WA1 1HE,53.38707,-2.595282
WA1 1HF,53.38669,-2.594525
WA1 1HG,53.38672,-2.595066
WA1 1HH,53.38667,-2.595381
WA1 1HJ,53.38646,-2.596852
WA1 1HL,53.38639,-2.595377
WA1 1HN,53.38607,-2.594275
WA1 1HP,53.38654,-2.595831
WA1 1HQ,53.38659,-2.59541
WA1 1HR,53.38763,-2.594583
WA1 1HS,53.38646,-2.596852
WA1 1HT,53.38557,-2.596839
WA1 1HU,53.38674,-2.596946
