PCDS,LAT,LONG
WC1A 1AA,51.5166,-0.129253
WC1A 1AB,51.51657,-0.125146
WC1A 1AD,51.51741,-0.123541
WC1A 1AE,51.51694,-0.124656
WC1A 1AH,51.51697,-0.127912
WC1A 1AJ,51.51572,-0.13073
WC1A 1AL,51.51657,-0.127813
WC1A 1AP,51.51736,-0.125388
WC1A 1AR,51.51745,-0.126336
WC1A 1AS,51.51629,-0.129467
WC1A 1AT,51.51657,-0.127813
WC1A 1AW,51.51699,-0.127306
WC1A 1AX,51.51699,-0.127306
WC1A 1AY,51.51657,-0.127813
WC1A 1AZ,51.51714,-0.134218
WC1A 1BA,51.51712,-0.123755
WC1A 1BE,51.51702,-0.123586
WC1A 1BH,51.51698,-0.125187
WC1A 1BJ,51.51722,-0.126186
WC1A 1BL,51.51686,-0.126403
WC1A 1BN,51.51696,-0.12526
WC1A 1BQ,51.51657,-0.127813
WC1A 1BR,51.51657,-0.127813
WC1A 1BS,51.51668,-0.127074
WC1A 1BT,51.51651,-0.123492
WC1A 1BU,51.51725,-0.126344
WC1A 1BW,51.51655,-0.126373
WC1A 1BX,51.51657,-0.127813
WC1A 1DA,51.51653,-0.127613
WC1A 1DB,51.51629,-0.129467
WC1A 1DD,51.51629,-0.129467
WC1A 1DE,51.51664,-0.127435
WC1A 1DF,51.51653,-0.127613
WC1A 1DG,51.5166,-0.127956
WC1A 1DL,51.51657,-0.127813
WC1A 1DN,51.51662,-0.127696
WC1A 1DP,51.51629,-0.129467
WC1A 1DQ,51.51572,-0.13073
WC1A 1DR,51.51629,-0.129467
WC1A 1DS,51.51645,-0.12838
WC1A 1DT,51.51645,-0.12838
WC1A 1DU,51.51629,-0.129467
WC1A 1DW,51.5166,-0.129253
WC1A 1DX,51.5157,-0.12929
WC1A 1DY,51.51629,-0.129467
WC1A 1DZ,51.51651,-0.123492
WC1A 1EA,51.51662,-0.127696
WC1A 1EB,51.51629,-0.129467
WC1A 1ED,51.51572,-0.13073
WC1A 1EE,51.51738,-0.124162
WC1A 1EF,51.51703,-0.12752
WC1A 1EG,51.51653,-0.124932
WC1A 1EH,51.51738,-0.124162
WC1A 1EJ,51.51653,-0.124932
WC1A 1EN,51.51721,-0.126201
WC1A 1EP,51.51722,-0.125682
WC1A 1ES,51.51717,-0.126189
WC1A 1ET,51.51657,-0.127813
WC1A 1EU,51.51699,-0.127306
WC1A 1FJ,51.51633,-0.123744
WC1A 1GG,51.51702,-0.123586
WC1A 1HB,51.51692,-0.128217
WC1A 1HD,51.51673,-0.129176
WC1A 1HE,51.5166,-0.129253
WC1A 1HH,51.5167,-0.129336
WC1A 1HJ,51.5167,-0.129336
WC1A 1HL,51.51664,-0.129886
WC1A 1HN,51.51664,-0.129886
WC1A 1HP,51.51688,-0.129242
WC1A 1HQ,51.5166,-0.129253
WC1A 1HT,51.5166,-0.129253
WC1A 1HU,51.51725,-0.126344
WC1A 1HX,51.5166,-0.129253
WC1A 1HY,51.5166,-0.129253
WC1A 1HZ,51.5166,-0.129253
WC1A 1JA,51.5166,-0.129253
WC1A 1JB,51.5172,-0.127874
WC1A 1JD,51.51772,-0.126872
WC1A 1JE,51.51747,-0.127776
WC1A 1JF,51.51675,-0.125298
WC1A 1JG,51.51633,-0.123744
WC1A 1JH,51.51672,-0.12576
WC1A 1JJ,51.51679,-0.125455
WC1A 1JL,51.51754,-0.125539
WC1A 1JN,51.51736,-0.125388
WC1A 1JP,51.5164,-0.125139
WC1A 1JQ,51.51657,-0.127813
WC1A 1JR,51.51637,-0.124881
WC1A 1JS,51.51688,-0.125019
WC1A 1JT,51.5176,-0.125652
WC1A 1JU,51.51759,-0.125652
WC1A 1JY,51.51745,-0.126336
WC1A 1LA,51.51745,-0.126336
WC1A 1LB,51.51745,-0.126336
WC1A 1LD,51.51745,-0.126336
WC1A 1LF,51.51745,-0.126336
WC1A 1LG,51.51791,-0.126014
WC1A 1LH,51.51792,-0.126014
WC1A 1LJ,51.51721,-0.126201
WC1A 1LN,51.51745,-0.126336
WC1A 1LP,51.51802,-0.125721
WC1A 1LQ,51.51812,-0.125761
WC1A 1LR,51.51765,-0.125174
WC1A 1LT,51.51793,-0.125509
WC1A 1LU,51.51793,-0.125523
WC1A 1LW,51.51702,-0.123586
WC1A 1LX,51.51765,-0.125045
WC1A 1LY,51.51765,-0.125174
WC1A 1LZ,51.52457,-0.112017
WC1A 1NA,51.51653,-0.124932
WC1A 1NB,51.51651,-0.123492
WC1A 1ND,51.51721,-0.126201
WC1A 1NE,51.51651,-0.123492
WC1A 1NF,51.51702,-0.123586
WC1A 1NG,51.51653,-0.124932
WC1A 1NH,51.51734,-0.126282
WC1A 1NJ,51.51753,-0.12639
WC1A 1NL,51.51766,-0.126514
WC1A 1NN,51.51774,-0.126641
