PCDS,LAT,LONG
WF1 1AA,53.67949,-1.500932
WF1 1AB,53.67942,-1.500736
WF1 1AD,53.68229,-1.495448
WF1 1AE,53.68084,-1.50187
WF1 1AF,53.68084,-1.50187
WF1 1AG,53.68182,-1.496862
WF1 1AH,53.68253,-1.493765
WF1 1AJ,53.67854,-1.495387
WF1 1AL,53.67831,-1.495374
WF1 1AN,53.68056,-1.499496
WF1 1AP,53.68245,-1.498247
WF1 1AQ,53.67942,-1.500736
WF1 1AS,53.68122,-1.50129
WF1 1BA,53.6811,-1.500534
WF1 1BB,53.68111,-1.501231
WF1 1BD,53.68185,-1.501131
WF1 1BE,53.68174,-1.501859
WF1 1BG,53.68174,-1.501859
WF1 1BH,53.68174,-1.501859
WF1 1BL,53.68174,-1.501859
WF1 1BN,53.68291,-1.494729
WF1 1BP,53.68174,-1.501859
WF1 1BQ,53.68174,-1.501859
WF1 1BW,53.68209,-1.500856
WF1 1DA,53.68174,-1.501859
WF1 1DB,53.68173,-1.498831
WF1 1DD,53.68171,-1.500118
WF1 1DE,53.67906,-1.499256
WF1 1DF,53.68132,-1.499805
WF1 1DG,53.67952,-1.498585
WF1 1DH,53.68071,-1.50007
WF1 1DJ,53.68085,-1.503384
WF1 1DL,53.68037,-1.500755
WF1 1DP,53.67987,-1.501003
WF1 1DR,53.67985,-1.501382
WF1 1DS,53.68194,-1.495452
WF1 1DT,53.67994,-1.50188
WF1 1DU,53.67814,-1.500388
WF1 1DW,53.68095,-1.501611
WF1 1DX,53.67999,-1.503303
WF1 1DY,53.67953,-1.5019
WF1 1DZ,53.67865,-1.50241
WF1 1EA,53.67941,-1.502765
WF1 1EB,53.67995,-1.503394
WF1 1ED,53.68051,-1.502494
WF1 1EE,53.67995,-1.503394
WF1 1EF,53.67995,-1.503394
WF1 1EH,53.68156,-1.501543
WF1 1EJ,53.68084,-1.50187
WF1 1EL,53.68157,-1.503527
WF1 1EN,53.68085,-1.504897
WF1 1EP,53.68173,-1.502313
WF1 1ER,53.68185,-1.502312
WF1 1ES,53.67995,-1.503394
WF1 1ET,53.68173,-1.500345
WF1 1EU,53.68353,-1.49881
WF1 1EW,53.68116,-1.504258
WF1 1EX,53.68353,-1.49881
WF1 1EY,53.68263,-1.498821
WF1 1EZ,53.68263,-1.500334
WF1 1HA,53.68339,-1.498963
WF1 1HB,53.68318,-1.49839
WF1 1HD,53.68328,-1.498041
WF1 1HE,53.68281,-1.498001
WF1 1HF,53.68338,-1.498948
WF1 1HG,53.68304,-1.496817
WF1 1HL,53.67815,-1.501901
WF1 1HN,53.67815,-1.501901
WF1 1HP,53.67759,-1.500318
WF1 1HQ,53.68372,-1.496885
WF1 1HR,53.67866,-1.500669
WF1 1HS,53.68291,-1.495229
WF1 1HT,53.68261,-1.495793
WF1 1HU,53.68288,-1.49588
WF1 1HW,53.67724,-1.500398
WF1 1HX,53.68253,-1.493765
WF1 1HY,53.68282,-1.494291
WF1 1HZ,53.68171,-1.494289
WF1 1JA,53.6824,-1.4936
WF1 1JB,53.68171,-1.494289
WF1 1JD,53.68256,-1.493144
WF1 1JE,53.68171,-1.494289
WF1 1JF,53.68255,-1.492265
WF1 1JG,53.68122,-1.492599
WF1 1JH,53.68081,-1.4943
