PCDS,LAT,LONG
WN1 1AA,53.54698,-2.635089
WN1 1AB,53.54655,-2.634569
WN1 1AD,53.54544,-2.632651
WN1 1AE,53.54964,-2.628246
WN1 1AF,53.54869,-2.629213
WN1 1AG,53.54808,-2.630819
WN1 1AH,53.54868,-2.629167
WN1 1AJ,53.54781,-2.632173
WN1 1AL,53.54747,-2.631292
WN1 1AN,53.54734,-2.632785
WN1 1AP,53.54838,-2.632695
WN1 1AR,53.54816,-2.632103
WN1 1AS,53.54793,-2.632809
WN1 1AT,53.54734,-2.631034
WN1 1AU,53.5474,-2.632771
WN1 1AW,53.54837,-2.633192
WN1 1AX,53.54774,-2.631946
WN1 1AY,53.5475,-2.632048
WN1 1AZ,53.54586,-2.629669
WN1 1BA,53.54444,-2.633496
WN1 1BB,53.54475,-2.633184
WN1 1BD,53.54438,-2.633752
WN1 1BE,53.54438,-2.632907
WN1 1BF,53.54266,-2.636774
WN1 1BG,53.54461,-2.632714
WN1 1BH,53.54659,-2.629363
WN1 1BJ,53.54375,-2.633244
WN1 1BL,53.54357,-2.627326
WN1 1BN,53.54713,-2.62842
WN1 1BP,53.55017,-2.62931
WN1 1BQ,53.54627,-2.63381
WN1 1BS,53.54473,-2.631644
WN1 1BT,53.54409,-2.630246
WN1 1BU,53.54449,-2.630765
WN1 1BW,53.54449,-2.630765
WN1 1BX,53.5474,-2.631865
WN1 1BY,53.55112,-2.633203
WN1 1BZ,53.54517,-2.633371
WN1 1DA,53.54454,-2.631294
WN1 1DB,53.54384,-2.630741
WN1 1DD,53.54698,-2.635089
WN1 1DE,53.54504,-2.631045
WN1 1DF,53.54462,-2.630345
WN1 1DG,53.54395,-2.629761
WN1 1DH,53.5427,-2.62923
WN1 1DJ,53.54428,-2.633946
WN1 1DL,53.5431,-2.628073
WN1 1DN,53.54861,-2.628034
WN1 1DP,53.54461,-2.633861
WN1 1DQ,53.54523,-2.629705
WN1 1DR,53.54258,-2.627402
WN1 1DS,53.54256,-2.627145
WN1 1DT,53.55102,-2.633232
WN1 1DU,53.54287,-2.630273
WN1 1DW,53.54301,-2.626427
WN1 1DX,53.54392,-2.627316
WN1 1DY,53.54432,-2.631502
WN1 1EA,53.54331,-2.629646
WN1 1EB,53.54329,-2.6296
WN1 1ED,53.54449,-2.630765
WN1 1EE,53.54449,-2.630765
WN1 1EF,53.54399,-2.631211
WN1 1EG,53.54414,-2.631152
WN1 1EH,53.54449,-2.630765
WN1 1EJ,53.54449,-2.630765
WN1 1EL,53.54738,-2.633359
WN1 1EN,53.54449,-2.630765
WN1 1EP,53.54449,-2.630765
WN1 1EQ,53.54446,-2.63158
WN1 1ER,53.55132,-2.627954
WN1 1EX,53.54721,-2.638352
WN1 1EY,53.54678,-2.638436
WN1 1EZ,53.54644,-2.638008
WN1 1FA,53.5474,-2.63188
WN1 1FB,53.5474,-2.631865
WN1 1FD,53.5474,-2.63188
WN1 1FE,53.5474,-2.631865
WN1 1FF,53.5474,-2.631865
WN1 1FG,53.5474,-2.631865
WN1 1FH,53.5474,-2.631865
WN1 1FJ,53.54745,-2.631956
WN1 1FL,53.54698,-2.635089
WN1 1FN,53.54745,-2.631956
WN1 1FP,53.54698,-2.635089
WN1 1GZ,53.54698,-2.635089
WN1 1HA,53.54681,-2.637788
WN1 1HB,53.54686,-2.637094
WN1 1HD,53.54664,-2.64026
WN1 1HE,53.54622,-2.636224
WN1 1HF,53.54625,-2.636828
WN1 1HG,53.54733,-2.638007
WN1 1HH,53.54821,-2.636344
WN1 1HJ,53.54601,-2.635587
WN1 1HL,53.54718,-2.632314
WN1 1HN,53.54601,-2.635587
WN1 1HP,53.54675,-2.634632
WN1 1HQ,53.54808,-2.63758
WN1 1HR,53.54601,-2.635587
WN1 1HS,53.54601,-2.635587
WN1 1HT,53.54715,-2.636842
WN1 1HU,53.54769,-2.633756
WN1 1HW,53.54634,-2.636362
WN1 1HX,53.54776,-2.633606
WN1 1HY,53.54718,-2.632314
WN1 1HZ,53.54713,-2.637294
