PCDS,LAT,LONG
WR1 1AA,52.19668,-2.216947
WR1 1AB,52.2159,-2.179541
WR1 1AD,52.19619,-2.219125
WR1 1AE,52.20522,-2.222564
WR1 1AF,52.20553,-2.221571
WR1 1AG,52.20519,-2.221525
WR1 1AH,52.19522,-2.219442
WR1 1AJ,52.19091,-2.218192
WR1 1AN,52.19569,-2.222722
WR1 1DA,52.19394,-2.222318
WR1 1DB,52.19481,-2.221342
WR1 1DD,52.19431,-2.221149
WR1 1DE,52.19394,-2.222318
WR1 1DF,52.1964,-2.221701
WR1 1DG,52.194,-2.221045
WR1 1DH,52.19532,-2.221681
WR1 1DJ,52.19625,-2.222871
WR1 1DL,52.19421,-2.220915
WR1 1DN,52.19587,-2.221742
WR1 1DP,52.19664,-2.222331
WR1 1DQ,52.19394,-2.222318
WR1 1DR,52.20013,-2.221441
WR1 1DS,52.19703,-2.222801
WR1 1DT,52.19648,-2.222199
WR1 1DU,52.19572,-2.221785
WR1 1DW,52.19574,-2.22379
WR1 1DX,52.19481,-2.222
WR1 1DZ,52.19489,-2.222293
WR1 1EA,52.19471,-2.221927
WR1 1EB,52.19433,-2.221837
WR1 1ED,52.19394,-2.222318
WR1 1EE,52.19585,-2.222854
WR1 1EF,52.19597,-2.222694
WR1 1EH,52.19574,-2.22379
WR1 1EJ,52.19574,-2.22379
WR1 1EN,52.19574,-2.22379
WR1 1EQ,52.19696,-2.221879
WR1 1EW,52.19574,-2.22379
WR1 1HA,52.19757,-2.222351
WR1 1HB,52.19728,-2.221691
WR1 1HD,52.19773,-2.223536
WR1 1HE,52.19664,-2.223794
WR1 1HF,52.19753,-2.223799
WR1 1HG,52.19753,-2.223799
WR1 1HH,52.19843,-2.225266
WR1 1HJ,52.19843,-2.223803
WR1 1HL,52.19817,-2.223641
WR1 1HN,52.20034,-2.223915
WR1 1HP,52.20071,-2.224824
WR1 1HQ,52.19725,-2.222978
WR1 1HR,52.19907,-2.223777
WR1 1HS,52.20105,-2.224826
WR1 1HT,52.2017,-2.225298
WR1 1HU,52.20281,-2.225976
