PCDS,LAT,LONG
WS1 1AA,52.58601,-1.981281
WS1 1AB,52.58908,-1.978962
WS1 1AE,52.58575,-1.979864
WS1 1AF,52.58702,-1.979553
WS1 1AQ,52.58479,-1.980883
WS1 1DA,52.58555,-1.981443
WS1 1DB,52.58648,-1.980867
WS1 1DD,52.58562,-1.981414
WS1 1DE,52.58466,-1.980071
WS1 1DF,52.58461,-1.980351
WS1 1DG,52.5864,-1.980852
WS1 1DH,52.58628,-1.979362
WS1 1DJ,52.58612,-1.98224
WS1 1DL,52.58612,-1.980764
WS1 1DN,52.58522,-1.980764
WS1 1DP,52.58477,-1.980824
WS1 1DQ,52.5864,-1.980852
WS1 1DR,52.58432,-1.982241
WS1 1DS,52.58432,-1.982241
WS1 1DT,52.58432,-1.982241
WS1 1DW,52.58522,-1.980764
WS1 1DX,52.58522,-1.979288
WS1 1DY,52.58488,-1.979052
WS1 1DZ,52.58522,-1.980764
WS1 1EA,52.58432,-1.980765
WS1 1EB,52.58491,-1.980543
WS1 1ED,52.58522,-1.980764
WS1 1EE,52.58432,-1.980765
WS1 1EF,52.58432,-1.980765
WS1 1EG,52.58825,-1.978608
WS1 1EH,52.58503,-1.980144
WS1 1EJ,52.58466,-1.980027
WS1 1EL,52.58464,-1.979776
WS1 1EN,52.58859,-1.978475
WS1 1EP,52.58456,-1.980292
WS1 1EQ,52.58432,-1.980765
WS1 1ER,52.58466,-1.983584
WS1 1ES,52.58768,-1.979464
WS1 1ET,52.5846,-1.980322
WS1 1EU,52.5864,-1.980852
WS1 1EW,52.58438,-1.980942
WS1 1EX,52.58454,-1.980617
WS1 1EY,52.58252,-1.980765
WS1 1EZ,52.58441,-1.980883
WS1 1FA,52.58432,-1.979289
WS1 1GE,52.5861,-1.981413
WS1 1GF,52.58601,-1.981281
WS1 1GG,52.5861,-1.981413
WS1 1GH,52.5861,-1.981413
WS1 1GL,52.5861,-1.981413
WS1 1GN,52.58479,-1.980883
WS1 1GP,52.58601,-1.981281
WS1 1GQ,52.5861,-1.981413
WS1 1GR,52.58476,-1.980956
WS1 1GS,52.5861,-1.981413
WS1 1GT,52.5861,-1.981413
WS1 1GU,52.58472,-1.981045
WS1 1GW,52.58601,-1.981281
WS1 1GY,52.58476,-1.980956
WS1 1GZ,52.58479,-1.980883
WS1 1HA,52.58522,-1.980764
WS1 1HB,52.58522,-1.980764
WS1 1HD,52.58522,-1.980764
WS1 1HE,52.58522,-1.980764
WS1 1HF,52.58522,-1.980764
WS1 1HL,52.58522,-1.980764
WS1 1HN,52.58437,-1.981016
WS1 1HP,52.58448,-1.980794
WS1 1HQ,52.58482,-1.978979
WS1 1HR,52.58478,-1.978831
WS1 1HS,52.5863,-1.984528
WS1 1HU,52.58522,-1.979288
WS1 1HW,52.58444,-1.97768
WS1 1HX,52.58522,-1.98224
WS1 1HY,52.58522,-1.980764
WS1 1HZ,52.58501,-1.978477
WS1 1JA,52.58463,-1.978019
WS1 1JB,52.58461,-1.978182
WS1 1JD,52.58461,-1.978182
WS1 1JF,52.58315,-1.98019
WS1 1JG,52.58455,-1.977739
WS1 1JH,52.58601,-1.981281
WS1 1JJ,52.58435,-1.977739
WS1 1JL,52.58435,-1.977739
WS1 1JN,52.58484,-1.978019
WS1 1JQ,52.5848,-1.977798
WS1 1JR,52.58522,-1.979288
WS1 1JS,52.58522,-1.977812
WS1 1JT,52.58432,-1.977813
WS1 1JW,52.58432,-1.979289
WS1 1JX,52.58461,-1.976912
WS1 1JY,52.58459,-1.980233
WS1 1JZ,52.58435,-1.977739
WS1 1LA,52.58602,-1.985384
WS1 1LB,52.58444,-1.97768
WS1 1LD,52.58432,-1.977813
WS1 1LE,52.58612,-1.98224
WS1 1LF,52.58512,-1.982993
WS1 1LG,52.58454,-1.982093
WS1 1LH,52.58522,-1.979288
WS1 1LJ,52.58485,-1.981488
WS1 1LL,52.58432,-1.982241
WS1 1LN,52.58466,-1.981414
WS1 1LP,52.58432,-1.977813
WS1 1LQ,52.58601,-1.981281
WS1 1LR,52.58385,-1.982078
WS1 1LT,52.57983,-1.98667
WS1 1LU,52.5861,-1.981413
WS1 1LW,52.58411,-1.981414
WS1 1LX,52.58342,-1.983717
WS1 1LY,52.58451,-1.983244
WS1 1LZ,52.58509,-1.983096
WS1 1NA,52.58522,-1.985192
WS1 1NB,52.58542,-1.981605
