PCDS,LAT,LONG
WV1 1AA,52.58848,-2.114949
WV1 1AB,52.5864,-2.124567
WV1 1AD,52.59148,-2.127342
WV1 1AF,52.58568,-2.128491
WV1 1AG,52.58567,-2.125923
WV1 1BA,52.58515,-2.132784
WV1 1BS,52.58515,-2.132784
WV1 1DA,52.58706,-2.129572
WV1 1DB,52.58661,-2.124494
WV1 1DD,52.58649,-2.123519
WV1 1DE,52.58648,-2.124183
WV1 1DF,52.58562,-2.128033
WV1 1DG,52.58636,-2.126736
WV1 1DH,52.58606,-2.125407
WV1 1DJ,52.58669,-2.12535
WV1 1DL,52.58606,-2.125407
WV1 1DN,52.58645,-2.12656
WV1 1DP,52.58628,-2.12712
WV1 1DQ,52.58654,-2.125837
WV1 1DR,52.58605,-2.128359
WV1 1DS,52.58833,-2.114771
WV1 1DT,52.5898,-2.127676
WV1 1DU,52.58685,-2.127107
WV1 1DW,52.58605,-2.126883
WV1 1DX,52.58833,-2.114771
WV1 1DZ,52.58698,-2.126458
WV1 1EA,52.58677,-2.126177
WV1 1EB,52.58605,-2.126883
WV1 1ED,52.58706,-2.125572
WV1 1EE,52.58695,-2.126886
WV1 1EF,52.58695,-2.126886
WV1 1EG,52.58515,-2.129832
WV1 1EH,52.58605,-2.126883
WV1 1EJ,52.58606,-2.125407
WV1 1EL,52.59073,-2.125598
WV1 1EN,52.58606,-2.125407
WV1 1EP,52.58606,-2.125407
WV1 1EQ,52.58681,-2.12445
WV1 1ER,52.58687,-2.127018
WV1 1ES,52.58553,-2.124786
WV1 1ET,52.58606,-2.125407
WV1 1EU,52.58606,-2.125407
WV1 1EX,52.58686,-2.124671
WV1 1GT,52.59073,-2.125598
WV1 1GU,52.58833,-2.114771
WV1 1GX,52.58833,-2.114771
WV1 1GY,52.58833,-2.114771
WV1 1GZ,52.58833,-2.114771
WV1 1HA,52.58618,-2.12461
WV1 1HB,52.58606,-2.124713
WV1 1HD,52.58612,-2.125274
WV1 1HE,52.58706,-2.129572
WV1 1HF,52.58516,-2.126881
WV1 1HG,52.58516,-2.126881
WV1 1HH,52.58516,-2.125405
WV1 1HJ,52.58589,-2.125835
WV1 1HL,52.58621,-2.12554
WV1 1HN,52.5862,-2.126057
WV1 1HP,52.58735,-2.124835
WV1 1HQ,52.58578,-2.12582
WV1 1HR,52.59528,-2.129139
WV1 1HS,52.5957,-2.128373
WV1 1HT,52.58728,-2.123226
WV1 1HU,52.58702,-2.125203
WV1 1HW,52.58635,-2.1256
WV1 1HX,52.58785,-2.123936
WV1 1HY,52.58785,-2.123936
WV1 1HZ,52.58757,-2.124792
WV1 1JA,52.58739,-2.125514
WV1 1JB,52.58785,-2.125412
WV1 1JD,52.5881,-2.124764
WV1 1JE,52.58785,-2.125412
WV1 1JF,52.58875,-2.125415
WV1 1JG,52.58875,-2.125415
WV1 1JH,52.58875,-2.123939
WV1 1JJ,52.58955,-2.122317
WV1 1JL,52.58875,-2.125415
WV1 1JN,52.59015,-2.124651
WV1 1JP,52.58844,-2.125783
WV1 1JQ,52.58974,-2.123366
WV1 1JR,52.5882,-2.125738
WV1 1JS,52.58783,-2.12556
WV1 1JY,52.59102,-2.123709
WV1 1LD,52.58642,-2.122471
WV1 1LE,52.5877,-2.120157
WV1 1LF,52.58632,-2.122707
WV1 1LG,52.58695,-2.122989
WV1 1LH,52.58664,-2.122501
WV1 1LJ,52.58843,-2.122048
WV1 1LQ,52.58696,-2.123934
WV1 1LR,52.58693,-2.126
WV1 1LU,52.58695,-2.126886
WV1 1LW,52.58701,-2.126679
WV1 1LX,52.58701,-2.12665
WV1 1LY,52.58818,-2.12807
WV1 1LZ,52.58724,-2.126429
WV1 1NA,52.58824,-2.126137
WV1 1ND,52.59142,-2.125792
WV1 1NE,52.59505,-2.123957
WV1 1NF,52.59633,-2.127666
WV1 1NG,52.58965,-2.126894
WV1 1NH,52.58778,-2.126962
WV1 1NJ,52.58965,-2.12837
WV1 1NN,52.59235,-2.126901
WV1 1NQ,52.59048,-2.125818
WV1 1NR,52.59314,-2.127243
WV1 1NS,52.59235,-2.126901
WV1 1NT,52.59325,-2.125324
WV1 1NX,52.58875,-2.126891
WV1 1NZ,52.59504,-2.125433
WV1 1PA,52.59831,-2.127391
WV1 1PB,52.59645,-2.12808
WV1 1PD,52.58823,-2.126048
WV1 1PE,52.59142,-2.125792
WV1 1PF,52.59415,-2.123954
WV1 1PG,52.59774,-2.128394
WV1 1PH,52.58993,-2.124592
WV1 1PN,52.59347,-2.123583
WV1 1PP,52.59443,-2.12428
WV1 1PR,52.59504,-2.125433
WV1 1PS,52.59504,-2.125433
WV1 1PT,52.59504,-2.125433
WV1 1PU,52.59589,-2.126144
WV1 1PW,52.59415,-2.119525
WV1 1PX,52.59714,-2.125395
WV1 1PY,52.59594,-2.125436
WV1 1QA,52.59611,-2.124462
WV1 1QB,52.59766,-2.125027
WV1 1QD,52.59684,-2.125438
WV1 1QE,52.59571,-2.12858
WV1 1QF,52.59501,-2.127884
WV1 1QG,52.59429,-2.127424
WV1 1QH,52.5939,-2.127836
WV1 1QJ,52.59455,-2.128133
WV1 1QL,52.59423,-2.128856
WV1 1QN,52.59435,-2.129432
WV1 1QP,52.59324,-2.129857
WV1 1QQ,52.59369,-2.127156
WV1 1QR,52.59234,-2.129854
WV1 1QS,52.59234,-2.129854
WV1 1QT,52.59234,-2.129854
WV1 1QU,52.59361,-2.129695
WV1 1QW,52.59324,-2.129857
WV1 1QX,52.59324,-2.12838
WV1 1QY,52.59324,-2.12838
WV1 1QZ,52.59477,-2.127661
WV1 1RA,52.58619,-2.130205
WV1 1RB,52.58715,-2.129632
WV1 1RD,52.58595,-2.129333
WV1 1RE,52.58597,-2.129879
WV1 1RF,52.58593,-2.127326
WV1 1RG,52.58706,-2.129572
WV1 1RH,52.58831,-2.128159
WV1 1RJ,52.58776,-2.130519
WV1 1RL,52.58706,-2.129572
WV1 1RN,52.59208,-2.127329
WV1 1RP,52.58706,-2.129572
WV1 1RQ,52.5866,-2.130752
WV1 1RR,52.58706,-2.129572
WV1 1RS,52.58715,-2.129632
WV1 1RT,52.58706,-2.129572
WV1 1RU,52.58715,-2.129632
WV1 1RW,52.58695,-2.129838
WV1 1RX,52.58898,-2.129637
WV1 1RY,52.58974,-2.128695
WV1 1RZ,52.58848,-2.114949
WV1 1SA,52.5898,-2.127676
WV1 1SB,52.59044,-2.129627
WV1 1SD,52.58706,-2.129572
WV1 1SE,52.58735,-2.127212
WV1 1SF,52.58865,-2.130404
WV1 1SG,52.59084,-2.128285
WV1 1SH,52.58706,-2.129572
WV1 1SJ,52.58706,-2.129572
WV1 1SL,52.58706,-2.129572
WV1 1SN,52.58965,-2.129846
WV1 1SP,52.58706,-2.129572
WV1 1SQ,52.5375,-2.129692
WV1 1SR,52.58717,-2.131108
WV1 1SS,52.58706,-2.129572
WV1 1ST,52.58598,-2.126145
WV1 1SU,52.58621,-2.125585
WV1 1SW,52.58965,-2.129846
WV1 1SX,52.58561,-2.126852
WV1 1SY,52.58516,-2.126881
WV1 1SZ,52.58516,-2.126881
WV1 1TA,52.58605,-2.128359
WV1 1TB,52.58605,-2.126883
WV1 1TD,52.58516,-2.126881
WV1 1TE,52.5861,-2.127547
WV1 1TF,52.58833,-2.114771
WV1 1TG,52.58515,-2.128356
WV1 1TH,52.58566,-2.127915
WV1 1TJ,52.58515,-2.128356
WV1 1TL,52.58597,-2.128875
WV1 1TN,52.58515,-2.129832
WV1 1TP,52.58515,-2.129832
WV1 1TQ,52.58559,-2.128313
WV1 1TR,52.58848,-2.114949
WV1 1TS,52.58625,-2.128699
WV1 1TT,52.58605,-2.129835
WV1 1TU,52.58627,-2.129127
WV1 1TW,52.58597,-2.128964
WV1 1TX,52.58624,-2.128183
WV1 1TY,52.58848,-2.114949
WV1 1TZ,52.5857,-2.128535
WV1 1UA,52.58645,-2.128301
WV1 1UB,52.58605,-2.128359
WV1 1UD,52.58515,-2.129832
WV1 1UE,52.58848,-2.114949
WV1 1UG,52.58515,-2.129832
WV1 1UH,52.58515,-2.129832
WV1 1UQ,52.58515,-2.129832
WV1 1UY,52.58715,-2.129632
WV1 1UZ,52.58515,-2.129832
WV1 1WF,52.58848,-2.114949
WV1 1WR,52.58715,-2.129632
WV1 1WY,52.58833,-2.114771
WV1 1WZ,52.58848,-2.114949
WV1 1XA,52.58833,-2.114771
WV1 1XB,52.58833,-2.114771
WV1 1XE,52.58833,-2.114771
WV1 1XF,52.59072,-2.125598
WV1 1XG,52.59073,-2.125598
WV1 1XH,52.58833,-2.114771
WV1 1XJ,52.58848,-2.114949
WV1 1XL,52.58833,-2.114771
WV1 1XN,52.58833,-2.114771
WV1 1XP,52.58848,-2.114949
WV1 1XQ,52.59072,-2.125598
WV1 1XR,52.58833,-2.114771
WV1 1XS,52.59073,-2.125598
WV1 1XT,52.58833,-2.114771
WV1 1XW,52.59073,-2.125598
WV1 1YB,52.58833,-2.114771
WV1 1YD,52.58515,-2.129832
WV1 1YE,52.58833,-2.114771
WV1 1YF,52.58833,-2.114771
WV1 1YG,52.59072,-2.125598
WV1 1YH,52.58833,-2.114771
WV1 1YJ,52.58515,-2.129832
WV1 1YQ,52.58515,-2.129832
WV1 1YR,52.58833,-2.114771
WV1 1ZR,52.58848,-2.114949
WV1 1ZT,52.58848,-2.114949
WV1 1ZU,52.58833,-2.114771
WV1 2AA,52.5918,-2.099074
WV1 2AB,52.59217,-2.101511
WV1 2AD,52.59156,-2.099384
WV1 2AE,52.591,-2.095441
WV1 2AF,52.59038,-2.095632
WV1 2AG,52.59008,-2.09352
WV1 2AH,52.58962,-2.090907
WV1 2AJ,52.58926,-2.090744
WV1 2AL,52.59011,-2.095705
WV1 2AN,52.59114,-2.097154
WV1 2AP,52.58948,-2.097017
WV1 2AQ,52.59027,-2.093462
WV1 2AR,52.58946,-2.09498
WV1 2AS,52.5891,-2.092677
WV1 2AT,52.58884,-2.092588
WV1 2AU,52.58799,-2.091184
WV1 2AW,52.59032,-2.097462
WV1 2AX,52.5875,-2.091301
WV1 2AY,52.58849,-2.09272
WV1 2AZ,52.58831,-2.093369
WV1 2BA,52.58806,-2.093723
WV1 2BB,52.58796,-2.09449
WV1 2BD,52.58677,-2.092465
WV1 2BE,52.58657,-2.091092
WV1 2BF,52.5905,-2.102466
WV1 2BG,52.58714,-2.090341
WV1 2BH,52.58538,-2.088655
WV1 2BJ,52.58426,-2.087368
WV1 2BL,52.58788,-2.094416
WV1 2BN,52.58842,-2.089473
WV1 2BP,52.58752,-2.08888
WV1 2BQ,52.58554,-2.090013
WV1 2BS,52.58125,-2.103301
WV1 2BT,52.58205,-2.104232
WV1 2BU,52.58833,-2.114771
WV1 2BW,52.58812,-2.089649
WV1 2BX,52.57925,-2.103459
WV1 2BY,52.5827,-2.103127
WV1 2BZ,52.58218,-2.101266
WV1 2DA,52.58281,-2.101253
WV1 2DB,52.58245,-2.100603
WV1 2DD,52.58165,-2.100911
WV1 2DE,52.58281,-2.100309
WV1 2DF,52.58219,-2.099805
WV1 2DG,52.58273,-2.099511
WV1 2DH,52.58161,-2.098948
WV1 2DJ,52.58149,-2.09942
WV1 2DL,52.58066,-2.098031
WV1 2DN,52.58183,-2.097192
WV1 2DP,52.57993,-2.096229
WV1 2DQ,52.58199,-2.098462
WV1 2DR,52.58026,-2.093913
WV1 2DS,52.57995,-2.093337
WV1 2DT,52.5809,-2.096615
WV1 2DU,52.5805,-2.095005
WV1 2DW,52.57989,-2.104124
WV1 2DX,52.58083,-2.095286
WV1 2DY,52.58123,-2.096129
WV1 2DZ,52.58225,-2.097046
WV1 2EA,52.5822,-2.093622
WV1 2EB,52.58163,-2.093075
WV1 2ED,52.58231,-2.090493
WV1 2EE,52.5813,-2.094933
WV1 2EF,52.58095,-2.094977
WV1 2EG,52.581,-2.091376
WV1 2EH,52.58234,-2.089962
WV1 2EJ,52.57837,-2.103855
WV1 2EL,52.58158,-2.104733
WV1 2EN,52.57998,-2.105482
WV1 2EP,52.58272,-2.110521
WV1 2EQ,52.58143,-2.090108
WV1 2ER,52.58369,-2.109918
WV1 2ES,52.58347,-2.112264
WV1 2ET,52.58272,-2.110521
WV1 2EU,52.58359,-2.108265
WV1 2EW,52.58247,-2.109163
WV1 2EX,52.58256,-2.096456
WV1 2EY,52.58338,-2.109017
WV1 2EZ,52.58259,-2.09163
WV1 2FA,52.58498,-2.102365
WV1 2FB,52.58472,-2.095546
WV1 2GZ,52.58305,-2.093284
WV1 2HA,52.58334,-2.107261
WV1 2HB,52.58248,-2.106211
WV1 2HD,52.5837,-2.091692
WV1 2HE,52.58282,-2.108426
WV1 2HF,52.58329,-2.106065
WV1 2HG,52.58386,-2.107351
WV1 2HH,52.58384,-2.105683
WV1 2HJ,52.58319,-2.104324
WV1 2HL,52.58365,-2.104649
WV1 2HN,52.58298,-2.101726
WV1 2HP,52.58394,-2.101994
WV1 2HQ,52.58345,-2.106892
WV1 2HR,52.58372,-2.099912
WV1 2HS,52.58241,-2.107672
WV1 2HT,52.58324,-2.101564
WV1 2HU,52.58347,-2.098554
WV1 2HW,52.5835,-2.102893
WV1 2HX,52.58316,-2.098391
WV1 2HY,52.5835,-2.094805
WV1 2HZ,52.58397,-2.088563
WV1 2JA,52.5839,-2.087471
WV1 2JB,52.58326,-2.088414
WV1 2JD,52.58315,-2.091823
WV1 2JE,52.58259,-2.092088
WV1 2JF,52.58251,-2.095733
WV1 2JG,52.5826,-2.096707
WV1 2JH,52.58276,-2.094508
WV1 2JJ,52.58279,-2.093136
WV1 2JL,52.58303,-2.092531
WV1 2JN,52.5829,-2.094804
WV1 2JP,52.5834,-2.106479
WV1 2JQ,52.58303,-2.096103
WV1 2JR,52.58381,-2.08995
WV1 2JS,52.58468,-2.102291
WV1 2JT,52.58442,-2.101803
WV1 2JU,52.58609,-2.101821
WV1 2JW,52.58384,-2.088681
WV1 2JX,52.58575,-2.101614
WV1 2JY,52.58729,-2.101588
WV1 2JZ,52.5876,-2.098533
WV1 2LA,52.58811,-2.096321
WV1 2LB,52.58758,-2.097117
WV1 2LD,52.58705,-2.098813
WV1 2LE,52.58647,-2.099328
WV1 2LF,52.58645,-2.098398
WV1 2LG,52.58567,-2.100684
WV1 2LH,52.58583,-2.098677
WV1 2LJ,52.58604,-2.09822
WV1 2LL,52.58525,-2.098322
WV1 2LN,52.58569,-2.097614
WV1 2LP,52.58683,-2.098325
WV1 2LQ,52.58467,-2.099663
WV1 2LR,52.58699,-2.097558
WV1 2LS,52.58694,-2.096348
WV1 2LT,52.58714,-2.096009
WV1 2LU,52.58757,-2.096334
WV1 2LW,52.58641,-2.097173
WV1 2LX,52.58814,-2.095435
WV1 2LY,52.58744,-2.094592
WV1 2LZ,52.58712,-2.094724
WV1 2NA,52.5873,-2.093736
WV1 2NB,52.58685,-2.093705
WV1 2ND,52.58656,-2.09524
WV1 2NE,52.58555,-2.096418
WV1 2NF,52.58513,-2.097834
WV1 2NG,52.58449,-2.098704
WV1 2NH,52.58363,-2.097447
WV1 2NJ,52.58368,-2.097447
WV1 2NL,52.58392,-2.097374
WV1 2NN,52.58413,-2.091751
WV1 2NP,52.58414,-2.089966
WV1 2NQ,52.58389,-2.097994
WV1 2NR,52.58054,-2.091375
WV1 2NS,52.58427,-2.097198
WV1 2NT,52.58402,-2.094851
WV1 2NU,52.58431,-2.095574
WV1 2NW,52.58638,-2.095904
WV1 2NX,52.5845,-2.091649
WV1 2NY,52.58488,-2.094897
WV1 2NZ,52.58493,-2.095856
WV1 2PA,52.58541,-2.095754
WV1 2PB,52.58641,-2.09397
WV1 2PD,52.58597,-2.093585
WV1 2PE,52.5863,-2.093498
WV1 2PF,52.58667,-2.093218
WV1 2PG,52.58625,-2.092509
WV1 2PH,52.58569,-2.091843
WV1 2PJ,52.58551,-2.093717
WV1 2PL,52.58475,-2.09345
WV1 2PN,52.58473,-2.092963
WV1 2PP,52.58512,-2.09196
WV1 2PQ,52.58567,-2.092419
WV1 2PR,52.58536,-2.090928
