PCDS,LAT,LONG
YO1 0AA,100.0,0.0
YO1 0AB,100.0,0.0
YO1 0AD,100.0,0.0
YO1 0AE,53.96045,-1.092345
YO1 0AF,100.0,0.0
YO1 0AG,53.96045,-1.092345
YO1 0AH,53.96045,-1.092345
YO1 0AJ,53.96045,-1.092345
YO1 0AL,53.96045,-1.092345
YO1 0AN,53.96045,-1.092345
YO1 0AP,53.96045,-1.092345
YO1 0AQ,53.96045,-1.092345
YO1 0AR,53.96045,-1.092345
YO1 0AS,53.96045,-1.092345
YO1 0AT,53.96045,-1.092345
YO1 0AU,53.96045,-1.092345
YO1 0AW,53.96045,-1.092345
YO1 0AX,53.96045,-1.092345
YO1 0AY,53.96045,-1.092345
YO1 0AZ,53.96045,-1.092345
YO1 0BA,53.96045,-1.092345
YO1 0BB,53.96045,-1.092345
YO1 0BD,53.96045,-1.092345
YO1 0BE,53.96045,-1.092345
YO1 0BF,53.96045,-1.092345
YO1 0BG,53.96045,-1.092345
YO1 0BH,53.96045,-1.092345
YO1 0BJ,53.96045,-1.092345
YO1 0BL,53.96045,-1.092345
YO1 0BN,53.96045,-1.092345
YO1 0BP,53.96045,-1.092345
YO1 0BQ,53.96045,-1.092345
YO1 0BR,53.96045,-1.092345
YO1 0BS,53.96045,-1.092345
YO1 0BT,53.96045,-1.092345
YO1 0BU,53.96045,-1.092345
YO1 0BW,53.96045,-1.092345
YO1 0BX,53.96045,-1.092345
YO1 0BY,53.96045,-1.092345
YO1 0BZ,53.96045,-1.092345
YO1 0DA,53.96045,-1.092345
YO1 0DB,53.96045,-1.092345
YO1 0DD,53.96045,-1.092345
YO1 0DE,53.96045,-1.092345
YO1 0DF,53.96045,-1.092345
YO1 0DG,53.96045,-1.092345
YO1 0DH,53.96045,-1.092345
YO1 0DJ,53.96045,-1.092345
YO1 0DL,53.96045,-1.092345
YO1 0DN,53.96045,-1.092345
YO1 0EA,53.96045,-1.092345
YO1 0EB,53.96045,-1.092345
YO1 0ED,53.96045,-1.092345
YO1 0EE,53.96045,-1.092345
YO1 0EF,53.96045,-1.092345
YO1 0EG,53.96045,-1.092345
YO1 0EH,53.96045,-1.092345
YO1 0EJ,53.96045,-1.092345
YO1 0EL,53.96045,-1.092345
YO1 0EN,53.96045,-1.092345
YO1 0EP,53.96045,-1.092345
YO1 0EQ,53.96045,-1.092345
YO1 0ER,53.96045,-1.092345
YO1 0ES,53.96045,-1.092345
YO1 0ET,53.96045,-1.092345
YO1 0EU,53.96045,-1.092345
YO1 0EW,53.96045,-1.092345
YO1 0EX,53.96045,-1.092345
YO1 0EY,53.96045,-1.092345
YO1 0EZ,53.96045,-1.092345
YO1 0FA,53.96045,-1.092345
YO1 0FB,53.96045,-1.092345
YO1 0FD,53.96045,-1.092345
YO1 0FE,53.96045,-1.092345
YO1 0FF,53.96045,-1.092345
YO1 0FG,53.96045,-1.092345
YO1 0FJ,53.96045,-1.092345
YO1 0FL,53.96045,-1.092345
YO1 0FN,53.96045,-1.092345
YO1 0FP,53.96045,-1.092345
YO1 0FQ,53.96045,-1.092345
YO1 0FR,53.96045,-1.092345
YO1 0FS,53.96045,-1.092345
YO1 0FT,53.96045,-1.092345
YO1 0FW,53.96045,-1.092345
YO1 0FX,53.96045,-1.092345
YO1 0FY,53.96045,-1.092345
YO1 0GA,53.96045,-1.092345
YO1 0GB,53.96045,-1.092345
